original_id,original_name,canonical_name,reason
110,CCC059776,Ccc059776,Contains numbers
116,RT,Rt,Name is too short (acronym risk)
199,E3 Group,E3 Group,Contains numbers
33757,10xbizz,10Xbizz,Contains numbers
34828,A2z infra service limited,A2Z Infra Service Limited,Contains numbers
36132,3i infotech bpo Ltd,3I Infotech Bpo,Contains numbers
36226,One97communication,One97Communication,Contains numbers
37145,Sm,Sm,Name is too short (acronym risk)
38754,25 impressions printing pvt ltd,25 Impressions Printing,Contains numbers
38819,xyz1,Xyz1,Contains numbers
39361,test company23,Test Company23,Contains numbers
39387,12www,12Www,Contains numbers
39423,39422,39422,Contains numbers
40133,91 mobiles,91 Mobiles,Contains numbers
40234,my company 23,My 23,Contains numbers
40247,MRMIND TECHNOLOGY 1,Mrmind Technology 1,Contains numbers
40248,MRMIND TECHNOLOGY 1,Mrmind Technology 1,Contains numbers
40249,MRMIND TECHNOLOGY 1344,Mrmind Technology 1344,Contains numbers
40250,MRMIND TECHNOLOGY 1344,Mrmind Technology 1344,Contains numbers
40251,MRMIND TECHNOLOGY 1344,Mrmind Technology 1344,Contains numbers
40252,MRMIND TECHNOLOGY 1344,Mrmind Technology 1344,Contains numbers
40253,MRMIND TECHNOLOGY 1344,Mrmind Technology 1344,Contains numbers
40412,MRMIND TECHNOLOGY 1344,Mrmind Technology 1344,Contains numbers
40665,test22,Test22,Contains numbers
40667,sa das11,Sa Das11,Contains numbers
