original_id,original_name,canonical_name,reason
123,Hr-chef,Hr Chef,Word count mismatch
142,Eng-ind,Eng Ind,Word count mismatch
169,S?ljare,S Ljare,Word count mismatch
174,Co-owner,Co Owner,Word count mismatch
202,Post-doc,Post Doc,Word count mismatch
257,Prof.dr.,Prof Dr,Word count mismatch
258,Co-chair,Co Chair,Word count mismatch
275,Co-chairs,Co Chairs,Word count mismatch
335,Co-editor,Co Editor,Word count mismatch
419,Pre-sales,Pre Sales,Word count mismatch
436,Hr-konsult,Hr Konsult,Word count mismatch
439,Ing?nieur,Ing Nieur,Word count mismatch
458,Sr.manager,Senior Manager,Word count mismatch
466,Qa manager,Quality Assurance Manager,Word count mismatch
468,Vice-chair,Vice Chair,Word count mismatch
471,It-konsult,It Konsult,Word count mismatch
490,Pr-manager,Pr Manager,Word count mismatch
491,Hr-manager,Hr Manager,Word count mismatch
497,It-manager,It Manager,Word count mismatch
539,Sub-editor,Sub Editor,Word count mismatch
572,Psic?loga,Psic Loga,Word count mismatch
581,Co-manager,Co Manager,Word count mismatch
603,E-commerce,E Commerce,Word count mismatch
604,It-support,It Support,Word count mismatch
609,Pr?sident,Pr Sident,Word count mismatch
617,Qa analyst,Quality Assurance Analyst,Word count mismatch
638,Dy.manager,Dy Manager,Word count mismatch
640,Co-founder,Co Founder,Word count mismatch
686,Estagi?rio,Estagi Rio,Word count mismatch
704,M&a analyst,M A Analyst,Word count mismatch
707,Pr?sidente,Pr Sidente,Word count mismatch
710,It-tekniker,It Tekniker,Word count mismatch
711,F&b manager,F B Manager,Word count mismatch
763,Manager p&o,Manager P O,Word count mismatch
788,Co-chairman,Co Chairman,Word count mismatch
792,Secr?taire,Secr Taire,Word count mismatch
815,Ux designer,User Experience Designer,Word count mismatch
823,Hr-adviseur,Hr Adviseur,Word count mismatch
828,Phd-student,Phd Student,Word count mismatch
845,Estagi?ria,Estagi Ria,Word count mismatch
858,Co-director,Co Director,Word count mismatch
868,Ui designer,User Interface Designer,Word count mismatch
904,I.t.analyst,I T Analyst,Word count mismatch
913,F&b captain,F B Captain,Word count mismatch
960,Fp&a analyst,Fp A Analyst,Word count mismatch
970,Co-president,Co President,Word count mismatch
990,Fp&a manager,Fp A Manager,Word count mismatch
1003,Co-fondateur,Co Fondateur,Word count mismatch
1035,Non-employee,Non Employee,Word count mismatch
1077,Hr-executive,Hr Executive,Word count mismatch
1090,Hr-konsulent,Hr Konsulent,Word count mismatch
1109,Asst.manager,Asst Manager,Word count mismatch
1174,It-konsulent,It Konsulent,Word count mismatch
1197,It-supporter,It Supporter,Word count mismatch
1236,Ui developer,User Interface Developer,Word count mismatch
1325,Chef d'agence,Chef D Agence,Word count mismatch
1335,F&b associate,F B Associate,Word count mismatch
1347,F&b attendant,F B Attendant,Word count mismatch
1354,Propri?taire,Propri Taire,Word count mismatch
1382,Sr.consultant,Senior Consultant,Word count mismatch
1393,Co-op student,Co Op Student,Word count mismatch
1423,It-specialist,It Specialist,Word count mismatch
1426,Chef d'equipe,Chef D Equipe,Word count mismatch
1427,Propriet?rio,Propriet Rio,Word count mismatch
1452,R & d officer,R D Officer,Word count mismatch
1478,Pre-k teacher,Pre K Teacher,Word count mismatch
1480,Founder & ceo,Founder Ceo,Word count mismatch
1508,Hr-specialist,Hr Specialist,Word count mismatch
1538,R & d chemist,R D Chemist,Word count mismatch
1564,Self-employed,Self Employed,Word count mismatch
1580,Ceo & founder,Ceo Founder,Word count mismatch
1585,It-consultant,It Consultant,Word count mismatch
1603,Executive p&a,Executive P A,Word count mismatch
1609,Sr.accountant,Senior Accountant,Word count mismatch
1617,Hr-medewerker,Hr Medewerker,Word count mismatch
1635,Ux consultant,User Experience Consultant,Word count mismatch
1686,Mede-eigenaar,Mede Eigenaar,Word count mismatch
1711,F&b assistant,F B Assistant,Word count mismatch
1728,R & d manager,R D Manager,Word count mismatch
1779,F & a manager,F A Manager,Word count mismatch
1781,F&b executive,F B Executive,Word count mismatch
1792,Chairman & ceo,Chairman Ceo,Word count mismatch
1800,Clerk & typist,Clerk Typist,Word count mismatch
1801,S?cio diretor,S Cio Diretor,Word count mismatch
1863,Teacher's aide,Teacher S Aide,Word count mismatch
1887,S?cio-diretor,S Cio Diretor,Word count mismatch
1899,Chef d'?quipe,Chef D Quipe,Word count mismatch
2148,Co-chairperson,Co Chairperson,Word count mismatch
2174,Socio-director,Socio Director,Word count mismatch
2196,Make-up artist,Make Up Artist,Word count mismatch
2200,F&b controller,F B Controller,Word count mismatch
2241,Chef d'atelier,Chef D Atelier,Word count mismatch
2313,F&b supervisor,F B Supervisor,Word count mismatch
2329,Past-president,Past President,Word count mismatch
2330,Typist & clerk,Typist Clerk,Word count mismatch
2357,Asst.professor,Asst Professor,Word count mismatch
2458,R & d executive,R D Executive,Word count mismatch
2476,President & coo,President Coo,Word count mismatch
2478,Clerk & cashier,Clerk Cashier,Word count mismatch
2488,President / ceo,President Ceo,Word count mismatch
2540,Attorney-at-law,Attorney At Law,Word count mismatch
