id,user_id,option_id,message,expiry,create_date,status,is_deleted
5,153,1,,2025-04-29 17:09:21,2025-03-30 17:09:21,1,0
4,153,4,,2025-04-29 17:08:15,2025-03-30 17:08:15,1,0
6,153,6,,2025-04-29 17:13:11,2025-03-30 17:13:11,1,0
7,153,8,i have registered as an individual account . i want to signup with company account,2025-04-29 17:15:09,2025-03-30 17:15:09,1,0
8,134,2,11111111111111111111111111111111111111111111111111112222222222222222222222222222222222,2025-04-30 16:45:26,2025-03-31 16:45:26,1,0
10,443,3,,2025-05-08 12:32:43,2025-04-08 12:32:43,1,0
11,443,4,,2025-05-08 12:33:05,2025-04-08 12:33:05,1,0
12,144,3,,2025-05-08 19:33:15,2025-04-08 19:33:15,1,0
15,92,1,,2025-05-14 12:41:13,2025-04-14 12:41:13,1,0
16,84,2,satyam,,,1,0
19,666,1,,2025-05-21 21:17:02,2025-04-21 21:17:02,1,0
26,1009,3,,2025-05-29 12:21:53,2025-04-29 12:21:53,1,0
27,1037,8,Not finding usefull,2025-05-29 20:28:35,2025-04-29 20:28:35,1,0
28,1087,4,,2025-05-30 17:02:56,2025-04-30 17:02:56,1,0
29,1183,8,NOT FIND ANY JOBS,2025-06-01 12:57:48,2025-05-02 12:57:48,1,0
30,1197,4,,2025-06-01 18:02:22,2025-05-02 18:02:22,1,0
31,1602,8,,2025-06-08 02:27:42,2025-05-09 02:27:42,1,0
32,1814,8,,2025-06-13 01:03:10,2025-05-14 01:03:10,1,0
33,1814,1,,2025-06-13 01:04:30,2025-05-14 01:04:30,1,0
34,1827,3,,2025-06-13 11:52:46,2025-05-14 11:52:46,1,0
35,1879,8,,2025-06-14 00:48:23,2025-05-15 00:48:23,1,0
36,2124,3,,2025-06-18 20:34:01,2025-05-19 20:34:01,1,0
37,2298,8,"I want to post a job, but it is not showing",2025-06-20 23:06:37,2025-05-21 23:06:37,1,0
38,2470,4,Not sure,2025-06-23 17:47:34,2025-05-24 17:47:34,1,0
39,2480,3,,2025-06-23 22:18:49,2025-05-24 22:18:49,1,0
40,2565,3,,2025-06-25 10:38:15,2025-05-26 10:38:15,1,0
41,24,8,..,2025-06-25 13:36:09,2025-05-26 13:36:09,1,0
42,2617,3,,2025-06-25 23:05:10,2025-05-26 23:05:10,1,0
43,2628,4,,2025-06-26 09:46:50,2025-05-27 09:46:50,1,0
44,2656,3,There is no job in my city or state ,2025-06-27 00:21:56,2025-05-28 00:21:56,1,0
117,8436,5,Froud,2025-08-22 13:21:06,2025-07-23 13:21:06,1,0
46,2803,3,not use full for me,2025-06-29 12:44:52,2025-05-30 12:44:52,1,0
47,2817,3,,2025-06-29 22:31:09,2025-05-30 22:31:09,1,0
48,2911,8,,2025-07-01 22:18:37,2025-06-01 22:18:37,1,0
49,2911,1,,2025-07-01 22:19:09,2025-06-01 22:19:09,1,0
50,2377,1,,2025-07-03 00:11:43,2025-06-03 00:11:43,1,0
51,3136,3,jobs not found,2025-07-05 17:02:52,2025-06-05 17:02:52,1,0
52,3093,8,,2025-07-05 17:14:44,2025-06-05 17:14:44,1,0
54,3298,8,,2025-07-07 11:19:02,2025-06-07 11:19:02,1,0
55,3392,8,,2025-07-08 17:59:54,2025-06-08 17:59:54,1,0
56,3600,4,,2025-07-10 22:48:03,2025-06-10 22:48:03,1,0
57,3620,3,It was to much time taking for giving all my information ,2025-07-11 05:17:03,2025-06-11 05:17:03,1,0
58,3660,8,Not interested ,2025-07-11 14:14:16,2025-06-11 14:14:16,1,0
59,3675,3,,2025-07-11 17:03:23,2025-06-11 17:03:23,1,0
60,3724,4,,2025-07-11 22:20:52,2025-06-11 22:20:52,1,0
61,3731,4,Account delete ,2025-07-11 23:06:57,2025-06-11 23:06:57,1,0
62,3730,3,,2025-07-11 23:23:11,2025-06-11 23:23:11,1,0
63,3772,3,,2025-07-12 12:17:33,2025-06-12 12:17:33,1,0
64,3808,3,,2025-07-12 18:37:00,2025-06-12 18:37:00,1,0
65,3817,4,,2025-07-12 21:19:28,2025-06-12 21:19:28,1,0
66,3930,3,,2025-07-14 11:34:37,2025-06-14 11:34:37,1,0
67,4138,2,,2025-07-16 20:59:40,2025-06-16 20:59:40,1,0
68,4162,4,,2025-07-17 00:55:02,2025-06-17 00:55:02,1,0
69,4243,5,while verifying email i am getting chinese emails,2025-07-17 17:47:20,2025-06-17 17:47:20,1,0
70,4364,8,i'm not interested any more\r\n,2025-07-18 16:11:40,2025-06-18 16:11:40,1,0
71,4749,8,,2025-07-21 19:06:00,2025-06-21 19:06:00,1,0
72,4905,8,,2025-07-22 20:07:31,2025-06-22 20:07:31,1,0
73,5122,3,,2025-07-24 17:49:23,2025-06-24 17:49:23,1,0
74,4323,8,by mistake ,2025-07-25 12:08:57,2025-06-25 12:08:57,1,0
75,4080,8,my mistake,2025-07-25 15:19:24,2025-06-25 15:19:24,1,0
76,5310,3,,2025-07-26 02:07:48,2025-06-26 02:07:48,1,0
77,5359,4,,2025-07-26 15:26:14,2025-06-26 15:26:14,1,0
78,5310,4,,2025-07-26 16:36:24,2025-06-26 16:36:24,1,0
79,5006,1,,2025-07-26 20:50:31,2025-06-26 20:50:31,1,0
80,5611,8,,2025-07-28 18:02:20,2025-06-28 18:02:20,1,0
81,5742,8,,2025-07-29 19:38:47,2025-06-29 19:38:47,1,0
82,5742,1,,2025-07-29 19:39:51,2025-06-29 19:39:51,1,0
83,5857,8,Ihh,2025-07-30 15:48:20,2025-06-30 15:48:20,1,0
84,5905,4,,2025-07-30 22:19:24,2025-06-30 22:19:24,1,0
85,5922,8,,2025-07-31 01:41:35,2025-07-01 01:41:35,1,0
86,5925,3,There is no job vacancies for my type ,2025-07-31 02:56:29,2025-07-01 02:56:29,1,0
87,5955,3,,2025-07-31 11:03:23,2025-07-01 11:03:23,1,0
88,3109,3,Very Bad Job Plateform,2025-07-31 21:56:08,2025-07-01 21:56:08,1,0
89,6128,3,it doesn't show IT related jobs,2025-08-01 10:28:01,2025-07-02 10:28:01,1,0
90,6142,3,,2025-08-01 11:55:59,2025-07-02 11:55:59,1,0
91,6142,8,I don't want this account,2025-08-01 11:57:06,2025-07-02 11:57:06,1,0
