id,job,user,status,is_deleted,create_date,modify_date
1,1,1,1,0,2025-03-24 21:05:06,2025-03-24 21:05:06
2,10,13,1,0,2025-03-25 12:08:44,2025-03-25 12:08:44
3,17,6,1,0,2025-03-27 15:35:29,2025-03-27 15:35:29
4,20,6,1,0,2025-03-27 15:45:20,2025-03-27 15:45:20
5,21,6,1,0,2025-03-27 17:01:57,2025-03-27 17:01:57
6,10,128,1,0,2025-03-29 08:22:59,2025-03-29 08:22:59
7,10,130,1,0,2025-03-29 09:14:06,2025-03-29 09:14:06
8,10,131,1,0,2025-03-29 09:45:15,2025-03-29 09:45:15
9,7,131,1,0,2025-03-29 09:45:44,2025-03-29 09:45:44
10,10,132,1,0,2025-03-29 10:37:01,2025-03-29 10:37:01
11,19,18,1,0,2025-03-29 15:44:43,2025-03-29 15:44:43
12,10,4,1,0,2025-03-29 18:49:19,2025-03-29 18:49:19
13,10,137,1,0,2025-03-30 00:47:48,2025-03-30 00:47:48
14,11,138,1,0,2025-03-30 02:41:18,2025-03-30 02:41:18
15,12,140,1,0,2025-03-30 09:32:44,2025-03-30 09:32:44
16,7,142,1,0,2025-03-30 09:52:18,2025-03-30 09:52:18
17,7,143,1,0,2025-03-30 10:47:51,2025-03-30 10:47:51
18,13,144,1,0,2025-03-30 11:20:33,2025-03-30 11:20:33
19,12,145,1,0,2025-03-30 11:29:00,2025-03-30 11:29:00
20,11,147,1,0,2025-03-30 11:39:29,2025-03-30 11:39:29
21,7,149,1,0,2025-03-30 12:42:32,2025-03-30 12:42:32
22,10,150,1,0,2025-03-30 12:48:49,2025-03-30 12:48:49
23,7,155,1,0,2025-03-30 13:58:31,2025-03-30 13:58:31
24,13,162,1,0,2025-03-30 15:17:06,2025-03-30 15:17:06
25,12,172,1,0,2025-03-30 17:44:14,2025-03-30 17:44:14
26,12,146,1,0,2025-03-30 18:49:51,2025-03-30 18:49:51
27,11,177,1,0,2025-03-30 19:27:59,2025-03-30 19:27:59
28,13,158,1,0,2025-03-30 21:08:11,2025-03-30 21:08:11
29,10,188,1,0,2025-03-30 23:18:48,2025-03-30 23:18:48
30,10,191,1,0,2025-03-30 23:49:24,2025-03-30 23:49:24
