id,name,image,description,status,user_defined,user_id,create_date,modify_date
1,Health Insurance,uploads/images/1730896470_660d1036a6f5627f2b8f.jpg,,1,,,,2024-11-06 00:00:00
2,Job Training,uploads/images/1730895848_57cd96c66a77505fbdfc.jpg,,1,,,,2024-11-06 00:00:00
3,Soft Skill Training,uploads/images/1730895909_b964c4f65b238ffe2ec3.jpg,,1,,,,2024-11-06 00:00:00
4,Work From Home,uploads/images/1730895928_f2f8244934ef5145ca5f.jpg,,1,,,,2024-11-06 00:00:00
5,Cafeteria,uploads/images/1730895955_d1674d201dbdc1502252.jpg,,1,,,,2024-11-06 00:00:00
6,Transport,uploads/images/1730895969_60ff7df7e894722f99e2.jpg,,1,,,,2024-11-06 00:00:00
7,New Benefit,,,1,1,,2024-11-15 16:10:09,2024-11-15 16:10:09
11,cab,,,1,1,,2025-01-25 14:48:36,2025-01-25 14:48:36
12,Lunch,,,1,1,,2025-02-04 18:07:23,2025-02-04 18:07:23
13,Parking,,,1,1,,2025-02-04 18:14:22,2025-02-04 18:14:22
14,Play Zone,,,1,1,,2025-02-04 18:14:48,2025-02-04 18:14:48
15,Free Lunch,,,1,1,,2025-02-23 01:52:31,2025-02-23 01:52:31
17,15 mins Grace Timing,,,1,1,,2025-03-28 17:36:10,2025-03-28 17:36:10
18,Retention Schemes,,,1,1,,2025-03-28 17:36:30,2025-03-28 17:36:30
19,Tea and Snacks ,,,1,1,,2025-03-31 15:55:37,2025-03-31 15:55:37
20,Incentives ,,,1,1,,2025-04-01 11:27:47,2025-04-01 11:27:47
21,Annual Picnics  ,,,1,1,,2025-04-01 11:28:37,2025-04-01 11:28:37
22,Competitive Salary,,,1,1,,2025-04-01 11:29:32,2025-04-01 11:29:32
23,Comprehensive Health Benefits,,,1,1,,2025-04-01 11:30:02,2025-04-01 11:30:02
24,Travel Opportunities (Domestic and International),,,1,1,,2025-04-01 11:30:44,2025-04-01 11:30:44
25,Medical ,,,1,1,1612,2025-05-09 12:49:21,2025-05-09 12:49:21
26,Pf,,,1,1,1612,2025-05-09 12:49:48,2025-05-09 12:49:48
27,PF / ESI / UNIFORM / INCENTIVES ,,,1,1,2569,2025-05-26 10:49:03,2025-05-26 10:49:03
28,Every 3 month Promotion ,,,1,1,2810,2025-05-30 13:43:38,2025-05-30 13:43:38
29,food,,,1,1,5536,2025-06-28 10:02:23,2025-06-28 10:02:23
30,Soft ,,,1,1,5034,2025-07-03 11:53:04,2025-07-03 11:53:04
31,Job Training Friendly ,,,1,1,5688,2025-07-12 17:11:44,2025-07-12 17:11:44
32,Breakfast lunch providing ,,,1,1,5688,2025-07-12 17:12:35,2025-07-12 17:12:35
33,Fooding ,,,1,1,3055,2025-07-21 17:35:29,2025-07-21 17:35:29
34,Lodging ,,,1,1,3055,2025-07-21 17:35:40,2025-07-21 17:35:40
35,One day week off,,,1,1,3055,2025-07-21 17:35:52,2025-07-21 17:35:52
36,eygdufyoweiujf,,,1,1,9025,2025-07-31 15:24:15,2025-07-31 15:24:15
37,poiuytrewq,,,1,1,9025,2025-07-31 15:26:01,2025-07-31 15:26:01
38,Nomine ,,,1,1,2710,2025-08-02 00:16:08,2025-08-02 00:16:08
39,LIC INSURANCE ,,,1,1,11525,2025-08-22 22:52:04,2025-08-22 22:52:04
40,Bonus,,,1,1,13684,2025-09-04 19:41:33,2025-09-04 19:41:33
41,Funds ,,,1,1,13684,2025-09-04 19:44:02,2025-09-04 19:44:02
42,Training,,,1,1,19865,2025-09-24 11:14:45,2025-09-24 11:14:45
43,Namkeen,,,1,1,653,2025-11-10 16:25:47,2025-11-10 16:25:47
44,Lunch provide,,,1,1,38680,2025-11-19 12:30:26,2025-11-19 12:30:26
45,rfqewrfqa,,,1,1,459,2026-01-19 13:47:35,2026-01-19 13:47:35
46,fdgzsdfg,,,1,1,38941,2026-01-31 10:33:08,2026-01-31 10:33:08
47,aaaaa,,,1,1,38941,2026-01-31 10:33:49,2026-01-31 10:33:49
48,bean bag,,,1,1,39256,2026-05-18 15:14:39,2026-05-18 15:14:39
49,NaN,,,1,1,39256,2026-05-18 15:14:49,2026-05-18 15:14:49
50,test skill,,,1,1,39256,2026-06-12 18:46:58,2026-06-12 18:46:58
51,test,,,1,1,39256,2026-06-12 18:49:58,2026-06-12 18:49:58
52,testsf,,,1,1,39256,2026-06-12 18:51:44,2026-06-12 18:51:44
53,new,,,1,1,39256,2026-06-12 18:54:47,2026-06-12 18:54:47
54,as asds a,,,1,1,39256,2026-06-12 19:10:48,2026-06-12 19:10:48
55,ddff,,,1,1,39072,2026-06-13 12:08:11,2026-06-13 12:08:11
56,[object Object],,,1,1,40137,2026-06-18 15:53:49,2026-06-18 15:53:49
57,paiting,,,1,1,40137,2026-06-18 15:59:42,2026-06-18 15:59:42
58,painting,,,1,1,40137,2026-06-18 15:59:56,2026-06-18 15:59:56
59,paintings,,,1,1,40137,2026-06-18 16:00:18,2026-06-18 16:00:18
60,webseodeveloepr,,,1,1,40137,2026-06-18 16:01:06,2026-06-18 16:01:06
61,velect,,,1,1,40137,2026-06-18 16:02:15,2026-06-18 16:02:15
62,Technoo,,,1,1,40137,2026-06-18 16:13:31,2026-06-18 16:13:31
63,asdas as qwwr3,,,1,1,39976,2026-07-03 17:12:40,2026-07-03 17:12:40
64,aaaaaaaaaaa,,,1,1,39976,2026-07-03 17:12:53,2026-07-03 17:12:53
65,dfgf55,,,1,1,39976,2026-07-03 17:27:25,2026-07-03 17:27:25
66,sefdwe we,,,1,1,39976,2026-07-03 17:27:55,2026-07-03 17:27:55
67,dfg reg d,,,1,1,39256,2026-07-03 17:38:29,2026-07-03 17:38:29
