id,name,state,user_difined,user_id,create_date,modify_date,status,user_defined
1,Andorra la Vella,488,,,,,1,0
2,Arinsal,493,,,,,1,0
3,Canillo,489,,,,,1,0
4,El Tarter,489,,,,,1,0
5,Encamp,487,,,,,1,0
6,Ordino,491,,,,,1,0
7,Pas de la Casa,487,,,,,1,0
8,Sant Julià de Lòria,490,,,,,1,0
9,la Massana,493,,,,,1,0
10,les Escaldes,492,,,,,1,0
11,Abu Dhabi Island and Internal Islands City,3396,,,,,1,0
12,Abu Dhabi Municipality,3396,,,,,1,0
13,Adh Dhayd,3390,,,,,1,0
14,Ajman,3395,,,,,1,0
15,Ajman City,3395,,,,,1,0
16,Al Ain City,3396,,,,,1,0
17,Al Ain Municipality,3396,,,,,1,0
18,Al Batayih,3390,,,,,1,0
19,Al Dhafra,3396,,,,,1,0
20,Al Fujairah City,3393,,,,,1,0
21,Al Fujairah Municipality,3393,,,,,1,0
22,Al Hamriyah,3390,,,,,1,0
23,Al Madam,3390,,,,,1,0
24,Al Shamkhah City,3396,,,,,1,0
25,Ruwais,3396,,,,,1,0
26,Bani Yas City,3396,,,,,1,0
27,Dhaid,3390,,,,,1,0
28,Dibba Al Fujairah Municipality,3393,,,,,1,0
29,Dibba Al Hesn,3390,,,,,1,0
30,Dibba Al-Fujairah,3393,,,,,1,0
31,Dibba Al-Hisn,3393,,,,,1,0
32,Dubai,3391,,,,,1,0
33,Kalba,3390,,,,,1,0
34,Khalifah A City,3396,,,,,1,0
35,Khawr Fakk?n,3390,,,,,1,0
36,Khor Fakkan,3390,,,,,1,0
37,Manama,3395,,,,,1,0
38,Masfout,3395,,,,,1,0
39,Milehah,3390,,,,,1,0
40,Murba?,3390,,,,,1,0
41,Musaffah,3396,,,,,1,0
42,Muzayri‘,3396,,,,,1,0
43,Ras Al Khaimah,3394,,,,,1,0
44,Ras Al Khaimah City,3394,,,,,1,0
45,Reef Al Fujairah City,3393,,,,,1,0
46,Sharjah,3390,,,,,1,0
47,Umm AL Quwain,3392,,,,,1,0
48,Umm Al Quwain City,3392,,,,,1,0
49,Zayed City,3396,,,,,1,0
50,Andkhoy,3889,,,,,1,0
51,Asadabad,3876,,,,,1,0
52,Ashk?sham,3901,,,,,1,0
53,A?bak,3883,,,,,1,0
54,Baghl?n,3875,,,,,1,0
55,Balkh,3884,,,,,1,0
56,Baraki Barak,3897,,,,,1,0
57,B?my?n,3872,,,,,1,0
58,B?sawul,3882,,,,,1,0
59,B?z?rak,3881,,,,,1,0
60,Chah?r Burj,3887,,,,,1,0
61,Charikar,3895,,,,,1,0
62,Ch?ras,3885,,,,,1,0
63,Darz?b,3886,,,,,1,0
64,Dasht-e Arch?,3900,,,,,1,0
65,Dowlat?b?d,3884,,,,,1,0
66,Farah,3899,,,,,1,0
67,Fayr?z K?h,3888,,,,,1,0
68,Fayzabad,3901,,,,,1,0
69,Gardez,3894,,,,,1,0
70,Gereshk,3873,,,,,1,0
71,Ghazni,3870,,,,,1,0
72,Ghormach,3871,,,,,1,0
73,Gh?riy?n,3887,,,,,1,0
74,Her?t,3887,,,,,1,0
75,Im?m ???ib,3900,,,,,1,0
76,Jabal os Saraj,3895,,,,,1,0
77,Jal?l?b?d,3882,,,,,1,0
78,Jurm,3901,,,,,1,0
79,Kabul,3902,,,,,1,0
80,Kafir Qala,3887,,,,,1,0
81,Kandah?r,3890,,,,,1,0
82,Karukh,3887,,,,,1,0
83,Khanabad,3900,,,,,1,0
84,Khand?d,3901,,,,,1,0
85,Khulm,3884,,,,,1,0
86,Kh?sh,3896,,,,,1,0
87,Kh?st,3878,,,,,1,0
88,Kuhs?n,3887,,,,,1,0
89,Kunduz,3900,,,,,1,0
90,Kushk,3887,,,,,1,0
91,Lab-Sar,3884,,,,,1,0
