id,company_job,skill,is_deleted,create_date
1,1,17227,0,2026-07-06 16:02:36
2,1,17228,0,2026-07-06 16:02:36
3,1,17229,0,2026-07-06 16:02:36
4,2,17248,0,2026-07-06 16:02:36
5,2,17249,0,2026-07-06 16:02:36
6,2,17250,0,2026-07-06 16:02:36
7,3,17232,0,2026-07-06 16:02:36
8,3,17233,0,2026-07-06 16:02:36
9,3,17234,0,2026-07-06 16:02:36
10,3,17235,0,2026-07-06 16:02:36
11,3,8287,0,2026-07-06 16:02:36
12,3,962,0,2026-07-06 16:02:36
13,5,3032,0,2026-07-06 16:02:36
14,5,17295,0,2026-07-06 16:02:36
15,5,17296,0,2026-07-06 16:02:36
16,6,17275,0,2026-07-06 16:02:36
17,8,1494,0,2026-07-06 16:02:36
18,8,17292,0,2026-07-06 16:02:36
19,9,913,0,2026-07-06 16:02:36
20,10,3047,0,2026-07-06 16:02:36
21,10,8314,0,2026-07-06 16:02:36
22,12,17297,0,2026-07-06 16:02:36
23,12,11845,0,2026-07-06 16:02:36
24,12,7584,0,2026-07-06 16:02:36
25,12,396,0,2026-07-06 16:02:36
26,12,17298,0,2026-07-06 16:02:36
27,13,7270,0,2026-07-06 16:02:36
28,13,8196,0,2026-07-06 16:02:36
29,13,17317,0,2026-07-06 16:02:36
30,13,17327,0,2026-07-06 16:02:36
31,13,17368,0,2026-07-06 16:02:36
32,14,332,0,2026-07-06 16:02:36
33,14,17299,0,2026-07-06 16:02:36
34,14,17300,0,2026-07-06 16:02:36
35,14,17301,0,2026-07-06 16:02:36
36,14,8908,0,2026-07-06 16:02:36
37,15,17302,0,2026-07-06 16:02:36
38,15,17303,0,2026-07-06 16:02:36
39,15,17304,0,2026-07-06 16:02:36
40,15,7208,0,2026-07-06 16:02:36
41,15,17305,0,2026-07-06 16:02:36
42,16,12239,0,2026-07-06 16:02:36
43,16,17286,0,2026-07-06 16:02:36
44,16,17306,0,2026-07-06 16:02:36
45,16,17400,0,2026-07-06 16:02:36
46,16,17401,0,2026-07-06 16:02:36
47,16,7269,0,2026-07-06 16:02:36
48,17,3032,0,2026-07-06 16:02:36
49,17,3080,0,2026-07-06 16:02:36
50,17,13756,0,2026-07-06 16:02:36
51,17,13759,0,2026-07-06 16:02:36
52,17,16640,0,2026-07-06 16:02:36
53,17,17312,0,2026-07-06 16:02:36
54,19,7270,0,2026-07-06 16:02:36
55,19,8196,0,2026-07-06 16:02:36
56,19,17320,0,2026-07-06 16:02:36
57,19,17325,0,2026-07-06 16:02:36
58,22,17347,0,2026-07-06 16:02:36
59,23,4041,0,2026-07-06 16:02:36
60,23,5245,0,2026-07-06 16:02:36
61,23,13393,0,2026-07-06 16:02:36
62,23,17227,0,2026-07-06 16:02:36
63,24,332,0,2026-07-06 16:02:36
64,24,7493,0,2026-07-06 16:02:36
65,24,15157,0,2026-07-06 16:02:36
66,24,15158,0,2026-07-06 16:02:36
67,25,4041,0,2026-07-06 16:02:36
68,25,1153,0,2026-07-06 16:02:36
69,26,17362,0,2026-07-06 16:02:36
70,26,17363,0,2026-07-06 16:02:36
71,30,3983,0,2026-07-06 16:02:36
72,30,7269,0,2026-07-06 16:02:36
73,30,3381,0,2026-07-06 16:02:36
74,30,6528,0,2026-07-06 16:02:36
75,30,2110,0,2026-07-06 16:02:36
76,30,14238,0,2026-07-06 16:02:36
77,30,14235,0,2026-07-06 16:02:36
78,30,13756,0,2026-07-06 16:02:36
79,31,5254,0,2026-07-06 16:02:36
80,31,17364,0,2026-07-06 16:02:36
81,31,2093,0,2026-07-06 16:02:36
82,32,17227,0,2026-07-06 16:02:36
83,32,17229,0,2026-07-06 16:02:36
84,33,12586,0,2026-07-06 16:02:36
85,33,12589,0,2026-07-06 16:02:36
86,33,12587,0,2026-07-06 16:02:36
87,35,9327,0,2026-07-06 16:02:36
88,36,14640,0,2026-07-06 16:02:36
89,37,9149,0,2026-07-06 16:02:36
90,37,17365,0,2026-07-06 16:02:36
91,37,17366,0,2026-07-06 16:02:36
92,37,17367,0,2026-07-06 16:02:36
93,38,3983,0,2026-07-06 16:02:36
94,38,6528,0,2026-07-06 16:02:36
95,38,6531,0,2026-07-06 16:02:36
96,38,8488,0,2026-07-06 16:02:36
97,38,13756,0,2026-07-06 16:02:36
98,38,17329,0,2026-07-06 16:02:36
99,38,17330,0,2026-07-06 16:02:36
100,38,17332,0,2026-07-06 16:02:36
201,38,17372,0,2026-07-06 16:03:12
202,38,17373,0,2026-07-06 16:03:12
203,38,17374,0,2026-07-06 16:03:12
204,38,17375,0,2026-07-06 16:03:12
205,40,13756,0,2026-07-06 16:03:12
206,40,14235,0,2026-07-06 16:03:12
207,40,16261,0,2026-07-06 16:03:12
208,42,11,0,2026-07-06 16:03:12
209,44,7309,0,2026-07-06 16:03:12
210,45,17395,0,2026-07-06 16:03:12
211,48,7,0,2026-07-06 16:03:12
212,48,1153,0,2026-07-06 16:03:12
213,48,3087,0,2026-07-06 16:03:12
214,48,7584,0,2026-07-06 16:03:12
215,48,11845,0,2026-07-06 16:03:12
216,48,14050,0,2026-07-06 16:03:12
217,49,17407,0,2026-07-06 16:03:12
218,49,17378,0,2026-07-06 16:03:12
219,49,17408,0,2026-07-06 16:03:12
220,50,17409,0,2026-07-06 16:03:12
221,50,17410,0,2026-07-06 16:03:12
222,50,17411,0,2026-07-06 16:03:12
223,51,17412,0,2026-07-06 16:03:12
224,51,17413,0,2026-07-06 16:03:12
225,51,17414,0,2026-07-06 16:03:12
226,52,17421,0,2026-07-06 16:03:12
227,53,17422,0,2026-07-06 16:03:12
228,54,17423,0,2026-07-06 16:03:12
229,54,17424,0,2026-07-06 16:03:12
230,54,1327,0,2026-07-06 16:03:12
231,55,17425,0,2026-07-06 16:03:12
232,55,17426,0,2026-07-06 16:03:12
233,56,1989,0,2026-07-06 16:03:12
234,56,2915,0,2026-07-06 16:03:12
235,56,15429,0,2026-07-06 16:03:12
236,57,1959,0,2026-07-06 16:03:12
237,58,1959,0,2026-07-06 16:03:12
238,60,7,0,2026-07-06 16:03:12
239,60,11,0,2026-07-06 16:03:12
240,60,10445,0,2026-07-06 16:03:12
241,60,17236,0,2026-07-06 16:03:12
242,60,17401,0,2026-07-06 16:03:12
243,62,17434,0,2026-07-06 16:03:12
244,63,989,0,2026-07-06 16:03:12
245,63,17435,0,2026-07-06 16:03:12
246,63,17436,0,2026-07-06 16:03:12
247,63,17437,0,2026-07-06 16:03:12
248,63,11718,0,2026-07-06 16:03:12
249,63,3484,0,2026-07-06 16:03:12
250,64,7663,0,2026-07-06 16:03:12
251,66,3487,0,2026-07-06 16:03:12
252,66,6043,0,2026-07-06 16:03:12
253,66,17444,0,2026-07-06 16:03:12
254,70,9414,0,2026-07-06 16:03:12
255,71,3458,0,2026-07-06 16:03:12
256,71,3465,0,2026-07-06 16:03:12
257,71,7850,0,2026-07-06 16:03:12
258,71,8807,0,2026-07-06 16:03:12
259,72,2096,0,2026-07-06 16:03:12
260,73,17449,0,2026-07-06 16:03:12
261,76,14,0,2026-07-06 16:03:12
262,76,9551,0,2026-07-06 16:03:12
263,76,9552,0,2026-07-06 16:03:12
264,76,11383,0,2026-07-06 16:03:12
265,76,14316,0,2026-07-06 16:03:12
266,77,15143,0,2026-07-06 16:03:12
267,77,2657,0,2026-07-06 16:03:12
268,77,2915,0,2026-07-06 16:03:12
269,77,7862,0,2026-07-06 16:03:12
270,79,1971,0,2026-07-06 16:03:12
271,80,17458,0,2026-07-06 16:03:12
272,81,17459,0,2026-07-06 16:03:12
273,82,17460,0,2026-07-06 16:03:12
274,83,17313,0,2026-07-06 16:03:12
275,84,2860,0,2026-07-06 16:03:12
276,84,3459,0,2026-07-06 16:03:12
277,85,275,0,2026-07-06 16:03:12
278,85,17461,0,2026-07-06 16:03:12
279,85,5246,0,2026-07-06 16:03:12
280,85,17461,0,2026-07-06 16:03:12
281,85,9748,0,2026-07-06 16:03:12
282,85,17461,0,2026-07-06 16:03:12
283,85,9736,0,2026-07-06 16:03:12
284,85,17461,0,2026-07-06 16:03:12
285,85,9740,0,2026-07-06 16:03:12
286,85,17461,0,2026-07-06 16:03:12
287,86,17228,0,2026-07-06 16:03:12
288,87,1518,0,2026-07-06 16:03:12
289,89,7850,0,2026-07-06 16:03:12
290,89,17463,0,2026-07-06 16:03:12
291,89,2860,0,2026-07-06 16:03:12
292,89,2683,0,2026-07-06 16:03:12
293,89,3296,0,2026-07-06 16:03:12
294,89,3317,0,2026-07-06 16:03:12
295,89,13339,0,2026-07-06 16:03:12
296,89,17464,0,2026-07-06 16:03:12
297,89,17465,0,2026-07-06 16:03:12
298,89,17227,0,2026-07-06 16:03:12
299,89,3100,0,2026-07-06 16:03:12
300,89,17466,0,2026-07-06 16:03:12
301,89,15644,0,2026-07-06 16:03:12
302,89,13713,0,2026-07-06 16:03:12
303,89,17467,0,2026-07-06 16:03:12
304,89,17468,0,2026-07-06 16:03:12
305,91,13387,0,2026-07-06 16:03:12
306,91,1971,0,2026-07-06 16:03:12
307,91,4570,0,2026-07-06 16:03:12
308,91,17303,0,2026-07-06 16:03:12
309,91,17469,0,2026-07-06 16:03:12
310,93,15143,0,2026-07-06 16:03:12
311,93,16919,0,2026-07-06 16:03:12
312,93,2657,0,2026-07-06 16:03:12
313,93,3453,0,2026-07-06 16:03:12
314,93,3306,0,2026-07-06 16:03:12
315,93,7862,0,2026-07-06 16:03:12
316,94,15143,0,2026-07-06 16:03:12
317,94,9470,0,2026-07-06 16:03:12
318,94,2657,0,2026-07-06 16:03:12
319,94,17461,0,2026-07-06 16:03:12
320,94,2915,0,2026-07-06 16:03:12
321,94,17461,0,2026-07-06 16:03:12
322,94,7862,0,2026-07-06 16:03:12
323,94,17461,0,2026-07-06 16:03:12
324,94,3452,0,2026-07-06 16:03:12
325,95,15143,0,2026-07-06 16:03:12
326,95,94,0,2026-07-06 16:03:12
327,95,2657,0,2026-07-06 16:03:12
328,95,17282,0,2026-07-06 16:03:12
329,95,7862,0,2026-07-06 16:03:12
330,95,3453,0,2026-07-06 16:03:12
331,96,15143,0,2026-07-06 16:03:12
332,96,2657,0,2026-07-06 16:03:12
333,96,3453,0,2026-07-06 16:03:12
334,96,2915,0,2026-07-06 16:03:12
335,96,17478,0,2026-07-06 16:03:12
336,97,17479,0,2026-07-06 16:03:12
337,97,17264,0,2026-07-06 16:03:12
338,97,17480,0,2026-07-06 16:03:12
339,97,10492,0,2026-07-06 16:03:12
340,97,6707,0,2026-07-06 16:03:12
341,97,17481,0,2026-07-06 16:03:12
342,97,17482,0,2026-07-06 16:03:12
343,97,1971,0,2026-07-06 16:03:12
344,97,17483,0,2026-07-06 16:03:12
345,97,17227,0,2026-07-06 16:03:12
346,97,8807,0,2026-07-06 16:03:12
347,97,9429,0,2026-07-06 16:03:12
348,98,2442,0,2026-07-06 16:03:12
349,98,2915,0,2026-07-06 16:03:12
350,98,3461,0,2026-07-06 16:03:12
351,99,17282,0,2026-07-06 16:03:12
352,99,8570,0,2026-07-06 16:03:12
353,103,17327,0,2026-07-06 16:03:12
354,103,10622,0,2026-07-06 16:03:12
355,103,17487,0,2026-07-06 16:03:12
356,103,17488,0,2026-07-06 16:03:12
357,103,6251,0,2026-07-06 16:03:12
358,103,17489,0,2026-07-06 16:03:12
359,103,6400,0,2026-07-06 16:03:12
360,105,5911,0,2026-07-06 16:03:12
361,105,9414,0,2026-07-06 16:03:12
362,105,11798,0,2026-07-06 16:03:12
363,106,1985,0,2026-07-06 16:03:12
364,107,17247,0,2026-07-06 16:03:12
365,108,9736,0,2026-07-06 16:03:12
366,111,2860,0,2026-07-06 16:03:12
367,111,17490,0,2026-07-06 16:03:12
368,111,17491,0,2026-07-06 16:03:12
369,111,17492,0,2026-07-06 16:03:12
370,111,7850,0,2026-07-06 16:03:12
371,111,1971,0,2026-07-06 16:03:12
372,111,17493,0,2026-07-06 16:03:12
373,112,17492,0,2026-07-06 16:03:12
374,112,1792,0,2026-07-06 16:03:12
375,113,17314,0,2026-07-06 16:03:12
376,113,2915,0,2026-07-06 16:03:12
377,113,8807,0,2026-07-06 16:03:12
378,113,13592,0,2026-07-06 16:03:12
379,113,11001,0,2026-07-06 16:03:12
380,114,1153,0,2026-07-06 16:03:12
381,114,3100,0,2026-07-06 16:03:12
382,114,12239,0,2026-07-06 16:03:12
383,114,12365,0,2026-07-06 16:03:12
384,114,17496,0,2026-07-06 16:03:12
385,116,12951,0,2026-07-06 16:03:12
386,118,98,0,2026-07-06 16:03:12
387,118,2442,0,2026-07-06 16:03:12
388,119,4074,0,2026-07-06 16:03:12
389,120,17504,0,2026-07-06 16:03:12
390,121,17506,0,2026-07-06 16:03:12
391,122,17425,0,2026-07-06 16:03:12
392,123,2915,0,2026-07-06 16:03:12
393,123,17491,0,2026-07-06 16:03:12
394,123,8807,0,2026-07-06 16:03:12
395,124,2915,0,2026-07-06 16:03:12
396,124,17491,0,2026-07-06 16:03:12
397,124,8807,0,2026-07-06 16:03:12
398,125,17310,0,2026-07-06 16:03:12
399,127,370,0,2026-07-06 16:03:12
400,127,1971,0,2026-07-06 16:03:12
401,127,11001,0,2026-07-06 16:03:12
402,127,12234,0,2026-07-06 16:03:12
403,127,12239,0,2026-07-06 16:03:12
404,127,17461,0,2026-07-06 16:03:12
405,128,17508,0,2026-07-06 16:03:12
406,128,17509,0,2026-07-06 16:03:12
407,128,2860,0,2026-07-06 16:03:12
408,128,7637,0,2026-07-06 16:03:12
409,128,8807,0,2026-07-06 16:03:12
410,128,17510,0,2026-07-06 16:03:12
411,128,13387,0,2026-07-06 16:03:12
412,129,17508,0,2026-07-06 16:03:12
413,129,17509,0,2026-07-06 16:03:12
414,129,2860,0,2026-07-06 16:03:12
415,129,7637,0,2026-07-06 16:03:12
416,129,8807,0,2026-07-06 16:03:12
417,129,17510,0,2026-07-06 16:03:12
418,129,13387,0,2026-07-06 16:03:12
419,130,17511,0,2026-07-06 16:03:12
420,130,17512,0,2026-07-06 16:03:12
421,131,3058,0,2026-07-06 16:03:12
422,131,17509,0,2026-07-06 16:03:12
423,132,3058,0,2026-07-06 16:03:12
424,132,2860,0,2026-07-06 16:03:12
425,135,15030,0,2026-07-06 16:03:12
426,136,2965,0,2026-07-06 16:03:12
427,136,14254,0,2026-07-06 16:03:12
428,136,7235,0,2026-07-06 16:03:12
429,136,7,0,2026-07-06 16:03:12
430,137,17420,0,2026-07-06 16:03:12
431,139,12500,0,2026-07-06 16:03:12
432,140,12500,0,2026-07-06 16:03:12
433,141,11,0,2026-07-06 16:03:12
434,141,13,0,2026-07-06 16:03:12
435,141,14,0,2026-07-06 16:03:12
436,146,17247,0,2026-07-06 16:03:12
437,147,17447,0,2026-07-06 16:03:12
438,147,17297,0,2026-07-06 16:03:12
439,147,16261,0,2026-07-06 16:03:12
440,148,2860,0,2026-07-06 16:03:12
441,148,1971,0,2026-07-06 16:03:12
442,148,14109,0,2026-07-06 16:03:12
443,148,13387,0,2026-07-06 16:03:12
444,149,11017,0,2026-07-06 16:03:12
445,149,13756,0,2026-07-06 16:03:12
446,149,14238,0,2026-07-06 16:03:12
447,149,17340,0,2026-07-06 16:03:12
448,149,17376,0,2026-07-06 16:03:12
449,150,17291,0,2026-07-06 16:03:12
450,150,17517,0,2026-07-06 16:03:12
451,150,7269,0,2026-07-06 16:03:12
452,150,3381,0,2026-07-06 16:03:12
453,150,8196,0,2026-07-06 16:03:12
454,151,2096,0,2026-07-06 16:03:12
455,151,17458,0,2026-07-06 16:03:12
456,151,4900,0,2026-07-06 16:03:12
457,152,2915,0,2026-07-06 16:03:12
458,152,17461,0,2026-07-06 16:03:12
459,153,12789,0,2026-07-06 16:03:12
460,153,2915,0,2026-07-06 16:03:12
461,153,17461,0,2026-07-06 16:03:12
462,154,17448,0,2026-07-06 16:03:12
463,156,12304,0,2026-07-06 16:03:12
464,156,17530,0,2026-07-06 16:03:12
465,160,9736,0,2026-07-06 16:03:12
466,160,10907,0,2026-07-06 16:03:12
467,160,7856,0,2026-07-06 16:03:12
468,161,11551,0,2026-07-06 16:03:12
469,161,11712,0,2026-07-06 16:03:12
470,161,17314,0,2026-07-06 16:03:12
471,161,17535,0,2026-07-06 16:03:12
472,161,17536,0,2026-07-06 16:03:12
473,161,17537,0,2026-07-06 16:03:12
474,163,5684,0,2026-07-06 16:03:12
475,168,17403,0,2026-07-06 16:03:12
476,169,13591,0,2026-07-06 16:03:12
477,170,17549,0,2026-07-06 16:03:12
478,171,15030,0,2026-07-06 16:03:12
479,171,17420,0,2026-07-06 16:03:12
480,171,2200,0,2026-07-06 16:03:12
481,171,117,0,2026-07-06 16:03:12
482,171,17550,0,2026-07-06 16:03:12
483,174,17553,0,2026-07-06 16:03:12
484,174,17554,0,2026-07-06 16:03:12
485,174,17555,0,2026-07-06 16:03:12
486,174,17556,0,2026-07-06 16:03:12
487,174,17557,0,2026-07-06 16:03:12
488,175,17558,0,2026-07-06 16:03:12
489,175,9023,0,2026-07-06 16:03:12
490,176,13132,0,2026-07-06 16:03:12
491,176,17559,0,2026-07-06 16:03:12
492,176,15030,0,2026-07-06 16:03:12
493,176,122,0,2026-07-06 16:03:12
494,176,17560,0,2026-07-06 16:03:12
495,176,17561,0,2026-07-06 16:03:12
496,177,14,0,2026-07-06 16:03:12
497,178,2915,0,2026-07-06 16:03:12
498,178,7061,0,2026-07-06 16:03:12
499,179,17404,0,2026-07-06 16:03:12
500,179,11845,0,2026-07-06 16:03:12
501,179,17562,0,2026-07-06 16:03:12
502,180,11334,0,2026-07-06 16:03:12
503,180,5625,0,2026-07-06 16:03:12
504,180,17310,0,2026-07-06 16:03:12
505,180,12239,0,2026-07-06 16:03:12
506,181,17594,0,2026-07-06 16:03:12
507,182,17596,0,2026-07-06 16:03:12
508,182,17575,0,2026-07-06 16:03:12
509,182,17597,0,2026-07-06 16:03:12
510,182,17598,0,2026-07-06 16:03:12
511,183,1933,0,2026-07-06 16:03:12
512,183,17492,0,2026-07-06 16:03:12
513,183,2860,0,2026-07-06 16:03:12
514,183,17598,0,2026-07-06 16:03:12
515,183,7637,0,2026-07-06 16:03:12
516,184,4649,0,2026-07-06 16:03:12
517,184,9327,0,2026-07-06 16:03:12
518,184,17250,0,2026-07-06 16:03:12
519,186,4272,0,2026-07-06 16:03:12
520,186,5622,0,2026-07-06 16:03:12
521,186,16859,0,2026-07-06 16:03:12
522,187,16859,0,2026-07-06 16:03:12
523,187,4272,0,2026-07-06 16:03:12
524,187,5622,0,2026-07-06 16:03:12
525,188,17546,0,2026-07-06 16:03:12
526,188,1933,0,2026-07-06 16:03:12
527,189,17622,0,2026-07-06 16:03:12
528,190,17663,0,2026-07-06 16:03:12
529,190,17664,0,2026-07-06 16:03:12
530,190,17665,0,2026-07-06 16:03:12
531,190,17666,0,2026-07-06 16:03:12
532,190,17667,0,2026-07-06 16:03:12
533,190,17668,0,2026-07-06 16:03:12
534,190,17669,0,2026-07-06 16:03:12
535,190,17670,0,2026-07-06 16:03:12
536,190,17671,0,2026-07-06 16:03:12
537,190,17672,0,2026-07-06 16:03:12
538,191,2915,0,2026-07-06 16:03:12
539,191,5911,0,2026-07-06 16:03:12
540,193,17575,0,2026-07-06 16:03:12
541,193,17610,0,2026-07-06 16:03:12
542,193,17607,0,2026-07-06 16:03:12
543,193,17611,0,2026-07-06 16:03:12
544,193,17604,0,2026-07-06 16:03:12
545,194,17575,0,2026-07-06 16:03:12
546,194,17461,0,2026-07-06 16:03:12
547,194,2915,0,2026-07-06 16:03:12
548,198,17508,0,2026-07-06 16:03:12
549,198,17598,0,2026-07-06 16:03:12
550,198,17509,0,2026-07-06 16:03:12
551,199,17557,0,2026-07-06 16:03:12
552,200,15157,0,2026-07-06 16:03:12
553,200,17650,0,2026-07-06 16:03:12
554,200,17651,0,2026-07-06 16:03:12
555,200,17652,0,2026-07-06 16:03:12
556,201,17575,0,2026-07-06 16:03:12
557,202,17653,0,2026-07-06 16:03:12
558,203,2630,0,2026-07-06 16:03:12
559,203,12375,0,2026-07-06 16:03:12
560,204,17604,0,2026-07-06 16:03:12
561,204,17611,0,2026-07-06 16:03:12
562,204,17575,0,2026-07-06 16:03:12
563,205,16644,0,2026-07-06 16:03:12
564,207,17662,0,2026-07-06 16:03:12
565,208,17657,0,2026-07-06 16:03:12
566,208,17658,0,2026-07-06 16:03:12
567,208,17659,0,2026-07-06 16:03:12
568,208,17660,0,2026-07-06 16:03:12
569,209,17673,0,2026-07-06 16:03:12
570,209,17674,0,2026-07-06 16:03:12
571,209,17675,0,2026-07-06 16:03:12
572,209,17676,0,2026-07-06 16:03:12
573,209,17677,0,2026-07-06 16:03:12
574,209,17678,0,2026-07-06 16:03:12
575,209,17679,0,2026-07-06 16:03:12
576,209,17680,0,2026-07-06 16:03:12
577,209,17681,0,2026-07-06 16:03:12
578,209,17682,0,2026-07-06 16:03:12
579,209,17683,0,2026-07-06 16:03:12
580,209,17684,0,2026-07-06 16:03:12
581,210,17685,0,2026-07-06 16:03:12
582,211,17686,0,2026-07-06 16:03:12
583,212,17687,0,2026-07-06 16:03:12
584,213,17688,0,2026-07-06 16:03:12
585,213,17689,0,2026-07-06 16:03:12
586,213,17690,0,2026-07-06 16:03:12
587,213,17691,0,2026-07-06 16:03:12
588,214,17695,0,2026-07-06 16:03:12
589,214,17575,0,2026-07-06 16:03:12
590,214,3744,0,2026-07-06 16:03:12
591,214,17366,0,2026-07-06 16:03:12
592,216,3032,0,2026-07-06 16:03:12
593,217,3032,0,2026-07-06 16:03:12
594,218,17699,0,2026-07-06 16:03:12
595,220,1695,0,2026-07-06 16:03:12
596,221,17700,0,2026-07-06 16:03:12
597,221,16190,0,2026-07-06 16:03:12
598,221,17701,0,2026-07-06 16:03:12
599,222,7872,0,2026-07-06 16:03:12
600,222,17707,0,2026-07-06 16:03:12
601,222,14643,0,2026-07-06 16:03:12
602,222,17708,0,2026-07-06 16:03:12
603,223,7872,0,2026-07-06 16:03:12
604,223,17707,0,2026-07-06 16:03:12
605,223,11209,0,2026-07-06 16:03:12
606,223,11385,0,2026-07-06 16:03:12
607,223,14643,0,2026-07-06 16:03:12
608,224,17686,0,2026-07-06 16:03:12
609,225,11208,0,2026-07-06 16:03:12
610,225,14643,0,2026-07-06 16:03:12
611,226,17515,0,2026-07-06 16:03:12
612,226,17713,0,2026-07-06 16:03:12
613,226,7002,0,2026-07-06 16:03:12
614,226,17485,0,2026-07-06 16:03:12
