id,name,image,status,user_defined,user_id,create_date,modify_date
1,IBM Data Science,,1,1,,,
2,Introduction to Data Science,,1,1,,,
3,Python for Everybody,,1,1,,,
4,Google IT Support,,1,1,,,
5,Deep Learning,,1,1,,,
6,The Science of Well-Being,,1,1,,,
7,Machine Learning,,1,1,,,
8,Applied Data Science,,1,1,,,
9,Cloud Architecture with Google Cloud,,1,1,,,
10,Cloud Engineering with Google Cloud,,1,1,,,
11,Architecting with Google Compute Engine,,1,1,,,
12,Business Foundations,,1,1,,,
13,Data Science,,1,1,,,
14,Data Engineering with Google Cloud,,1,1,,,
15,IBM Applied AI,,1,1,,,
16,"Data Engineering, Big Data, and Machine Learning on GCP",,1,1,,,
17,Excel Skills for Business,,1,1,,,
18,Data Science: Foundations using R,,1,1,,,
19,Architecting with Google Kubernetes Engine,,1,1,,,
20,Financial Markets,,1,1,,,
21,Developing Applications with Google Cloud Platform,,1,1,,,
22,Security in Google Cloud Platform,,1,1,,,
23,Networking in Google Cloud,,1,1,,,
24,Finance & Quantitative Modeling for Analysts,,1,1,,,
25,COVID-19 Contact Tracing,,1,1,,,
26,Business Analytics,,1,1,,,
27,Google IT Automation with Python,,1,1,,,
28,Business and Financial Modeling,,1,1,,,
29,Applied Data Science with Python,,1,1,,,
30,Graphic Design,,1,1,,,
31,Introduction to Psychology,,1,1,,,
32,TensorFlow in Practice,,1,1,,,
33,Digital Marketing,,1,1,,,
34,IBM AI Engineering,,1,1,,,
35,Project Management Principles and Practices,,1,1,,,
36,Python 3 Programming,,1,1,,,
37,Foundations of Positive Psychology,,1,1,,,
38,Project Management & Other Tools for Career Development,,1,1,,,
39,Entrepreneurship,,1,1,,,
40,Improve Your English Communication Skills,,1,1,,,
41,Excel to MySQL: Analytic Techniques for Business,,1,1,,,
42,Digital Product Management,,1,1,,,
43,Web Design for Everybody: Basics of Web Development & Coding,,1,1,,,
44,Technical Support Fundamentals,,1,1,,,
45,Psychological First Aid,,1,1,,,
46,Successful Negotiation: Essential Strategies and Skills,,1,1,,,
47,Data Analysis and Presentation Skills: the PwC Approach,,1,1,,,
48,Java Programming and Software Engineering Fundamentals,,1,1,,,
49,UI / UX Design,,1,1,,,
50,Programming for Everybody (Getting Started with Python),,1,1,,,
51,Mathematics for Machine Learning,,1,1,,,
52,Search Engine Optimization (SEO),,1,1,,,
53,Human Resource Management: HR for People Managers,,1,1,,,
54,Career Success,,1,1,,,
55,Supply Chain Management,,1,1,,,
56,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,,1,1,,,
57,Social Media Marketing,,1,1,,,
58,Construction Management,,1,1,,,
59,Arizona State University TESOL,,1,1,,,
60,AI For Everyone,,1,1,,,
61,Achieving Personal and Professional Success,,1,1,,,
62,Data Visualization with Tableau,,1,1,,,
63,AWS Fundamentals,,1,1,,,
64,Neural Networks and Deep Learning,,1,1,,,
65,AI Foundations for Everyone,,1,1,,,
66,Software Product Management,,1,1,,,
67,Writing in the Sciences,,1,1,,,
68,AI for Medicine,,1,1,,,
69,Academic English: Writing,,1,1,,,
70,Algorithms,,1,1,,,
71,Digital Transformation,,1,1,,,
72,Leading People and Teams,,1,1,,,
73,Creative Writing,,1,1,,,
74,Agile Development,,1,1,,,
75,"Brand Management: Aligning Business, Brand and Behaviour",,1,1,,,
76,Fintech: Foundations & Applications of Financial Technology,,1,1,,,
77,"TESOL Certificate, Part 1: Teach English Now!",,1,1,,,
78,Stanford Introduction to Food and Health,,1,1,,,
79,Genomic Data Science,,1,1,,,
80,UCI Project Management,,1,1,,,
81,Statistics with R,,1,1,,,
82,Primeros Auxilios Psicológicos (PAP),,1,1,,,
83,Reinforcement Learning,,1,1,,,
84,Epidemiology in Public Health Practice,,1,1,,,
85,Learn SQL Basics for Data Science,,1,1,,,
86,Geographic Information Systems  (GIS),,1,1,,,
87,Data Structures and Algorithms,,1,1,,,
88,The Business of Health Care,,1,1,,,
89,Viral Marketing and How to Craft Contagious Content,,1,1,,,
90,Google Cloud Platform Fundamentals: Core Infrastructure,,1,1,,,
91,Object Oriented Programming in Java,,1,1,,,
92,Financial Accounting Fundamentals,,1,1,,,
93,The DIY Musician,,1,1,,,
94,Learning to Teach Online,,1,1,,,
95,Investment Management,,1,1,,,
96,IT Fundamentals for Cybersecurity,,1,1,,,
97,What is Data Science?,,1,1,,,
98,Methods and Statistics in Social Sciences,,1,1,,,
99,Management of Fashion and Luxury Companies,,1,1,,,
100,Regulatory Compliance,,1,1,,,
101,Social Psychology,,1,1,,,
102,Music Production,,1,1,,,
103,Fundamentals of Project Planning and Management,,1,1,,,
104,The Business of Music Production,,1,1,,,
105,Full-Stack Web Development with React,,1,1,,,
106,Design Thinking for Innovation,,1,1,,,
107,Strategic Leadership and Management,,1,1,,,
108,Business Statistics and Analysis,,1,1,,,
109,Photography Basics and Beyond: From Smartphone to DSLR,,1,1,,,
110,First Step Korean,,1,1,,,
111,Modern Art & Ideas,,1,1,,,
112,Excel Skills for Business: Essentials,,1,1,,,
113,Cisco Networking Basics,,1,1,,,
114,Learning How to Learn: Powerful mental tools to help you master tough subjects,,1,1,,,
115,Indigenous Canada,,1,1,,,
116,Advanced Machine Learning,,1,1,,,
117,Camino a la Excelencia en Gestión de Proyectos,,1,1,,,
118,Python Data Structures,,1,1,,,
119,The Singer Songwriter,,1,1,,,
120,Fashion as Design,,1,1,,,
121,Seeing Through Photographs,,1,1,,,
122,Business Strategy,,1,1,,,
123,Full Stack Web and Multiplatform Mobile App Development,,1,1,,,
124,Become a CBRS Certified Professional Installer by Google,,1,1,,,
125,Private Equity and Venture Capital,,1,1,,,
126,Machine Learning with TensorFlow on Google Cloud Platform,,1,1,,,
127,User Experience Research and Design,,1,1,,,
128,Accelerated Computer Science Fundamentals,,1,1,,,
129,Машинное обучение и анализ данных,,1,1,,,
130,Food & Beverage Management,,1,1,,,
131,Learn Spanish: Basic Spanish Vocabulary,,1,1,,,
132,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",,1,1,,,
133,Anatomy,,1,1,,,
134,Marketing Analytics,,1,1,,,
135,Statistics with Python,,1,1,,,
136,Managing Innovation and Design Thinking,,1,1,,,
137,Biostatistics in Public Health,,1,1,,,
138,Electronic Music Production,,1,1,,,
139,Organizational Leadership,,1,1,,,
140,Big Data,,1,1,,,
141,G Suite Administration,,1,1,,,
142,Interaction Design,,1,1,,,
143,Executive Data Science,,1,1,,,
144,Excel/VBA for Creative Problem Solving,,1,1,,,
145,Investment Management with Python and Machine Learning,,1,1,,,
146,Game Theory,,1,1,,,
147,"Effective Communication: Writing, Design, and Presentation",,1,1,,,
148,Intellectual Property Law,,1,1,,,
149,The Bits and Bytes of Computer Networking,,1,1,,,
150,Tools for Data Science,,1,1,,,
151,Science of Exercise,,1,1,,,
152,Data Science: Statistics and Machine Learning,,1,1,,,
153,Fundamentals of Immunology,,1,1,,,
154,Six Sigma Yellow Belt,,1,1,,,
155,An Introduction to American Law,,1,1,,,
156,An Introduction to Programming the Internet of Things (IOT),,1,1,,,
157,Functional Programming in Scala,,1,1,,,
158,Business Strategies for A Better World,,1,1,,,
159,Python for Data Science and AI,,1,1,,,
160,Design and Interpretation of Clinical Trials,,1,1,,,
161,Good with Words: Writing and Editing,,1,1,,,
162,Advanced Data Science with IBM,,1,1,,,
163,The Art of Sales: Mastering the Selling Process,,1,1,,,
164,Self-Driving Cars,,1,1,,,
165,The Strategy of Content Marketing,,1,1,,,
166,Introduction to Marketing,,1,1,,,
167,Financial Engineering and Risk Management Part I,,1,1,,,
168,"HTML, CSS, and Javascript for Web Developers",,1,1,,,
169,Machine Learning for Trading,,1,1,,,
170,Introduction to Programming in C,,1,1,,,
171,Financial Management,,1,1,,,
172,Web Applications for Everybody,,1,1,,,
173,Become an EMT,,1,1,,,
174,Statistical Analysis with R for Public Health,,1,1,,,
175,Engineering Project Management,,1,1,,,
176,Futures Thinking,,1,1,,,
177,Fundamentals of Graphic Design,,1,1,,,
178,Marketing Mix Implementation,,1,1,,,
179,Google Cloud Platform Big Data and Machine Learning Fundamentals,,1,1,,,
180,Child Nutrition and Cooking,,1,1,,,
181,Vital Signs: Understanding What the Body Is Telling Us,,1,1,,,
182,Искусство разработки на современном C++,,1,1,,,
183,Fundamentals of Quantitative Modeling,,1,1,,,
184,Blockchain Revolution,,1,1,,,
185,Forensic Accounting and Fraud Examination,,1,1,,,
186,Moral Foundations of Politics,,1,1,,,
187,Finding Purpose and Meaning In Life: Living for What Matters Most,,1,1,,,
188,Fundamentals of Computing,,1,1,,,
189,SAS Programmer,,1,1,,,
190,Introduction to Discrete Mathematics for Computer Science,,1,1,,,
191,Learn English: Intermediate Grammar,,1,1,,,
192,International Women's Health and Human Rights,,1,1,,,
193,Étudier en France: French Intermediate course B1-B2,,1,1,,,
194,English for Career Development,,1,1,,,
195,Investment and Portfolio Management,,1,1,,,
196,Introduction to Data Science in Python,,1,1,,,
197,Crash Course on Python,,1,1,,,
198,Business English Communication Skills,,1,1,,,
199,Six Sigma Green Belt,,1,1,,,
200,Project Launch,,1,1,,,
201,Learn Chinese: HSK Test Preparation,,1,1,,,
202,Финансовые инструменты для частного инвестора,,1,1,,,
203,Structuring Machine Learning Projects,,1,1,,,
204,Inspired Leadership,,1,1,,,
205,Introduction to Cyber Security,,1,1,,,
206,Using Python to Access Web Data,,1,1,,,
207,"Hotel Management: Distribution, Revenue and Demand Management",,1,1,,,
208,Global Diplomacy – Diplomacy in the Modern World,,1,1,,,
209,Introduction to the Biology of Cancer,,1,1,,,
210,Dynamic Public Speaking,,1,1,,,
211,Initiating and Planning Projects,,1,1,,,
212,What Is Contemporary Art?,,1,1,,,
213,Music Business,,1,1,,,
214,Advanced Business Analytics,,1,1,,,
215,Convolutional Neural Networks,,1,1,,,
216,Animal Behaviour and Welfare,,1,1,,,
217,Game Design and Development,,1,1,,,
218,Infectious Disease Modelling,,1,1,,,
219,Organizational Analysis,,1,1,,,
220,CAD and Digital Manufacturing,,1,1,,,
