id,callccid,user_id,call_duration,call_status,follow_up_type,follow_up,initial_percentage,next_follow_date,update_percentage,call_outcome,remark,status,create_date,modify_date
1,,14179,6,1,,2,10,2026-01-24,5,1,hello,1,2026-01-22 15:59:09,2026-01-16 15:59:09
2,,14179,6,1,,2,10,2026-02-28,5,1,hello,1,2026-01-22 17:00:14,2026-01-22 15:59:14
3,,14179,6,1,,2,10,2026-01-24,5,6,hello,1,2025-01-16 16:02:18,2026-01-16 16:02:18
4,,14282,5,3,,3,75,2026-01-21,98,3,busy call,1,2026-01-21 17:03:51,2026-01-16 16:03:51
5,,14282,6,2,,3,65,2026-01-29,45,2,drftgerstw,1,2026-01-18 20:05:40,2026-01-16 16:05:40
6,,2392,45,7,,1,53,2026-01-25,33,6,ertewrt,1,2025-01-16 16:11:01,2026-01-16 16:11:01
7,,2392,45,2,,1,53,2026-01-25,33,7,ertewrt,1,2026-01-16 16:11:15,2026-01-16 16:11:15
8,,2392,45,5,,1,53,2026-01-25,33,1,ertewrt,1,2026-01-07 15:11:16,2026-01-16 16:11:16
9,,2392,45,2,,1,53,2026-01-25,33,5,ertewrt,1,2026-01-16 16:11:17,2026-01-16 16:11:17
10,,2392,45,7,,1,53,2026-02-26,33,1,ertewrt,1,2026-01-10 16:11:17,2026-01-16 16:11:17
11,,14282,45,2,,1,453,2026-01-22,35,2,5325,1,2026-01-10 16:12:17,2026-01-16 16:12:17
12,,12123,4,4,,3,54,2026-01-23,54,2,rtetttttt,1,2026-01-16 16:25:14,2026-01-16 16:25:14
13,,10986,4,3,,2,53,2026-02-21,53,3,etrtttttttttttttttttt,1,2026-01-16 16:27:44,2026-01-16 16:27:44
14,,14282,56,2,,2,45,2026-01-29,5,2,rtertrtr,1,2026-02-06 16:28:44,2026-01-16 16:28:44
15,,10986,46,5,,2,43,2026-02-05,54,4,345,1,2026-01-16 16:39:36,2026-01-16 16:39:36
16,CC887,10986,5,3,,2,54,2026-01-21,54,7,4tret,1,2026-01-01 12:41:16,2026-01-16 16:41:16
17,CCE123353,14282,5,3,,2,53,2026-01-28,53,2,wewwwwwwwwwwwwww,1,2026-01-08 16:41:58,2026-01-16 16:41:58
18,CCC887832,12123,56,1,,1,13,2026-01-13,60,2,test,1,2026-01-30 10:58:08,2026-01-20 10:58:08
19,CCE440124,5014,12,6,,1,100,2026-01-30,80,1,She is intrested,1,2026-01-23 12:04:29,2026-01-23 12:04:29
20,CCE007756,19,5,3,,1,100,0000-00-00,60,3,,1,2026-01-23 12:05:16,2026-01-23 12:05:16
21,CCE830071,19474,50,1,1,1,9,2026-02-07,60,1,Signup complete,1,2026-01-30 12:18:57,2026-01-30 12:18:57
22,CCE60,3152,54,1,2,1,0,2026-02-07,55,2,test,1,2025-01-30 17:51:04,2026-01-30 17:51:04
23,CCE123353,14282,54,1,2,1,45,2026-02-25,88,2,tryr,1,2026-02-04 12:42:43,2026-02-04 12:42:43
24,CCE123353,14282,43,3,2,2,70,2026-03-05,90,2,tytryttttt,1,2026-02-04 13:12:25,2026-02-04 13:12:25
25,CCC165246,39129,54,2,2,1,4,2026-03-05,78,3,yyyy,1,2026-02-04 13:23:02,2026-02-04 13:23:02
26,CCE123353,,53,2,2,1,,,,1,,1,2026-02-05 12:43:14,2026-02-05 12:43:14
27,CCE123353,14282,43,,2,1,,,,,,1,2026-02-05 12:44:12,2026-02-05 12:44:12
28,CCC887832,12123,00:00:07,2,3,1,435,2026-02-26,55,2,rtert,1,2026-02-06 11:31:47,2026-02-06 11:31:47
29,CCE440124,5014,00:00:19,3,2,1,100,,100,1,test,1,2026-02-06 14:49:25,2026-02-06 14:49:25
30,CCE440124,5014,0,2,2,1,65,,100,3,,1,2026-02-06 14:50:53,2026-02-06 14:50:53
31,CCE440124,5014,00:00:10,2,2,1,55,,55,2,,1,2026-02-06 14:52:12,2026-02-06 14:52:12
32,CCE440124,5014,0,2,2,1,100,,100,1,,1,2026-02-06 14:52:36,2026-02-06 14:52:36
33,CCE440124,5014,0,3,2,1,45,2026-03-05,66,3,,1,2026-03-31 14:53:03,2026-02-06 14:53:03
34,CCE440124,5014,00:00:14,2,3,1,44,2026-03-06,66,3,fdgd,1,2026-01-30 14:53:53,2026-02-06 14:53:53
35,CCE440124,5014,00:00:10,2,3,2,100,,100,6,,1,2026-02-19 17:41:55,2026-03-21 17:41:55
36,CCE440124,5014,00:00:30,1,4,1,29,2026-05-22,50,5,Connected,1,2026-05-09 15:33:22,2026-05-09 15:33:22
37,CCE830071,19474,00:00:00,8,6,1,10,2026-05-28,18,7,Not pickup,1,2026-05-02 15:34:16,2026-05-09 15:34:16
