id,name,user_defined,user_id,status,create_date,modify_date
1,Sales ,,,1,0000-00-00 00:00:00,0000-00-00 00:00:00
2,Markteing,,,1,0000-00-00 00:00:00,0000-00-00 00:00:00
3,IT,,,1,0000-00-00 00:00:00,0000-00-00 00:00:00
4,AI,1,,1,2024-10-21 13:29:10,2024-10-21 13:29:10
5,Quality,1,,1,2024-11-01 21:00:25,2024-11-01 21:00:25
6,Management,1,,1,2024-11-07 13:23:02,2024-11-07 13:23:02
7,Engineering - Software & QA,1,,1,2024-11-11 11:42:11,2024-11-11 11:42:11
8,Moto,1,,1,2024-11-12 17:46:52,2024-11-12 17:46:52
9,Design,1,,1,2024-11-13 15:31:39,2024-11-13 15:31:39
10,SERVICE,1,,1,2024-11-13 18:43:03,2024-11-13 18:43:03
11,production,1,,1,2024-12-02 15:02:30,2024-12-02 15:02:30
12,Product,1,,1,2024-12-08 20:54:43,2024-12-08 20:54:43
13,Product Management,1,,1,2024-12-08 21:02:21,2024-12-08 21:02:21
14,Digital Marketing,1,,1,2025-01-09 11:22:53,2025-01-09 11:22:53
15,web devlopment,1,,1,2025-01-21 18:02:17,2025-01-21 18:02:17
16,Admin,1,,1,2025-02-04 18:01:01,2025-02-04 18:01:01
17,tech,1,,1,2025-02-14 14:56:22,2025-02-14 14:56:22
18,webX,1,,1,2025-02-14 14:58:02,2025-02-14 14:58:02
19,dfgdfg,1,,1,2025-02-14 15:59:36,2025-02-14 15:59:36
20,Cleaning,1,,1,2025-03-04 17:59:54,2025-03-04 17:59:54
21,Web development,1,,1,2025-03-05 16:07:37,2025-03-05 16:07:37
22,ACCOUNTS,1,,1,2025-03-05 16:10:33,2025-03-05 16:10:33
23,Legal,1,,1,2025-03-05 16:13:11,2025-03-05 16:13:11
24,Estimation,1,,1,2025-03-05 16:20:29,2025-03-05 16:20:29
25,Tendering,1,,1,2025-03-05 16:36:12,2025-03-05 16:36:12
26,Graphics,1,,1,2025-03-05 16:36:27,2025-03-05 16:36:27
27,Project,1,,1,2025-03-05 16:37:52,2025-03-05 16:37:52
28,HR,1,,1,2025-03-05 16:39:34,2025-03-05 16:39:34
29,Regulatory Affairs,1,,1,2025-03-05 16:40:33,2025-03-05 16:40:33
30,Maintenance Dept,1,,1,2025-03-05 17:04:26,2025-03-05 17:04:26
31,International Tender,1,,1,2025-03-05 17:31:36,2025-03-05 17:31:36
32,Digital Markteing,1,,1,2025-03-05 17:39:59,2025-03-05 17:39:59
33,pp,1,,1,2025-03-06 01:15:58,2025-03-06 01:15:58
34,IT & Development,1,,1,2025-03-16 14:21:33,2025-03-16 14:21:33
36,Test,1,,1,2025-03-18 19:54:47,2025-03-18 19:54:47
37,Marketing & Communication,1,,1,2025-03-24 15:11:22,2025-03-24 15:11:22
