id,followed_id,follower_id,status,is_deleted,create_date,modify_date
1,1,2,1,0,2025-03-24 12:15:32,2025-03-24 12:15:32
3,45,5,1,0,2025-03-24 17:11:18,2025-03-24 17:11:18
4,32,60,1,0,2025-03-24 17:29:33,2025-03-24 17:29:33
5,32,33,1,0,2025-03-24 17:29:57,2025-08-19 18:21:02
6,32,65,1,0,2025-03-24 17:30:16,2025-03-24 17:30:16
7,32,25,1,0,2025-03-24 17:30:41,2025-03-24 17:30:41
8,32,22,1,0,2025-03-24 17:31:12,2025-03-24 17:31:12
9,32,63,0,0,2025-03-24 17:31:24,2025-03-24 17:31:24
10,32,55,1,0,2025-03-24 17:32:03,2025-03-24 17:32:03
11,48,49,1,0,2025-03-24 17:39:52,2025-03-24 17:39:52
13,48,53,1,0,2025-03-24 17:51:10,2025-03-24 17:51:10
14,48,65,1,0,2025-03-24 17:51:53,2025-03-24 17:51:53
15,53,48,1,0,2025-03-24 18:07:13,2025-03-24 18:07:13
16,60,32,1,0,2025-03-24 18:08:13,2025-03-24 18:08:13
17,60,65,1,0,2025-03-24 18:09:06,2025-03-24 18:09:06
18,60,41,1,0,2025-03-24 18:09:37,2025-03-24 18:09:37
19,60,3,1,0,2025-03-24 18:09:52,2025-03-24 18:09:52
20,60,5,1,0,2025-03-24 18:10:00,2025-03-24 18:10:00
21,65,3,1,0,2025-03-24 18:10:25,2025-03-24 18:10:25
22,1,1,1,0,2025-03-24 20:54:30,2025-03-24 20:54:30
23,22,32,1,0,2025-03-24 23:00:16,2025-03-24 23:00:16
24,88,14,1,0,2025-03-25 15:29:03,2025-03-25 15:29:03
27,25,60,0,0,2025-03-26 10:39:46,2025-03-26 10:39:46
28,25,27,0,0,2025-03-26 10:40:00,2025-03-26 10:40:00
29,19,104,1,0,2025-03-26 10:44:08,2025-03-26 10:44:08
30,25,46,1,0,2025-03-26 10:51:20,2025-03-26 10:51:20
31,18,14,1,1,2025-03-26 12:10:26,2025-03-26 12:10:26
32,18,2,1,1,2025-03-26 13:00:08,2025-03-26 13:00:08
33,51,57,1,0,2025-03-26 13:20:40,2025-03-26 13:20:40
34,45,51,1,0,2025-03-26 15:04:41,2025-03-26 15:04:41
36,6,92,1,0,2025-03-27 15:12:45,2025-03-27 15:12:45
37,92,6,1,0,2025-03-27 15:57:41,2025-03-27 15:57:41
38,4,14,1,0,2025-03-27 18:20:15,2025-03-27 18:20:15
39,38,1,1,0,2025-03-28 22:15:40,2025-03-28 22:15:40
40,166,4,1,0,2025-03-30 16:53:18,2025-03-30 16:53:18
41,214,40,1,0,2025-03-31 16:20:45,2025-03-31 16:20:45
42,1,18,1,0,2025-03-31 16:35:12,2025-03-31 16:35:12
43,1,214,0,0,2025-03-31 18:11:14,2025-03-31 18:11:14
44,18,1,1,0,2025-04-01 11:10:00,2025-04-01 11:10:00
45,137,5,1,0,2025-04-01 14:41:26,2025-04-01 14:41:26
47,182,2,1,0,2025-04-01 18:09:16,2025-04-01 18:09:16
48,1,281,1,0,2025-04-02 14:13:05,2025-04-02 14:13:05
49,201,111,1,0,2025-04-05 01:15:40,2025-04-05 01:15:40
50,4,297,0,0,2025-04-06 23:27:12,2025-04-06 23:27:12
52,88,230,0,0,2025-04-09 13:12:40,2025-04-09 13:12:40
53,19,18,1,0,2025-04-11 17:53:26,2025-04-11 17:53:26
54,19,14,1,0,2025-04-11 17:53:36,2025-04-11 17:53:36
55,502,297,0,0,2025-04-14 11:55:41,2025-04-14 11:55:41
56,21,1,1,0,2025-04-19 12:40:08,2025-04-19 12:40:08
58,201,3,1,0,2025-04-24 18:22:23,2025-04-24 18:22:23
59,313,18,1,0,2025-04-26 15:49:05,2025-04-26 15:49:05
60,313,14,1,0,2025-04-26 15:49:16,2025-04-26 15:49:16
61,313,39,1,0,2025-04-26 15:49:30,2025-04-26 15:49:30
62,313,88,1,0,2025-04-26 15:49:40,2025-04-26 15:49:40
63,313,19,1,0,2025-04-26 15:50:02,2025-04-26 15:50:02
64,849,214,0,0,2025-04-26 21:07:59,2025-04-26 21:07:59
65,683,801,0,0,2025-04-28 11:45:19,2025-04-28 11:45:19
68,1104,107,0,0,2025-04-30 21:41:38,2025-04-30 21:41:38
69,1105,79,0,0,2025-04-30 22:42:51,2025-04-30 22:42:51
70,1309,1290,1,0,2025-05-04 22:15:08,2025-05-04 22:15:08
71,201,5,1,0,2025-05-07 12:09:59,2025-05-07 12:09:59
72,968,5,1,0,2025-05-11 18:52:39,2025-05-11 18:52:39
73,1926,1888,1,0,2025-05-15 22:48:10,2025-05-15 22:48:10
74,1309,1765,0,0,2025-05-17 14:40:04,2025-05-17 14:40:04
75,1309,1624,0,0,2025-05-17 14:40:16,2025-05-17 14:40:16
76,2194,50,0,0,2025-05-20 21:21:34,2025-05-20 21:21:34
77,2194,60,0,0,2025-05-20 21:41:11,2025-05-20 21:41:11
79,2461,1624,0,0,2025-05-24 15:13:09,2025-05-24 15:13:09
81,2461,1771,0,0,2025-05-24 15:15:02,2025-05-24 15:15:02
82,5,313,1,0,2025-05-27 11:36:43,2025-05-27 11:36:43
83,134,2,1,0,2025-05-29 11:13:44,2025-05-29 11:13:44
84,2828,313,0,0,2025-05-30 18:10:24,2025-05-30 18:10:24
85,2904,1730,1,0,2025-06-01 21:02:17,2025-06-01 21:02:17
87,3020,2675,1,0,2025-06-03 19:42:16,2025-06-03 19:42:16
88,3054,949,0,0,2025-06-04 00:46:33,2025-06-04 00:46:33
89,3083,2,1,0,2025-06-04 15:21:07,2025-06-04 15:21:07
90,3109,679,0,0,2025-06-04 21:53:27,2025-06-04 21:53:27
91,3136,2647,0,0,2025-06-05 16:58:31,2025-06-05 16:58:31
92,3172,3146,0,0,2025-06-05 20:08:14,2025-06-05 20:08:14
94,3243,2682,0,0,2025-06-06 20:19:24,2025-06-06 20:19:24
95,3336,458,1,0,2025-06-07 23:00:50,2025-06-07 23:00:50
96,3365,156,1,0,2025-06-08 13:54:30,2025-06-08 13:54:30
97,1957,1,1,0,2025-06-09 01:19:24,2025-06-09 01:19:24
99,3489,2917,0,0,2025-06-09 17:42:42,2025-06-09 17:42:42
100,3499,41,1,0,2025-06-10 10:49:36,2025-06-10 10:49:36
101,3518,394,0,0,2025-06-10 11:11:17,2025-06-10 11:11:17
104,3584,3146,0,0,2025-06-10 21:25:17,2025-06-10 21:25:17
105,3607,2647,0,0,2025-06-11 00:46:16,2025-06-11 00:46:16
107,3463,639,1,1,2025-06-11 10:18:05,2025-06-11 10:18:05
108,3463,2,1,0,2025-06-11 10:18:26,2025-06-11 10:18:26
109,3463,18,1,0,2025-06-11 12:00:38,2025-06-11 12:00:38
110,3463,182,1,0,2025-06-11 13:19:42,2025-06-11 13:19:42
111,3675,179,1,0,2025-06-11 16:56:00,2025-06-11 16:56:00
113,19,2670,1,0,2025-06-12 11:43:54,2025-06-12 11:43:54
114,3463,48,0,0,2025-06-12 15:14:25,2025-06-12 15:14:25
115,3790,5,1,0,2025-06-12 15:20:41,2025-06-12 15:20:41
116,3790,2,1,0,2025-06-12 15:20:43,2025-06-12 15:20:43
117,3790,3,1,0,2025-06-12 15:20:45,2025-06-12 15:20:45
118,3790,653,1,0,2025-06-12 15:20:52,2025-06-12 15:20:52
119,3790,116,1,0,2025-06-12 15:20:57,2025-06-12 15:20:57
120,3790,108,1,0,2025-06-12 15:21:07,2025-06-12 15:21:07
121,3790,924,1,0,2025-06-12 15:21:12,2025-06-12 15:21:12
122,3790,46,1,0,2025-06-12 15:21:19,2025-06-12 15:21:19
124,3790,3689,0,0,2025-06-12 15:22:23,2025-06-12 15:22:23
125,3790,3675,0,0,2025-06-12 15:22:36,2025-06-12 15:22:36
126,3790,3676,0,0,2025-06-12 15:22:38,2025-06-12 15:22:38
127,3790,3679,0,0,2025-06-12 15:22:40,2025-06-12 15:22:40
128,3790,3770,0,0,2025-06-12 15:35:21,2025-06-12 15:35:21
129,3790,3766,0,0,2025-06-12 15:35:23,2025-06-12 15:35:23
130,3790,3745,0,0,2025-06-12 15:35:24,2025-06-12 15:35:24
131,3463,5,1,0,2025-06-12 16:19:37,2025-06-12 16:19:37
132,3463,46,1,0,2025-06-12 16:22:02,2025-06-12 16:22:02
133,3463,3,1,0,2025-06-12 18:04:08,2025-06-12 18:04:08
135,3831,3745,0,0,2025-06-12 23:24:56,2025-06-12 23:24:56
136,91,1,1,0,2025-06-13 00:46:05,2025-06-13 00:46:05
137,3844,5,1,0,2025-06-13 02:52:38,2025-06-13 02:52:38
139,3850,3844,0,0,2025-06-13 08:35:52,2025-06-13 08:35:52
140,3862,313,0,0,2025-06-13 13:35:07,2025-06-13 13:35:07
141,3864,3797,0,0,2025-06-13 13:59:50,2025-06-13 13:59:50
142,3864,3613,0,0,2025-06-13 13:59:51,2025-06-13 13:59:51
143,3864,3651,0,0,2025-06-13 13:59:52,2025-06-13 13:59:52
144,3864,3663,0,0,2025-06-13 13:59:53,2025-06-13 13:59:53
145,3864,4,1,0,2025-06-13 14:08:01,2025-06-13 14:08:01
146,3864,134,1,0,2025-06-13 14:08:02,2025-06-13 14:08:02
147,3864,313,0,0,2025-06-13 14:08:04,2025-06-13 14:08:04
148,3865,3844,0,0,2025-06-13 14:37:42,2025-06-13 14:37:42
149,3865,3806,0,0,2025-06-13 14:37:44,2025-06-13 14:37:44
150,3865,5,1,0,2025-06-13 14:41:32,2025-06-13 14:41:32
151,3865,2,1,0,2025-06-13 14:41:34,2025-06-13 14:41:34
152,3864,1033,0,0,2025-06-13 14:45:18,2025-06-13 14:45:18
153,3864,3842,0,0,2025-06-13 14:45:26,2025-06-13 14:45:26
154,3864,3844,0,0,2025-06-13 14:45:29,2025-06-13 14:45:29
155,3864,3854,0,0,2025-06-13 14:45:30,2025-06-13 14:45:30
156,3864,3855,0,0,2025-06-13 14:45:36,2025-06-13 14:45:36
157,3864,3865,0,0,2025-06-13 14:45:40,2025-06-13 14:45:40
158,3864,3836,0,0,2025-06-13 14:45:44,2025-06-13 14:45:44
159,3864,3612,0,0,2025-06-13 14:45:49,2025-06-13 14:45:49
160,3864,2916,1,0,2025-06-13 14:45:50,2025-06-13 14:45:50
161,3864,3739,0,0,2025-06-13 14:45:55,2025-06-13 14:45:55
162,3864,3745,0,0,2025-06-13 14:45:59,2025-06-13 14:45:59
163,3864,1850,1,0,2025-06-13 14:46:26,2025-06-13 14:46:26
164,3864,1849,1,0,2025-06-13 14:46:27,2025-06-13 14:46:27
165,3864,1788,1,0,2025-06-13 14:46:29,2025-06-13 14:46:29
166,3864,3873,0,0,2025-06-13 16:31:39,2025-06-13 16:31:39
167,3864,1660,0,0,2025-06-13 16:32:01,2025-06-13 16:32:01
168,3864,3688,0,0,2025-06-13 16:32:02,2025-06-13 16:32:02
169,3864,3443,0,0,2025-06-13 16:32:04,2025-06-13 16:32:04
170,3864,3505,0,0,2025-06-13 16:32:05,2025-06-13 16:32:05
171,3894,2,1,0,2025-06-13 20:31:11,2025-06-13 20:31:11
172,3911,2,1,0,2025-06-14 01:04:48,2025-06-14 01:04:48
173,3913,2,1,0,2025-06-14 01:16:46,2025-06-14 01:16:46
174,3913,3770,0,0,2025-06-14 01:21:46,2025-06-14 01:21:46
175,3916,5,1,0,2025-06-14 02:35:58,2025-06-14 02:35:58
176,3916,2,1,0,2025-06-14 02:36:06,2025-06-14 02:36:06
177,3916,3,1,0,2025-06-14 02:36:08,2025-06-14 02:36:08
179,3916,924,1,0,2025-06-14 02:36:23,2025-06-14 02:36:23
180,3900,2,1,0,2025-06-14 11:43:25,2025-06-14 11:43:25
181,3900,46,1,0,2025-06-14 11:44:39,2025-06-14 11:44:39
183,3900,5,1,0,2025-06-14 11:45:05,2025-06-14 11:45:05
184,2349,2,1,0,2025-06-14 12:30:46,2025-06-14 12:30:46
185,2349,5,1,0,2025-06-14 12:30:47,2025-06-14 12:30:47
186,3948,2,1,0,2025-06-14 15:15:25,2025-06-14 15:15:25
187,3962,2294,0,0,2025-06-14 19:52:15,2025-06-14 19:52:15
188,3962,2111,0,0,2025-06-14 19:52:21,2025-06-14 19:52:21
189,3962,1827,0,0,2025-06-14 19:52:27,2025-06-14 19:52:27
190,3962,642,0,0,2025-06-14 19:52:30,2025-06-14 19:52:30
191,3977,2675,1,0,2025-06-14 23:14:39,2025-06-14 23:14:39
192,3977,1503,1,0,2025-06-14 23:14:43,2025-06-14 23:14:43
193,3977,1499,1,0,2025-06-14 23:14:47,2025-06-14 23:14:47
194,4005,1633,1,0,2025-06-15 15:17:13,2025-06-15 15:17:13
195,4017,2675,1,0,2025-06-15 19:16:49,2025-06-15 19:16:49
196,4017,924,1,0,2025-06-15 19:16:52,2025-06-15 19:16:52
197,4017,2,1,0,2025-06-15 19:16:58,2025-06-15 19:16:58
198,4018,4005,0,0,2025-06-15 19:23:40,2025-06-15 19:23:40
200,4017,108,1,0,2025-06-15 19:28:02,2025-06-15 19:28:02
201,4017,46,1,0,2025-06-15 19:28:06,2025-06-15 19:28:06
202,4043,4019,0,0,2025-06-15 22:50:42,2025-06-15 22:50:42
203,4043,4005,0,0,2025-06-15 22:50:48,2025-06-15 22:50:48
204,4043,3993,0,0,2025-06-15 22:50:52,2025-06-15 22:50:52
205,4043,3979,0,0,2025-06-15 22:51:07,2025-06-15 22:51:07
206,1,1464,0,0,2025-06-16 02:05:06,2025-06-16 02:05:06
207,1,912,0,0,2025-06-16 02:05:08,2025-06-16 02:05:08
208,1,5,1,0,2025-06-16 02:05:19,2025-06-16 02:05:19
209,1,3,1,0,2025-06-16 02:05:22,2025-06-16 02:05:22
210,1,901,0,0,2025-06-16 02:12:24,2025-06-16 02:12:24
211,1,2605,1,0,2025-06-16 02:14:57,2025-06-16 02:14:57
212,1,2025,0,0,2025-06-16 02:15:12,2025-06-16 02:15:12
213,4070,2,1,0,2025-06-16 07:13:12,2025-06-16 07:13:12
215,3367,4062,0,0,2025-06-16 13:44:25,2025-06-16 13:44:25
216,3367,5,1,0,2025-06-16 13:44:45,2025-06-16 13:44:45
217,4106,5,1,0,2025-06-16 14:27:39,2025-06-16 14:27:39
219,4106,924,1,0,2025-06-16 14:27:59,2025-06-16 14:27:59
220,4106,2675,1,0,2025-06-16 14:28:02,2025-06-16 14:28:02
221,4087,46,1,0,2025-06-16 16:33:04,2025-06-16 16:33:04
222,4087,924,1,0,2025-06-16 16:33:06,2025-06-16 16:33:06
223,4087,108,1,0,2025-06-16 16:33:10,2025-06-16 16:33:10
224,4087,213,1,0,2025-06-16 16:33:13,2025-06-16 16:33:13
225,4087,116,1,0,2025-06-16 16:33:15,2025-06-16 16:33:15
227,4087,3,1,0,2025-06-16 16:33:23,2025-06-16 16:33:23
228,4087,2,1,0,2025-06-16 16:33:25,2025-06-16 16:33:25
229,4087,5,1,0,2025-06-16 16:33:26,2025-06-16 16:33:26
230,4120,5,1,0,2025-06-16 16:51:30,2025-06-16 16:51:30
231,4120,2,1,0,2025-06-16 16:51:32,2025-06-16 16:51:32
232,4120,3,1,0,2025-06-16 16:51:36,2025-06-16 16:51:36
234,4136,5,1,0,2025-06-16 20:33:16,2025-06-16 20:33:16
235,4136,2675,1,0,2025-06-16 20:34:04,2025-06-16 20:34:04
236,4141,2,1,0,2025-06-16 21:58:12,2025-06-16 21:58:12
237,4141,3,1,0,2025-06-16 21:58:15,2025-06-16 21:58:15
238,4141,46,1,0,2025-06-16 21:58:35,2025-06-16 21:58:35
239,4141,2675,1,0,2025-06-16 21:58:37,2025-06-16 21:58:37
240,4143,46,1,0,2025-06-16 22:18:56,2025-06-16 22:18:56
241,4151,4083,0,0,2025-06-16 23:08:23,2025-06-16 23:08:23
242,4183,4091,0,0,2025-06-17 10:05:49,2025-06-17 10:05:49
243,4183,4083,0,0,2025-06-17 10:05:53,2025-06-17 10:05:53
244,4187,4091,0,0,2025-06-17 10:40:07,2025-06-17 10:40:07
245,3607,4152,0,0,2025-06-17 11:44:48,2025-06-17 11:44:48
246,3607,4148,0,0,2025-06-17 11:44:51,2025-06-17 11:44:51
247,3607,4119,0,0,2025-06-17 11:44:53,2025-06-17 11:44:53
248,3607,4091,0,0,2025-06-17 11:45:05,2025-06-17 11:45:05
249,3607,4083,0,0,2025-06-17 11:45:07,2025-06-17 11:45:07
250,3607,4062,0,0,2025-06-17 11:45:09,2025-06-17 11:45:09
251,3607,4057,0,0,2025-06-17 11:45:15,2025-06-17 11:45:15
252,3607,4045,0,0,2025-06-17 11:45:16,2025-06-17 11:45:16
253,3607,4019,0,0,2025-06-17 11:45:18,2025-06-17 11:45:18
254,3607,4005,0,0,2025-06-17 11:45:22,2025-06-17 11:45:22
255,3607,1175,0,0,2025-06-17 11:46:20,2025-06-17 11:46:20
256,3607,3568,0,0,2025-06-17 11:46:22,2025-06-17 11:46:22
257,2670,639,1,0,2025-06-17 12:04:15,2025-06-17 12:04:15
258,4216,2,1,0,2025-06-17 14:43:46,2025-06-17 14:43:46
259,4229,2,1,0,2025-06-17 15:19:17,2025-06-17 15:19:17
260,4233,2,1,0,2025-06-17 16:07:17,2025-06-17 16:07:17
261,4237,2,1,0,2025-06-17 16:18:37,2025-06-17 16:18:37
262,4237,3,1,0,2025-06-17 16:18:41,2025-06-17 16:18:41
263,4237,2675,1,0,2025-06-17 16:18:55,2025-06-17 16:18:55
264,4252,2675,1,0,2025-06-17 20:31:51,2025-06-17 20:31:51
265,3109,4148,0,0,2025-06-17 21:04:11,2025-06-17 21:04:11
266,3109,4152,0,0,2025-06-17 21:04:12,2025-06-17 21:04:12
267,3109,4119,0,0,2025-06-17 21:04:14,2025-06-17 21:04:14
268,3109,4091,0,0,2025-06-17 21:04:16,2025-06-17 21:04:16
269,4296,4152,0,0,2025-06-18 06:59:39,2025-06-18 06:59:39
270,4296,4148,0,0,2025-06-18 06:59:45,2025-06-18 06:59:45
271,4296,4119,0,0,2025-06-18 06:59:50,2025-06-18 06:59:50
272,4296,4091,0,0,2025-06-18 06:59:54,2025-06-18 06:59:54
273,4296,4057,0,0,2025-06-18 07:00:08,2025-06-18 07:00:08
274,4330,4331,1,0,2025-06-18 12:25:03,2025-06-18 12:25:03
275,4330,4255,0,0,2025-06-18 12:25:08,2025-06-18 12:25:08
276,4330,4152,0,0,2025-06-18 12:25:11,2025-06-18 12:25:11
277,4330,4148,0,0,2025-06-18 12:25:15,2025-06-18 12:25:15
278,4330,4119,0,0,2025-06-18 12:25:17,2025-06-18 12:25:17
279,4330,4091,0,0,2025-06-18 12:25:19,2025-06-18 12:25:19
280,4330,4083,0,0,2025-06-18 12:25:22,2025-06-18 12:25:22
281,4330,4062,0,0,2025-06-18 12:25:24,2025-06-18 12:25:24
282,4330,4057,0,0,2025-06-18 12:25:26,2025-06-18 12:25:26
283,4336,2675,1,0,2025-06-18 12:28:04,2025-06-18 12:28:04
284,13,2670,1,0,2025-06-18 12:53:19,2025-06-18 12:53:19
285,4387,4330,0,0,2025-06-18 18:41:30,2025-06-18 18:41:30
286,1,2213,0,0,2025-06-18 20:58:38,2025-06-18 20:58:38
287,4462,4435,0,0,2025-06-19 09:51:34,2025-06-19 09:51:34
