id,name,image,user_defined,status,user_id,create_date,modify_date
1,Acharya Nagarjuna University,,1,1,,,
2,Adikavi Nannaya University,,1,1,,,
3,Andhra University,,1,1,,,
4,Damodaram Sanjivayya National Law University,,1,1,,,
5,Dr. B.R. Ambedkar University,,1,1,,,
6,Dr. N.T.R. University of Health Sciences,,1,1,,,
7,Dr.Y.S.R. Horticultural University,,1,1,,,
8,Dravidian University,,1,1,,,
9,Gandhi Institute of Technology and Management,,1,1,,,
10,"Indian Institute of Information Technology, Sri City",,1,1,,,
11,"Jawaharlal Nehru Technological University, Anantapur",,1,1,,,
12,"Jawaharlal Nehru Technological University, Kakinada",,1,1,,,
13,K L University,,1,1,,,
14,Krishna University,,1,1,,,
15,Rashtriya Sanskrit Vidyapeetha,,1,1,,,
16,Rayalaseema University,,1,1,,,
17,"School of Planning and Architecture, Vijayawada",,1,1,,,
18,Sri Krishnadevaraya University,,1,1,,,
19,Sri Padmavati Mahila Visvavidyalayam,,1,1,,,
20,Sri Sathya Sai Institute of Higher Learning,,1,1,,,
21,Sri Venkateswara Institute of Medical Sciences,,1,1,,,
22,Sri Venkateswara University,,1,1,,,
23,Sri Venkateswara Vedic University,,1,1,,,
24,Sri Venkateswara Veterinary University,,1,1,,,
25,Vignan University,,1,1,,,
26,Vikrama Simhapuri University,,1,1,,,
27,Yogi Vemana University,,1,1,,,
28,"National Institute of Technology, Tadepalligudem, Andhra Pradesh",,1,1,,,
29,Apex Professional University,,1,1,,,
30,Arunachal University of Studies,,1,1,,,
31,Arunodaya University,,1,1,,,
32,Himalayan University,,1,1,,,
33,Indira Gandhi Technological and Medical Sciences University,,1,1,,,
34,"National Institute of Technology, Arunachal Pradesh",,1,1,,,
35,North East Frontier Technical University,,1,1,,,
36,North Eastern Regional Institute of Science and Technology,,1,1,,,
37,Rajiv Gandhi University,,1,1,,,
38,Assam Agricultural University,,1,1,,,
39,Assam Don Bosco University,,1,1,,,
40,Assam Down Town University,,1,1,,,
41,Assam Rajiv Gandhi University of Cooperative Management,,1,1,,,
42,Assam Science and Technology University,,1,1,,,
43,Assam University,,1,1,,,
44,Assam Womens University,,1,1,,,
45,Bodoland University,,1,1,,,
46,Cotton University,,1,1,,,
47,Dibrugarh University,,1,1,,,
