id,company_id,user_id,job_id,role,status,invited_by,created_at,updated_at,is_deleted
12,39079,18,686,viewer,1,2670,2026-01-27 17:15:07,2026-01-27 17:15:07,0
13,39079,38672,686,viewer,1,2670,2026-01-27 17:15:07,2026-01-27 17:15:07,0
14,39079,639,686,viewer,1,2670,2026-01-27 17:15:07,2026-01-27 17:15:07,0
15,39079,2670,686,viewer,1,2670,2026-01-27 17:15:07,2026-01-27 17:15:07,0
16,13,19,5,viewer,1,19,2026-01-27 17:22:34,2026-01-27 17:22:34,0
19,13,27,5,viewer,1,19,2026-01-28 17:07:16,2026-01-28 17:07:16,0
21,13,18,5,viewer,1,19,2026-01-28 17:14:55,2026-01-28 17:14:55,0
22,13,25,5,viewer,1,19,2026-01-28 17:15:02,2026-01-28 17:15:02,0
23,39079,18,687,viewer,1,2670,2026-01-28 17:15:47,2026-01-28 17:15:47,0
25,39079,639,687,viewer,1,2670,2026-01-28 17:16:30,2026-01-28 17:16:30,0
26,39079,2670,687,viewer,1,2670,2026-01-28 17:16:41,2026-01-28 17:16:41,0
27,39122,39123,688,viewer,1,39121,2026-01-28 18:13:45,2026-01-28 18:13:45,0
28,39122,18,688,viewer,1,39121,2026-01-28 18:13:45,2026-01-28 18:13:45,0
29,39072,38829,690,viewer,1,38829,2026-01-30 17:44:38,2026-01-30 17:44:38,0
30,39081,39080,691,viewer,1,39080,2026-01-31 11:27:38,2026-01-31 11:27:38,0
31,39081,38860,697,viewer,1,38872,2026-02-03 11:21:44,2026-02-03 11:21:44,0
34,39072,38829,694,viewer,1,38829,2026-02-03 11:29:32,2026-02-03 11:29:32,0
35,39081,38860,698,viewer,1,38872,2026-02-03 11:33:11,2026-02-03 11:33:11,0
36,39081,38829,698,viewer,1,38872,2026-02-03 11:35:11,2026-02-03 11:35:11,0
37,39072,38860,694,viewer,1,38829,2026-02-03 11:36:51,2026-02-03 11:36:51,0
38,39072,19,692,viewer,1,38860,2026-02-03 12:23:53,2026-02-03 12:23:53,0
39,39072,38872,700,viewer,1,38860,2026-02-03 16:52:10,2026-02-03 16:52:10,0
40,39072,38829,700,viewer,1,38860,2026-02-03 16:52:10,2026-02-03 16:52:10,0
41,39072,38872,693,viewer,1,38860,2026-02-03 16:55:10,2026-02-03 16:55:10,0
42,39072,19,681,viewer,1,38860,2026-02-03 17:10:31,2026-02-03 17:10:31,0
43,39072,5014,681,viewer,1,38860,2026-02-03 17:10:31,2026-02-03 17:10:31,0
44,39072,38860,690,viewer,1,38872,2026-02-03 18:40:23,2026-02-03 18:40:23,0
45,39072,38860,693,viewer,1,38872,2026-02-03 18:51:20,2026-02-03 18:51:20,0
47,39072,134,702,viewer,1,38872,2026-02-04 11:27:19,2026-02-04 11:27:19,0
50,39072,679,709,viewer,1,639,2026-02-05 17:12:00,2026-02-05 17:12:00,0
51,39072,11944,709,viewer,1,639,2026-02-05 17:12:00,2026-02-05 17:12:00,0
54,39072,25639,709,viewer,1,639,2026-02-05 18:22:47,2026-02-05 18:22:47,0
55,39072,35450,681,viewer,1,19,2026-02-05 18:57:45,2026-02-05 18:57:45,0
56,39072,36108,681,viewer,1,19,2026-02-05 18:57:45,2026-02-05 18:57:45,0
57,39072,25926,681,viewer,1,19,2026-02-05 18:57:45,2026-02-05 18:57:45,0
58,39072,26127,681,viewer,1,19,2026-02-05 18:57:45,2026-02-05 18:57:45,0
59,39072,6953,709,viewer,1,639,2026-02-06 12:52:19,2026-02-06 12:52:19,0
60,39072,801,709,viewer,1,639,2026-02-06 12:52:19,2026-02-06 12:52:19,0
61,39072,9136,712,viewer,1,639,2026-02-06 15:45:00,2026-02-06 15:45:00,0
62,39072,23730,712,viewer,1,639,2026-02-06 15:45:00,2026-02-06 15:45:00,0
65,39081,19,699,viewer,1,19,2026-02-13 12:24:59,2026-02-13 12:24:59,0
67,39081,5014,699,viewer,1,19,2026-02-13 12:24:59,2026-02-13 12:24:59,0
