id,company,job_title,template_name,job_description,slug,roles_responsibility,department,experience,skill,role_type,document,location,country,state,job_mode,tag,city,industry,designation,urgent,vacancy,posted_date,closing_date,salary,status,is_deleted,create_date,modify_date
1,38861,Testing PHP Developer,Testing PHP template,"Responsible for designing, developing, and maintaining mobile applications for iOS and Android platforms.",software-engineer-arunachal-pradesh-test-1-2-years-1301261798,"Develop and maintain mobile applications, collaborate with cross-functional teams, ensure app performance, fix bugs, and deploy updates",2,3,"[\""2\"",\""18981\""]",1,,,101,4024,1,"[\""26\"",\""2\""]",58196,2,13287,1,50,,,5000,1,0,2026-01-13 13:01:07,2026-01-13 00:00:00
2,38861,Java Developer,Java Developer Job Template,"Java Developer position Responsible for designing, developing, and maintaining mobile applications for iOS and Android platforms.",java-engineer-arunachal-pradesh-test-1-2-years-1301263546,"Develop and maintain mobile applications, collaborate with cross-functional teams, ensure app performance, fix bugs, and deploy updates",2,3,"[\""2\"",\""18981\""]",1,,,101,4024,1,"[\""26\"",\""2\""]",58196,2,13287,1,50,,,5000,1,0,2026-01-13 13:02:22,2026-01-13 00:00:00
3,38861,PHP Developersss,PHP template,"PHP Developer position Responsible for designing, developing, and maintaining mobile applications for iOS and Android platforms.",java-engineer-arunachal-pradesh-test-1-2-years-1301262183,"Develop and maintain mobile applications, collaborate with cross-functional teams, ensure app performance, fix bugs, and deploy updates",2,3,"[\""2\"",\""18981\""]",1,,,101,4024,1,"[\""26\"",\""2\""]",58196,2,13287,1,50,,,5000,1,0,2026-01-13 15:22:27,2026-01-13 00:00:00
4,38942,Senior resident,sffs,<p>sfss</p>,senior-resident-fresher-1401262663,,,1,[],1,,,101,,1,[],,,,0,1,,,0,0,0,2026-01-14 11:04:04,2026-01-14 00:00:00
5,38942,Director of rooms,Template 2,<p>New Post Job</p>,director-of-rooms-delhi-0-1-years-1401266123,,,2,[],1,,,101,4021,1,[],154228,,,0,2,,,0,0,0,2026-01-14 11:06:27,2026-01-14 00:00:00
6,38942,Frontend developer,Template 2,<p><br></p>,frontend-developer-0-1-years-1401261182,,,2,[],2,,,,,2,[],,,,0,5,,,0,0,0,2026-01-14 11:50:27,2026-01-14 00:00:00
7,38942,Frontend & Shopify Developer,Template 3,<p>New Jon</p>,frontend-shopify-developer-fresher-1401267919,"Develop and maintain mobile applications, collaborate with cross-functional teams, ensure app performance, fix bugs, and deploy updates",336,1,"[\""2\"",\""18981\""]",3,,,101,4021,2,"[\""26\"",\""2\""]",154228,2,4808,0,5,,,2,1,0,2026-01-14 11:51:19,2026-01-14 00:00:00
8,38942,Frontend Shopify Developer,template 4,<p>New Jon</p>,java-engineer-delhi-product-controller-fresher-1401269931,"Develop and maintain mobile applications, collaborate with cross-functional teams, ensure app performance, fix bugs, and deploy updates",336,1,"[\""2\"",\""18981\""]",3,,,101,4021,2,"[\""26\"",\""2\""]",154228,2,4808,0,5,,,2,1,0,2026-01-14 12:14:32,2026-01-14 00:00:00
9,38942,Chief surveyor,Template 5,<p><br></p>,chief-surveyor-andaman-and-nicobar-islands-senior-ui-designer-fresher-1401261766,,404,1,"[\""4963\""]",1,,,101,4023,1,[],57837,190,4649,0,5,,,2,0,0,2026-01-14 12:28:02,2026-01-14 00:00:00
10,38942,Frontend Shopify Developer,template 6,<p>New Jon 6</p>,frontend-shopify-developer-delhi-product-controller-fresher-1401264321,,336,1,[],3,,,101,4021,2,[],154228,2,4808,0,5,,,2,3,0,,2026-01-14 00:00:00
11,38942,Frontend Shopify Developer,template 6,<p>New Jon</p>,java-engineer-delhi-product-controller-fresher-1401262474,"Develop and maintain mobile applications, collaborate with cross-functional teams, ensure app performance, fix bugs, and deploy updates",336,1,"[\""2\"",\""18981\""]",3,,,101,4021,2,"[\""26\"",\""2\""]",154228,2,4808,0,5,,,2,1,0,,2026-01-14 00:00:00
12,38942,Frontend ss Shopify Developer,template 6,<p>New Jon</p>,java-engineer-delhi-product-controller-fresher-1401265055,"Develop and maintain mobile applications, collaborate with cross-functional teams, ensure app performance, fix bugs, and deploy updates",336,1,"[\""2\"",\""18981\""]",3,,,101,4021,2,"[\""26\"",\""2\""]",154228,2,4808,0,5,,,2,1,0,,2026-01-14 00:00:00
13,38942,Senior design & development engineer,New Template 6,<p>New Job 6 5</p>,senior-design-development-engineer-delhi-high-school-english-teacher-0-1-years-1401266888,,99,2,[],1,,,101,4021,1,[],154228,207,10314,0,2,,,2,3,0,,2026-01-14 00:00:00
14,38942,Senior design & development engineer,New Template 6,<p>New Job</p>,,,99,2,"[\""3603\""]",1,,,101,4021,1,[],131679,207,10314,0,2,,,2,0,0,,2026-01-14 00:00:00
15,38942,Senior design & development engineer,New Template 6,<p>New Job 6</p>,,,99,2,"[\""8390\"",\""420\""]",1,,,101,4021,1,[],131679,207,10314,0,2,,,2,0,0,,2026-01-14 00:00:00
16,38942,Frontend web developer,New Template 7,<p>Frontend web developer job 7</p>,frontend-web-developer-delhi-design-engineer-0-1-years-1401261948,,556,2,[],1,,,101,4021,2,[],154228,223,2815,1,2,,,3,0,0,,2026-01-14 00:00:00
17,38942,Frontend web developer,New Template 7,<p>Frontend web developer New Job 7</p>,,,556,2,[],1,,,101,4021,2,[],131679,223,2815,1,2,,,3,0,0,,2026-01-14 00:00:00
18,38942,Frontend web developer,New Template 7,<p>Frontend web developer job 7</p>,,,556,2,[],1,,,101,4021,2,[],154228,223,2815,1,2,,,3,0,0,,2026-01-14 00:00:00
19,38844,Ui developer,ui developer,<p>New UI Developer</p>,ui-developer-delhi-head-of-legal-and-compliance-4-5-years-1501269923,,345,5,"[\""10487\"",\""12756\""]",1,,,101,4021,1,[],57655,333,10671,0,3,,,2,3,0,,2026-01-15 00:00:00
20,459,Front desk,Template 1,<p>New Job</p>,front-desk-delhi-0-1-years-1901267304,,514,2,"[\""9450\"",\""11951\""]",1,,,101,4021,1,[],154228,333,9579,0,2,,,2,3,0,,2026-01-19 00:00:00
21,38844,QA tester,QA Job,<p>Test</p>,qa-tester-delhi-1-2-years-2001268040,,34,3,"[\""8191\""]",1,,,101,4021,1,[],154258,184,617,0,2,,,2,3,0,,2026-01-20 00:00:00
22,39072,QA Engineer,QA Job,<ul><li>sfssfsfs</li><li>fsfsfs</li><li>fsfsfsfsfsfsf</li></ul>,qa-engineer-delhi-legal-retainer-1-2-years-1203261385,,251,3,"[\""8191\""]",1,job/document/a45f9239a573174b88f2264fc0fae4af4489d563a5f2e4786d1d6f6a82808c63.pdf,,101,4021,1,[],57655,1,1929,1,2,,,1,3,0,,2026-03-12 00:00:00
23,39122,Stewardess,dofe,<p>gblkfgklfgklfg</p>,stewardess-andhra-pradesh-data-coordinator-0-1-years-2801265836,,111,2,"[\""3404\""]",1,,,101,4017,1,[],57620,1,3070,1,5,,,1,3,0,,
