id,name,status,user_defined,user_id,create_date,modify_date
1,Abkhazian,1,,,,
2,Abron,1,,,,
3,Acehnese,1,,,,
4,Acholi,1,,,,
5,Adangme,1,,,,
6,Adyghe,1,,,,
7,Afar,1,,,,
8,Afrihili,1,,,,
9,Afrikaans,1,,,,
10,Ainu (Japan),1,,,,
11,Akan,1,,,,
12,Akkadian,1,,,,
13,Albanian,1,,,,
14,Albanian (Gheg),1,,,,
15,Alemannic,1,,,,
16,Aleut,1,,,,
17,Altai (Southern),1,,,,
18,Amharic,1,,,,
19,Amis,1,,,,
20,Angika,1,,,,
21,Anii,1,,,,
22,Arabic,1,,,,
23,Arabic (Algeria),1,,,,
24,Arabic (Algerian),1,,,,
25,Arabic (Bahrain),1,,,,
26,Arabic (Egypt),1,,,,
27,Arabic (Egyptian),1,,,,
28,Arabic (Kuwait),1,,,,
29,Arabic (Levantine),1,,,,
30,Arabic (Libya),1,,,,
31,Arabic (Morocco),1,,,,
32,Arabic (Najdi),1,,,,
33,Arabic (Saudi Arabia),1,,,,
34,Arabic (Tunisian),1,,,,
35,Arabic (XB pseudolocale),1,,,,
36,Arabic (Yemen),1,,,,
37,Aragonese,1,,,,
38,Aramaic,1,,,,
39,Arapaho,1,,,,
40,Arawak,1,,,,
41,Armenian,1,,,,
42,Assamese,1,,,,
43,Assyrian Neo-Aramaic,1,,,,
44,Asturian,1,,,,
45,Asu,1,,,,
46,Atayal,1,,,,
47,Avaric,1,,,,
48,Avestan,1,,,,
49,Awadhi,1,,,,
50,Aymara,1,,,,
51,Aymara (Southern),1,,,,
52,Azerbaijani,1,,,,
53,Azerbaijani (Southern),1,,,,
54,Balinese,1,,,,
55,Balochi (Western),1,,,,
56,Baluchi,1,,,,
57,Bambara,1,,,,
58,Banjar,1,,,,
59,Bantu (Other),1,,,,
60,Baoulé,1,,,,
61,Basa (Cameroon),1,,,,
62,Bashkir,1,,,,
63,Basque,1,,,,
64,Batak Toba,1,,,,
65,Bavarian,1,,,,
66,Beja,1,,,,
67,Belarusian,1,,,,
68,Belarusian (Latin script),1,,,,
69,Bemba,1,,,,
70,Bena,1,,,,
71,Bengali,1,,,,
72,Bengali (Bangladesh),1,,,,
73,Bengali (India),1,,,,
74,Berber,1,,,,
75,Betawi,1,,,,
76,Bhilali,1,,,,
77,Bhili,1,,,,
78,Bhojpuri,1,,,,
79,Bihari,1,,,,
80,Bikol,1,,,,
81,Bikol (West Albay),1,,,,
82,Bilen,1,,,,
83,Bini,1,,,,
84,Bislama,1,,,,
85,Blissymbols,1,,,,
86,Bodo,1,,,,
87,Bosnian,1,,,,
88,Bosnian (Cyrillic script),1,,,,
89,Bosnian (Latin script),1,,,,
90,Brahui,1,,,,
91,Braj,1,,,,
92,Brao,1,,,,
93,Breton,1,,,,
94,Buginese,1,,,,
95,Bulgarian,1,,,,
96,Bulu (Cameroon),1,,,,
97,Buriat,1,,,,
98,Burmese,1,,,,
99,Burmese (Zawgyi),1,,,,
100,Caddo,1,,,,
101,Cantonese (Simplified Han script),1,,,,
102,Cantonese (Traditional Han script),1,,,,
103,Catalan,1,,,,
104,Catalan (Andorra),1,,,,
105,Cebuano,1,,,,
106,Chagatai,1,,,,
107,Chamorro,1,,,,
108,Chechen,1,,,,
109,Cherokee,1,,,,
110,Cheyenne,1,,,,
111,Chhattisgarhi,1,,,,
112,Chibcha,1,,,,
113,Chiga,1,,,,
114,Chinese (Hanyu Pinyin),1,,,,
115,Chinese (Simplified Han script),1,,,,
116,"Chinese (Simplified Han script, Singapore)",1,,,,
117,Chinese (Traditional Han script),1,,,,
118,"Chinese (Traditional Han script, Hong Kong)",1,,,,
119,Chinook jargon,1,,,,
120,Chipewyan,1,,,,
121,Choctaw,1,,,,
122,Chuukese,1,,,,
123,Chuvash,1,,,,
124,Colognian,1,,,,
125,Coptic,1,,,,
126,Cornish,1,,,,
127,Corsican,1,,,,
128,Cree,1,,,,
129,Cree (Swampy),1,,,,
130,Creek,1,,,,
131,Creoles and pidgins,1,,,,
132,Creoles and pidgins (English based),1,,,,
133,Creoles and pidgins (French-based),1,,,,
134,Creoles and pidgins (Portuguese-based),1,,,,
135,Crimean Tatar,1,,,,
136,Croatian,1,,,,
137,Czech,1,,,,
138,Dakota,1,,,,
139,Dan,1,,,,
140,Danish,1,,,,
141,Darai,1,,,,
142,Dargwa,1,,,,
143,Dari,1,,,,
144,Deccan,1,,,,
145,Delaware,1,,,,
146,Dengka,1,,,,
147,Dhivehi,1,,,,
148,Dinka,1,,,,
149,Dogri,1,,,,
150,Dogrib,1,,,,
151,Domari,1,,,,
152,Duala,1,,,,
153,Dutch,1,,,,
154,Dutch (Belgium),1,,,,
155,Dutch (formal),1,,,,
156,Dutch (informal),1,,,,
157,Dutch (Middle),1,,,,
158,Dyula,1,,,,
159,Dzongkha,1,,,,
160,Efik,1,,,,
161,Egyptian (Ancient),1,,,,
162,Ekajuk,1,,,,
163,Elamite,1,,,,
164,Elfdalian,1,,,,
165,Emilian,1,,,,
166,English,1,,,,
167,English (Australia),1,,,,
168,English (Canada),1,,,,
169,English (Developer),1,,,,
170,English (India),1,,,,
171,English (Ireland),1,,,,
172,English (Middle),1,,,,
173,English (New Zealand),1,,,,
174,English (Old),1,,,,
175,English (Philippines),1,,,,
176,English (Pirate),1,,,,
177,"English (Shavian script, United Kingdom)",1,,,,
178,"English (Shavian script, United States)",1,,,,
179,English (Shavian),1,,,,
180,English (South Africa),1,,,,
181,English (United Kingdom),1,,,,
182,English (United States),1,,,,
183,English (XA pseudolocale),1,,,,
184,Erzya,1,,,,
185,Eskimo (Pacific Coast Alaskan),1,,,,
186,Esperanto,1,,,,
187,Estonian,1,,,,
188,Ewe,1,,,,
189,Ewondo,1,,,,
190,Extremaduran,1,,,,
191,Fang (Equatorial Guinea),1,,,,
192,Fanti,1,,,,
193,Farefare,1,,,,
194,Faroese,1,,,,
195,Fijian,1,,,,
196,Filipino,1,,,,
197,Finnish,1,,,,
198,Flemish (West),1,,,,
199,Fon,1,,,,
200,Franco-Provençal,1,,,,
201,Frankish,1,,,,
202,French,1,,,,
203,French (Antigua and Barbuda),1,,,,
204,French (Belgium),1,,,,
205,French (Canada),1,,,,
206,French (formal),1,,,,
207,French (informal),1,,,,
208,French (Louisiana),1,,,,
209,French (Luxembourg),1,,,,
210,French (Middle),1,,,,
211,French (Old),1,,,,
212,French (Senegal),1,,,,
213,French (Switzerland),1,,,,
214,Frisian,1,,,,
215,Frisian (Eastern),1,,,,
216,Frisian (Northern),1,,,,
217,Friulian,1,,,,
218,Fulah,1,,,,
219,Fulfulde (Central-Eastern Niger),1,,,,
220,Fulfulde (Maasina),1,,,,
221,Fulfulde (Nigerian),1,,,,
222,Fur,1,,,,
223,Ga,1,,,,
224,Gaelic,1,,,,
225,Galibi Carib,1,,,,
226,Galician,1,,,,
227,Gan (Simplified Han script),1,,,,
228,Gan (Traditional Han script),1,,,,
229,Garhwali,1,,,,
230,Gayan,1,,,,
231,Gayo,1,,,,
232,Gbaya (Central African Republic),1,,,,
233,Ge'ez,1,,,,
234,Georgian,1,,,,
235,German,1,,,,
236,German (Austria),1,,,,
237,German (formal),1,,,,
238,German (informal),1,,,,
239,German (Low),1,,,,
240,German (Luxembourg),1,,,,
241,German (old spelling),1,,,,
242,German (Switzerland),1,,,,
243,German (Walser),1,,,,
244,Gikuyu,1,,,,
245,Gilaki,1,,,,
246,Gilbertese,1,,,,
247,Gondi,1,,,,
248,Gorontalo,1,,,,
249,Gothic,1,,,,
250,Grebo,1,,,,
251,Greek,1,,,,
252,Greek (Ancient),1,,,,
253,Greenlandic,1,,,,
254,Guambiano,1,,,,
255,Guarana- (Mbya?),1,,,,
256,Guaraní (Paraguayan),1,,,,
257,Guarani,1,,,,
258,Gujarati,1,,,,
259,Gujarati (India),1,,,,
260,Gun,1,,,,
261,Gusii,1,,,,
262,Gwich?in,1,,,,
263,Hadothi,1,,,,
264,Haida,1,,,,
265,Haitian,1,,,,
266,Hakka (Latin script),1,,,,
267,Hakka (Simplified Han script),1,,,,
268,Hakka (Traditional Han script),1,,,,
269,Haryanvi,1,,,,
270,Hausa,1,,,,
271,Hawaiian,1,,,,
272,Hazaragi,1,,,,
273,Hebrew,1,,,,
274,Hebrew (Israel),1,,,,
275,Herero,1,,,,
276,High German (Middle),1,,,,
277,High German (Old),1,,,,
278,Hiligaynon,1,,,,
279,Hindi,1,,,,
280,Hindi (Hinglish),1,,,,
281,Hindi (Latin script),1,,,,
282,Hindko (Northern),1,,,,
283,Hindko (Southern),1,,,,
284,Hiri Motu,1,,,,
285,Hittite,1,,,,
286,Hmong,1,,,,
287,Hmong Njua,1,,,,
288,Ho,1,,,,
289,Huastec,1,,,,
290,Hungarian,1,,,,
291,Hunsrik,1,,,,
292,Hupa,1,,,,
293,Iban,1,,,,
294,Ibibio,1,,,,
295,Icelandic,1,,,,
296,Ido,1,,,,
297,Igbo,1,,,,
298,Iloko,1,,,,
299,Indonesian,1,,,,
300,Ingush,1,,,,
301,Innu,1,,,,
302,Interlingua,1,,,,
303,Inuktitut,1,,,,
304,Inupiaq,1,,,,
305,Irish,1,,,,
306,Irish (Middle),1,,,,
307,Irish (Old),1,,,,
308,Italian,1,,,,
309,Italian (formal),1,,,,
310,Italian (informal),1,,,,
311,Italian (Switzerland),1,,,,
312,Jamaican Patois,1,,,,
313,Japanese,1,,,,
314,Japanese (Kansai),1,,,,
315,Javanese,1,,,,
316,Jju,1,,,,
317,Judeo-Arabic,1,,,,
318,Judeo-Persian,1,,,,
319,Kabardian,1,,,,
320,Kabuverdianu,1,,,,
321,Kabyle,1,,,,
322,Kachhi,1,,,,
323,Kachin,1,,,,
324,Kako,1,,,,
325,Kalenjin,1,,,,
326,Kalmyk,1,,,,
327,Kamba (Kenya),1,,,,
328,Kanauji,1,,,,
329,Kangri,1,,,,
330,Kannada,1,,,,
331,Kanuri,1,,,,
332,Kaqchikel,1,,,,
333,Karachay-Balkar,1,,,,
334,Karakalpak,1,,,,
335,Karbi,1,,,,
336,Karelian,1,,,,
337,Kashmiri,1,,,,
338,Kashubian,1,,,,
339,Kawi,1,,,,
340,Kazakh,1,,,,
341,Kazakh (Latin script),1,,,,
342,Khandesi,1,,,,
343,Khasi,1,,,,
344,Khmer (Central),1,,,,
345,Khmer (Northern),1,,,,
346,Khotanese,1,,,,
347,K'iche',1,,,,
348,Kimbundu,1,,,,
349,Kinyarwanda,1,,,,
350,Klingon,1,,,,
351,Klingon (pIqaD),1,,,,
352,Kokturk,1,,,,
353,Komi,1,,,,
354,Kongo,1,,,,
355,Konkani,1,,,,
356,Konkani (Goan),1,,,,
357,Korean,1,,,,
358,Kosraean,1,,,,
359,Kotava,1,,,,
360,Koyraboro Senni,1,,,,
361,Kpelle,1,,,,
362,Krio,1,,,,
363,Kumaoni,1,,,,
364,Kumyk,1,,,,
365,Kurdish,1,,,,
366,Kurdish (Central),1,,,,
367,"Kurdish (Central, Iran)",1,,,,
368,"Kurdish (Central, Iraq)",1,,,,
369,Kurdish (Northern),1,,,,
370,"Kurdish (Northern, Latin script)",1,,,,
371,Kurdish (Southern),1,,,,
372,Kurukh,1,,,,
373,Kutenai,1,,,,
374,Kwanyama,1,,,,
375,Kyrgyz,1,,,,
376,Ladin,1,,,,
377,Ladino,1,,,,
378,Laki,1,,,,
379,Lakota,1,,,,
380,Lamba,1,,,,
381,Lambadi,1,,,,
382,Lampung Api,1,,,,
383,Langi,1,,,,
384,Lango (Uganda),1,,,,
385,Lao,1,,,,
386,Latgalian,1,,,,
387,Latin,1,,,,
388,Latvian,1,,,,
389,Latvian (formal),1,,,,
390,Latvian (informal),1,,,,
391,Lezghian,1,,,,
392,Ligurian,1,,,,
393,Limburgish,1,,,,
394,Lingala,1,,,,
395,Lingua Franca Nova,1,,,,
396,Literary Chinese,1,,,,
397,Lithuanian,1,,,,
398,Lojban,1,,,,
399,Lombard,1,,,,
400,Lomwe,1,,,,
401,Lower Sorbian,1,,,,
402,Lozi,1,,,,
403,Luba-Katanga,1,,,,
404,Luba-Lulua,1,,,,
405,Luganda,1,,,,
406,Luiseno,1,,,,
407,Lunda,1,,,,
408,Luo (Kenya and Tanzania),1,,,,
409,Luri (Bakhtiari),1,,,,
410,Luri (Northern),1,,,,
411,Luri (Southern),1,,,,
412,Lushai,1,,,,
413,Luxembourgish,1,,,,
414,Luyia,1,,,,
415,Macedonian,1,,,,
416,Macedo-Romanian,1,,,,
417,Machame,1,,,,
418,Madurese,1,,,,
419,Magahi,1,,,,
420,Maguindanaon,1,,,,
421,Mainfränkisch,1,,,,
422,Maithili,1,,,,
423,Makasar,1,,,,
424,Makhuwa,1,,,,
425,Makhuwa-Meetto,1,,,,
426,Makonde,1,,,,
427,Malagasy,1,,,,
428,Malay,1,,,,
429,Malay (Jawi),1,,,,
430,Malay (Pattani),1,,,,
431,Malayalam,1,,,,
432,Maltese,1,,,,
433,Manchu,1,,,,
434,Mandar,1,,,,
435,Mandingo,1,,,,
436,Mandinka,1,,,,
437,Maninkakan (Kita),1,,,,
438,Manipuri,1,,,,
439,Manx,1,,,,
440,Manyika,1,,,,
441,Maori,1,,,,
442,Mapudungun,1,,,,
443,Mara,1,,,,
444,Marathi,1,,,,
445,Mari,1,,,,
446,Marshallese,1,,,,
447,Marwari,1,,,,
448,Masaaba,1,,,,
449,Masai,1,,,,
450,Mazanderani,1,,,,
451,Meadow Mari,1,,,,
452,Mende (Sierra Leone),1,,,,
453,Meru,1,,,,
454,Meta?,1,,,,
455,Mewari,1,,,,
456,Mewati,1,,,,
457,Miami,1,,,,
