id,parent_id,name,fafa,link,sort_order,status,create_date,modify_date
1,0,Dashboard,"<i class=\""fa fa-tachometer\""></i>",admin/dashboard,1,1,,2024-11-23 13:55:05
45,0,System,"<i class=\""fa fa-cogs\""></i>",#,17,1,2021-04-27 12:53:00,2022-05-25 15:23:28
46,45,Settings,,admin/setting,1,1,2021-04-27 12:53:28,2024-11-23 13:53:24
47,178,Users,,admin/user,1,1,2021-04-27 12:53:52,2022-11-03 18:40:18
48,45,Backend Menu ,,admin/menu,3,1,2021-04-27 12:54:18,2022-04-26 15:54:02
177,178,User Group,,admin/user_group,3,1,2021-04-27 12:53:52,2022-11-03 18:41:07
178,45,User Management,"<i class=\""fa fa-user\""></i>",,2,1,2022-11-03 18:39:55,2025-01-20 18:42:19
179,0,Company Management,"<i class=\""fa fa-building\""></i>",,3,1,2022-11-03 18:42:59,2022-11-03 18:42:59
180,179,Companies,,admin/company,1,1,2022-11-03 18:43:57,2023-01-09 18:45:25
182,204,Skills,,admin/skill,1,1,2022-11-03 18:45:29,2024-11-23 15:09:31
183,0,Messages Management,"<i class=\""fa fa-bars\"" aria-hidden=\""true\""></i>",,5,0,2022-11-03 18:46:50,2025-01-20 18:38:58
184,183,Messages ,,admin/message,1,1,2022-11-03 18:47:22,2023-01-13 19:26:48
185,0,Individual Management,"<i class=\""fa fa-bars\"" aria-hidden=\""true\""></i>",,6,1,2022-11-03 18:47:54,2022-11-03 18:47:54
186,185,Individual,,admin/individual,1,1,2022-11-03 18:48:26,2022-11-24 18:25:39
187,0,Blog Management,"<i class=\""fa fa-newspaper-o\""></i>",,7,1,2022-11-03 18:49:20,2025-12-31 15:26:51
188,187,Blog,,admin/blog,1,1,2022-11-03 18:49:47,2022-11-16 11:54:58
190,181,Category,,admin/category,1,0,2022-11-15 19:18:09,2024-10-16 15:25:40
191,185,Individual Experience,,admin/individual_experience,2,1,2022-12-30 15:26:09,2022-12-30 15:26:09
192,185,Individual Education,,admin/individual_education,3,1,2022-12-30 15:28:10,2022-12-30 15:28:10
193,185,Individual  Certificate,,admin/individual_certificate,4,1,2022-12-30 15:29:41,2022-12-30 15:29:41
194,185,Individual Skill,,admin/individual_skill,5,0,2023-01-05 14:33:52,2025-01-09 17:28:45
195,179,Connection,,admin/company_connection,2,0,2023-01-09 18:53:32,2023-04-03 13:28:16
196,179,Wishlist,,admin/company_wishlist,3,0,2023-01-09 18:54:38,2023-04-03 13:28:28
197,179,Jobs,,admin/company_jobs,4,1,2023-01-09 18:55:36,2023-01-11 18:59:44
