id,message_id,sender,receiver,message,doc,is_viewed,for_approval,view_datetime,is_deleted,create_date,modify_date
1,1,1,4,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 12:58:19,2025-03-24 12:58:19
2,1,1,4,ZGVlazY5R2c5S1RPWkhDOVJVV1lsdz09,,1,1,,0,2025-03-24 13:03:19,2025-03-24 13:03:19
3,5,18,14,eXl0ZVpGSmtOaG1ranlEOXFUWnNhc0M4enFHQUVxN28vOEwvaS9tQ1dwWT0=,,1,1,,0,2025-03-24 13:08:19,2025-03-24 13:08:19
4,5,14,18,OHBKZ2ZvR1U2TStvSy90RUxEOHVkQT09,,1,1,,0,2025-03-24 13:13:19,2025-03-24 13:13:19
5,5,14,18,bFdoTnNsN3V1NjBjQ2syVlRmcXlmdz09,,1,1,,0,2025-03-24 13:18:19,2025-03-24 13:18:19
6,5,18,14,V1ZEZ1puaDZQOWhqbGd1cUgyTGxhdz09,,1,1,,0,2025-03-24 13:23:19,2025-03-24 13:23:19
7,6,18,18,VGZWdXgxTW1yWGxOZXFacEliNmxydz09,,1,1,,0,2025-03-24 13:28:19,2025-03-24 13:28:19
8,6,18,18,dk1vamYwZHQ0U1dwcm1UWXR3WmczUT09,,1,1,,0,2025-03-24 13:33:19,2025-03-24 13:33:19
9,6,18,18,RzhJNTJWOHFKN1N5aEhVUlhvbVJHdz09,,1,1,,0,2025-03-24 13:38:19,2025-03-24 13:38:19
10,7,116,4,UW1VWk8wUTc5d0szRXVFQlE3TjAvUT09,,1,1,,0,2025-03-24 13:43:19,2025-03-24 13:43:19
11,2,19,17,R3c5RmFxbTRYaUYvOGVGWU5kZjhXZz09,,0,1,,1,2025-03-24 13:48:19,2025-03-24 13:48:19
12,2,19,17,RFB6ak1yZUNIRnZiS2JEZWdEdDg0dz09,,0,1,,1,2025-03-24 13:53:19,2025-03-24 13:53:19
13,1,1,4,UW1VWk8wUTc5d0szRXVFQlE3TjAvUT09,,1,1,,0,2025-03-24 13:58:19,2025-03-24 13:58:19
14,5,18,14,U0diMGsxMy9HdCtQeitJcjVVelE2QT09,,1,1,,0,2025-03-24 14:03:19,2025-03-24 14:03:19
15,1,1,4,RmRiT2ZaMml5UGY2akxqWnkxenlHZz09,,1,1,,0,2025-03-24 14:08:19,2025-03-24 14:08:19
16,1,4,1,TldQL1VnUEVJaWpLMHRmVThqSFlYdz09,,1,1,,0,2025-03-24 14:13:19,2025-03-24 14:13:19
17,11,88,19,UW1VWk8wUTc5d0szRXVFQlE3TjAvUT09,,1,1,,0,2025-03-24 14:18:19,2025-03-24 14:18:19
18,13,2,182,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 14:23:19,2025-03-24 14:23:19
19,13,2,182,akVkUGtLZm9IR3RwMmRmL0w5dDA0Zz09,,1,1,,0,2025-03-24 14:28:19,2025-03-24 14:28:19
20,13,182,2,b3hLSE1OK1RpUnhZTVpHdWthamRHUT09,"uploads/document/1744099122_cdc7e48facda8c69d3d3.png,",1,1,,0,2025-03-24 14:33:19,2025-03-24 14:33:19
21,14,21,5,WnRYVnVMMUx5anFDSG1xMVRrMUFBUT09,,1,1,,0,2025-03-24 14:38:19,2025-03-24 14:38:19
22,15,134,653,UW1VWk8wUTc5d0szRXVFQlE3TjAvUT09,,1,1,,0,2025-03-24 14:43:19,2025-03-24 14:43:19
23,15,134,653,b3hLSE1OK1RpUnhZTVpHdWthamRHUT09,"uploads/document/1745299372_42d3bb0250f36bfd661e.png,",1,1,,0,2025-03-24 14:48:19,2025-03-24 14:48:19
24,2,19,17,am5iLzV4UmVaLzZzcVMzVWVNRm1ZUT09,,0,1,,1,2025-03-24 14:53:19,2025-03-24 14:53:19
25,16,19,14,YlJLdkMvVkFrSllvb3BmWEJGR1I0cEVRNzdkSDNKTEFBWkxzcEtETC9LVT0=,,1,1,,1,2025-03-24 14:58:19,2025-03-24 14:58:19
26,11,19,88,U1V6N3J3aVMrY3FLQk54WUVqbGc3UT09,,1,1,,1,2025-03-24 15:03:19,2025-03-24 15:03:19
27,11,88,19,UW1VWk8wUTc5d0szRXVFQlE3TjAvUT09,,1,1,,0,2025-03-24 15:08:19,2025-03-24 15:08:19
28,11,88,19,dGJ2ZnQwOURpWDl1cm54cnBKNG1adz09,,1,1,,0,2025-03-24 15:13:19,2025-03-24 15:13:19
29,11,88,19,b3hLSE1OK1RpUnhZTVpHdWthamRHUT09,"uploads/document/1745496576_e0b7ac0c3ccef45823be.jpg,",1,1,,0,2025-03-24 15:18:19,2025-03-24 15:18:19
30,12,88,14,b3hLSE1OK1RpUnhZTVpHdWthamRHUT09,"uploads/document/1745496604_601bf708401a3803b943.png,",1,1,,0,2025-03-24 15:23:19,2025-03-24 15:23:19
31,16,14,19,dmo2WEViV25mb2pROWVmV1o2WlVqK3hnT0drU2owWUM0YU5QS3V2M1I5Zz0=,,1,1,,0,2025-03-24 15:28:19,2025-03-24 15:28:19
32,12,14,88,dFUxRC9RYmxuajludjhnUlg2SXpNUE9uQ1BoM2dUYkNnalhrY2c3M25qYitva2FCL2dpdnZZR01BSS8yckhodA==,,1,1,,0,2025-03-24 15:33:19,2025-03-24 15:33:19
33,18,92,6,bUx0c1lYVlp6ZW5PQ1NhTEI4VmdnQT09,,1,1,,0,2025-03-24 15:38:19,2025-03-24 15:38:19
34,19,92,92,cDNkODE0eElubHltNlcwQStOdHQrUT09,,1,1,,0,2025-03-24 15:43:19,2025-03-24 15:43:19
35,1,4,1,UW1VWk8wUTc5d0szRXVFQlE3TjAvUT09,,1,1,,0,2025-03-24 15:48:19,2025-03-24 15:48:19
36,1,1,4,UW1VWk8wUTc5d0szRXVFQlE3TjAvUT09,,1,1,,0,2025-03-24 15:53:19,2025-03-24 15:53:19
