id,user_id,review_id,message,create_date,status,is_deleted
1,134,40,Please Delete this Screenshot.,2025-05-03 12:45:07,1,0
2,134,41,Please Delete this given screenshot.,2025-05-03 12:53:03,1,0
3,134,58,Could you please ignore this?,2025-07-01 10:59:11,1,0
4,2670,83,ffdffd,2025-11-24 15:43:49,1,0
5,39001,157,i want to change my report,2026-02-23 15:05:15,1,0
6,39001,158,i want to change my report,2026-02-23 15:08:18,1,0
7,39001,164,i want to change my review,2026-02-23 15:47:20,1,0
8,39001,163,jbhhjkku,2026-02-23 16:08:52,1,0
9,39001,156,sczs,2026-02-23 17:07:45,1,0
10,38860,149,ghhhu,2026-02-26 17:48:07,1,0
11,38860,409,Want to change this rating,2026-04-20 11:22:06,1,0
12,5014,382,test report,2026-04-20 12:12:53,1,0
13,5014,230,test,2026-04-20 12:40:48,1,0
14,39335,414,i did not agree with that ,2026-04-22 12:32:00,1,0
15,639,445,fss,2026-05-01 16:52:15,1,0
16,639,447,gg,2026-05-01 16:52:41,1,0
17,639,448,ffsf,2026-05-01 16:58:39,1,0
18,39314,170,bad review,2026-06-18 14:48:13,1,0
19,39314,578,bad review again,2026-06-18 14:49:42,1,0
20,39256,579,very bad review,2026-06-18 15:24:05,1,0
21,39256,577,Nice review,2026-06-18 15:27:45,1,0
