id,name,status,user_id,user_defined,create_date,modify_date
7,2D graphics,1,,1,,
11,3D Architectural Rendering,1,,1,,
12,3D GIS,1,,1,,
13,3D Graphics,1,,1,,
14,3D Modeling,1,,1,,
15,3D Rendering,1,,1,,
16,3D Scanning,1,,1,,
17,3D Seismic Interpretation,1,,1,,
18,3D Studio Max,1,,1,,
19,3D Studio Viz,1,,1,,
20,3D Visualization,1,,1,,
21,401k Rollovers,1,,1,,
22,4th Dimension,1,,1,,
26,A3 Thinking,1,,1,,
27,AAAHC,1,,1,,
28,AAC,1,,1,,
29,AACR2,1,,1,,
30,AAMS,1,,1,,
31,AAP,1,,1,,
32,AAR,1,,1,,
33,AASHTO,1,,1,,
34,AAT,1,,1,,
35,AAUS Scientific Diver,1,,1,,
36,Abacus,1,,1,,
37,AbacusLaw,1,,1,,
38,Abandonment,1,,1,,
39,ABAP,1,,1,,
40,ABAP-OO,1,,1,,
41,ABAP Web Dynpro,1,,1,,
42,Abaqus,1,,1,,
43,Abatement,1,,1,,
44,ABBYY,1,,1,,
45,ABBYY FineReader,1,,1,,
46,ABB 800xA,1,,1,,
47,ABCP,1,,1,,
48,ABC Analysis,1,,1,,
49,ABC Flowcharter,1,,1,,
50,Abdominal,1,,1,,
51,Abdominal Imaging,1,,1,,
52,ABEL,1,,1,,
53,Abelton,1,,1,,
54,Abend-Aid,1,,1,,
55,ABI,1,,1,,
56,Abis,1,,1,,
57,Ableton,1,,1,,
58,Ableton Live,1,,1,,
59,ABLS,1,,1,,
60,Abnormal Psychology,1,,1,,
61,Aboriginal Affairs,1,,1,,
62,Aboriginal Health,1,,1,,
63,Aboriginal Law,1,,1,,
64,Aboriginal Relations,1,,1,,
65,Above the Line,1,,1,,
66,ABO Certified,1,,1,,
67,ABR,1,,1,,
68,Abra,1,,1,,
69,Abrasives,1,,1,,
70,Abra Suite,1,,1,,
71,ABS,1,,1,,
72,Absenteeism,1,,1,,
73,Absolute Return,1,,1,,
74,Absorption,1,,1,,
75,Absorption Spectroscopy,1,,1,,
76,Abstracting,1,,1,,
77,Abstraction,1,,1,,
78,Abstracts,1,,1,,
79,Abstract Algebra,1,,1,,
80,Abstract Expressionism,1,,1,,
81,Abstract Paintings,1,,1,,
82,Abundance,1,,1,,
83,Abuse Prevention,1,,1,,
84,ABV,1,,1,,
85,Ab Initio,1,,1,,
86,ACAD,1,,1,,
87,Academia,1,,1,,
88,Academic Achievement,1,,1,,
89,Academic Administration,1,,1,,
90,Academic Advising,1,,1,,
91,Academic Background,1,,1,,
92,Academic Development,1,,1,,
93,Academic Editing,1,,1,,
94,Academic English,1,,1,,
95,Academic Journals,1,,1,,
96,Academic Libraries,1,,1,,
97,Academic Medical Centers,1,,1,,
98,Academic Medicine,1,,1,,
99,Academic Program Development,1,,1,,
100,Academic Program Management,1,,1,,
13830,SFI,1,,1,,
13831,SFIA,1,,1,,
13832,sFlow,1,,1,,
13833,SFP,1,,1,,
13834,SFR,1,,1,,
13835,SFR Certified,1,,1,,
13836,SFTP,1,,1,,
13837,SFX,1,,1,,
13838,SFX Editing,1,,1,,
13839,SGBD,1,,1,,
13840,SGE,1,,1,,
13841,SGML,1,,1,,
13842,SGSN,1,,1,,
13843,SGW,1,,1,,
13844,Shaders,1,,1,,
13845,Shades,1,,1,,
13846,Shading,1,,1,,
13847,Shadow Boxes,1,,1,,
13848,Shaft Alignment,1,,1,,
13849,Shaft Sinking,1,,1,,
13850,Shake,1,,1,,
13851,Shakespeare,1,,1,,
13852,Shale,1,,1,,
