id,name,status,user_defined,user_id,create_date,modify_date
1,Job-in-delhis,1,1,1,2025-07-07 12:34:03,2025-07-07 12:34:03
2,job-in-delhi-Haryana-ncr,1,1,1,2025-07-07 12:34:37,2025-07-07 12:34:37
10,Job-in-Arunachal-Pradesh,1,1,1,2025-07-07 12:47:05,2025-07-07 12:47:05
11,Testing-tag,1,1,13,2025-07-07 12:49:07,2025-07-07 12:49:07
12,job-in-mumbai,1,1,13,2025-07-07 12:49:07,2025-07-07 12:49:07
13,sales-executive-job-in-delhi-ncr,1,1,13,2025-07-07 12:49:07,2025-07-07 12:49:07
14,#ITManager #SeniorITManager #BrokingJobs #StockExchange #Colocation #NSEJobs #BSEJobs  #RMS #ODIN #AlgoTrading #NestTrader #TradingInfrastructure #Sys,1,1,2483,2025-07-23 12:22:37,2025-07-23 12:22:37
15,#ITManager #SeniorITManager #BrokingJobs #StockExchange #Colocation #NSEJobs #BSEJobs  #RMS #ODIN #AlgoTrading #NestTrader #TradingInfrastructure #Sys,1,1,2483,2025-07-23 12:23:14,2025-07-23 12:23:14
16,#ITManager #SeniorITManager #BrokingJobs #StockExchange #Colocation #NSEJobs #BSEJobs  #RMS #ODIN #AlgoTrading #NestTrader #TradingInfrastructure #Sys,1,1,2483,2025-07-23 12:23:23,2025-07-23 12:23:23
17,#ITManager #SeniorITManager #BrokingJobs #StockExchange #Colocation #NSEJobs #BSEJobs  #RMS #ODIN #AlgoTrading #NestTrader #TradingInfrastructure #Sys,1,1,2483,2025-07-23 13:23:34,2025-07-23 13:23:34
18,#ITManager #SeniorITManager #BrokingJobs #StockExchange #Colocation #NSEJobs #BSEJobs  #RMS #ODIN #AlgoTrading #NestTrader #TradingInfrastructure #Sys,1,1,2483,2025-07-23 13:25:10,2025-07-23 13:25:10
19,#ITManager #SeniorITManager #BrokingJobs #StockExchange #Colocation #NSEJobs #BSEJobs  #RMS #ODIN #AlgoTrading #NestTrader #TradingInfrastructure #Sys,1,1,2483,2025-07-23 13:25:17,2025-07-23 13:25:17
20,#ITManager #SeniorITManager #BrokingJobs #StockExchange #Colocation #NSEJobs #BSEJobs  #RMS #ODIN #AlgoTrading #NestTrader #TradingInfrastructure #Sys,1,1,2483,2025-07-23 13:27:22,2025-07-23 13:27:22
21, customer representatives,1,1,1640,2025-08-08 14:40:32,2025-08-08 14:40:32
22,Job-in-Bengaluru,1,1,1640,2025-08-08 14:40:32,2025-08-08 14:40:32
23,tamilnadu,1,1,11254,2025-08-19 19:51:24,2025-08-19 19:51:24
24,"•	Excellent problem-solving, debugging, and analytical skills.",1,1,3810,2025-08-22 20:02:52,2025-08-22 20:02:52
25,Kanpur nagar ,1,1,3810,2025-08-22 20:02:52,2025-08-22 20:02:52
26,Hello test,1,1,653,2025-11-29 13:01:44,2025-11-29 13:01:44
