id,user,university,course,start_date,end_date,ongoing,certificate,certificate_id,url,status,is_deleted,created_by,create_date,modify_date
1,65,20248,1189,2006-06-18,2008-12-05,0,,,,1,0,,2025-03-24 00:00:00,2025-03-24 00:00:00
3,60,243,1191,2007-06-01,2008-06-30,0,,,,1,0,,2025-03-24 00:00:00,2025-03-24 00:00:00
4,32,20251,1193,2011-04-10,2013-06-15,0,,,,1,0,,2025-03-24 00:00:00,2025-03-24 00:00:00
5,88,590,1196,2020-06-19,2021-11-10,0,,,,1,0,,2025-03-25 00:00:00,2025-03-25 00:00:00
6,19,33,1200,2025-03-12,2025-03-15,0,,,,1,1,,2025-03-25 00:00:00,2025-03-25 00:00:00
7,50,20258,1203,2012-10-25,2013-10-25,0,"uploads/document/1742964759_e660c648e164bea3dac8.pdf,",23667,,1,0,,2025-03-26 00:00:00,2025-03-26 00:00:00
8,50,20259,1204,2016-01-31,2016-12-20,0,"uploads/document/1742965021_3117f2d5093f8f712aec.pdf,",1516,,1,0,,2025-03-26 00:00:00,2025-03-26 00:00:00
9,182,20265,1218,2016-08-01,2020-11-30,0,,,,1,0,,2025-03-31 00:00:00,2025-03-31 00:00:00
10,252,590,1202,2015-08-02,2019-10-02,0,,,,1,0,,2025-04-02 00:00:00,2025-04-02 00:00:00
11,18,20261,30,2018-02-03,2018-09-04,0,"uploads/document/1743662293_6a7f6fa429c7bfb3fd6e.jpeg,",,,1,0,,2025-04-03 00:00:00,2025-04-03 00:00:00
12,313,20261,1207,2016-06-08,2016-10-20,0,"uploads/document/1743663006_ee4e736e3c237250ba93.jpeg,",,,1,0,,2025-04-03 00:00:00,2025-04-03 00:00:00
13,39,20269,1222,2020-05-05,2020-12-21,0,,,,1,0,,2025-04-05 00:00:00,2025-04-05 00:00:00
14,481,20275,33,2022-11-26,2023-06-06,0,"uploads/document/1744452053_dc7442a3628f057c3adf.pdf,",,,1,0,,2025-04-12 00:00:00,2025-04-12 00:00:00
15,481,20276,13,2023-12-22,2024-07-09,0,,,,1,0,,2025-04-12 00:00:00,2025-04-12 00:00:00
16,134,20277,1227,2020-04-02,2023-05-03,0,"uploads/document/1744803946_5b5e5ae32d75ff012df7.jpg,",,https://www.naukri.com/recruit/login,1,1,,2025-04-16 00:00:00,2025-04-16 00:00:00
17,134,21077,1722,2020-03-02,2023-03-20,0,,,,1,1,,2025-04-16 00:00:00,2025-12-01 00:00:00
