id,user_id,device_type,device_id,device_token,status,created_at,modify_at
70,38860,Android,TP1A.220624.014,e1HYEO-uTruDoMHbP86mDF:APA91bHfX8cLn8L_XVvloqUFVLQMGr2nxyAqyd-QTDf2RC6E3d9GL3ZLKa84hk20Z5W-H4loBtzPaSehsyCyxAvSyZO4n7cAJGpqFduWBjltoEhgw2SNuho,1,2026-05-13 15:11:33,2026-06-23 13:17:48
72,39314,Android,BP22.250325.006,dsDTbs6aQCiqXajgsHjphu:APA91bGNKhJ6Ns-okB_xqAzF_ra3fMIMegSUqTjRUke8PPYMdpd_lLttzLI0u1XCOZS7zp4DIiTN3mFF15reh8PyG701QBWOqgVbMEtYhigGJ_fnDkUKh8A,1,2026-06-05 18:42:39,2026-06-23 13:17:48
76,38860,Apple,85C4F319-E803-42EC-A5C7-37D34A12F433,cVu8yW5X30VQrUyRatmQac:APA91bGHY8gJfBr2LiXFFJJL9xvkklZU1HVS3ZLvTv9uZwQvbA37NqimhgZy5Y5sPGu-7H9OJiHY6nRNe-IItDdLNCvVewSsoHj7j-xpefNNV48dqbPOvd4,1,2026-04-03 10:59:05,2026-06-23 13:17:48
77,39986,Android,BP22.250325.006,c4CVwuN3RISemDT6e6ckl8:APA91bEyLbcnuRxXFC_ZGIdUO_KLAN4fYOhrDRvohJpse4ZLmnMx3ZWiDd88ZprWU8BG3iEHu4iNBhTfSqRnqDUZ-6joMakcm6En9ZI52zCY0jZFXNlDOtg,1,2026-04-02 17:14:32,2026-06-23 13:17:48
78,39988,Android,BP22.250325.006,c4CVwuN3RISemDT6e6ckl8:APA91bEyLbcnuRxXFC_ZGIdUO_KLAN4fYOhrDRvohJpse4ZLmnMx3ZWiDd88ZprWU8BG3iEHu4iNBhTfSqRnqDUZ-6joMakcm6En9ZI52zCY0jZFXNlDOtg,1,2026-04-02 17:18:52,2026-06-23 13:17:48
79,39990,Android,BP22.250325.006,c4CVwuN3RISemDT6e6ckl8:APA91bEyLbcnuRxXFC_ZGIdUO_KLAN4fYOhrDRvohJpse4ZLmnMx3ZWiDd88ZprWU8BG3iEHu4iNBhTfSqRnqDUZ-6joMakcm6En9ZI52zCY0jZFXNlDOtg,1,2026-04-02 17:25:44,2026-06-23 13:17:48
82,40036,Android,BP22.250325.006,dZd0W8zLSMeakHZOZRN8Pk:APA91bG31PCUDkjehxvwBq43yyqYyhAhuuZRcSoGkL864_a9LMC9IKiPISYBy07DdIewC-bX_eBgFq_w_R4QdXF-nT0b6VEN2_PWm15gPBqLUygfYj4goTY,1,2026-04-04 10:47:46,2026-06-23 13:17:48
83,38860,Android,BP22.250325.006,dZd0W8zLSMeakHZOZRN8Pk:APA91bG31PCUDkjehxvwBq43yyqYyhAhuuZRcSoGkL864_a9LMC9IKiPISYBy07DdIewC-bX_eBgFq_w_R4QdXF-nT0b6VEN2_PWm15gPBqLUygfYj4goTY,1,2026-04-04 16:24:04,2026-06-23 13:17:48
84,38860,Android,SP1A.210812.016,dXe_fz3YRROgz_ifpS0-Gy:APA91bG8KQ8Z9bjRqW0gL2SomoTVsCS0_a-9lQ9RqOxC5eldq5ZgwS4a5671PyVMPG38EMvqfmox_ChMeU50Uibup9fB6-VcSN9wJOVtY574odaQdEUW1yI,1,2026-04-04 15:42:30,2026-06-23 13:17:48
85,38860,Apple,C5FEFE45-5B61-4464-86EF-5F310879E00F,dvDpJC6jckPnkeVi-anCNw:APA91bEba2naFzK-tUDeYGSuJv72lrsgNDw0LMgxvkvDxcUGWUvMskHsgfd7gLgSbip687k75eic0HTnvmbF1KimPAUjZhg8M1FFJDlQfFSmneG8VNK-un0,1,2026-04-11 15:24:05,2026-06-23 13:17:48
