id,user,university,course,course_type,state,city,not_applicable,starting_date,ending_date,ongoing,country,ishighest,certificate,status,created_by,is_deleted,create_date,modify_date
1,40471,21186,1233,1,4021,,0,2021-01-01,2024-12-23,1,101,0,,1,,1,2025-03-24 00:00:00,2026-06-23 15:09:10
2,38860,2,1236,1,4021,131679,0,2025-10-02,2026-03-04,1,101,0,,1,,1,2025-03-24 00:00:00,2026-03-27 00:00:00
3,38860,948,948,1,4021,154084,0,2025-12-01,2026-03-04,1,101,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
4,4,2703,1183,1,2464,,0,2014-09-24,2026-03-04,1,232,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
5,19,20254,1093,1,4021,58171,0,2009-02-08,2026-03-04,1,101,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
6,14,20245,1184,1,,,0,2020-03-01,2026-03-04,1,101,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
7,37,741,1185,1,4022,132005,0,2008-04-13,2026-03-04,1,101,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
8,22,830,1107,1,4016,133638,0,2010-04-14,2026-03-04,1,101,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
9,57,20246,1186,1,4022,132005,0,2012-08-07,2026-03-04,1,101,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
10,32,133,1187,1,4021,133210,0,2011-05-25,2026-03-04,1,101,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
11,48,20247,1188,1,4022,132384,0,1999-07-01,2026-03-04,1,101,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
12,26,133,1183,1,4021,154084,0,2003-07-01,2026-03-04,1,101,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
13,52,133,1187,2,,,0,1998-06-01,2026-03-04,1,,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
14,65,643,1216,2,,,0,2008-04-08,2026-03-04,1,,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
15,53,20667,1061,1,4021,133243,0,2010-02-24,2026-03-04,1,101,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
16,60,551,1192,2,,,0,2009-01-30,2026-03-04,1,,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
17,59,20282,1198,1,4022,133580,0,2012-04-16,2026-03-04,1,101,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
18,59,20253,1197,1,4022,133580,0,2014-03-24,2026-03-04,1,101,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
19,75,10891,1194,1,4006,133870,0,1966-03-24,2026-03-04,1,101,0,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
20,75,498,1195,1,4006,133870,0,1978-03-24,2026-03-04,1,101,1,,1,,0,2025-03-24 00:00:00,2026-03-27 00:00:00
21,79,269,1187,1,4029,132654,0,1986-03-01,2026-03-04,1,101,0,,1,,0,2025-03-25 00:00:00,2026-03-27 00:00:00
22,88,331,1199,1,4026,133872,0,2010-06-07,2026-03-04,1,101,0,,1,,0,2025-03-25 00:00:00,2026-03-27 00:00:00
23,30,16806,1042,2,4021,131679,0,2009-07-08,2026-03-04,1,101,1,,1,,0,2025-03-25 00:00:00,2026-03-27 00:00:00
24,45,20255,1201,1,4021,133210,0,2022-07-01,2026-03-04,1,101,0,,1,,0,2025-03-25 00:00:00,2026-03-27 00:00:00
25,45,20256,1187,1,4021,133210,0,2020-01-01,2026-03-04,1,101,1,,1,,0,2025-03-25 00:00:00,2026-03-27 00:00:00
26,50,133,1190,1,4021,131679,0,2012-02-01,2026-03-04,1,101,0,"uploads/document/1742966469_fca91ecb03ae806638d6.pdf,",1,,0,2025-03-25 00:00:00,2026-03-27 00:00:00
27,104,20257,1202,1,4007,131856,0,2023-08-16,2026-03-04,1,101,0,,1,,0,2025-03-26 00:00:00,2026-03-27 00:00:00
28,50,20260,1198,1,4021,131679,0,2010-04-01,2026-03-04,1,101,0,,1,,0,2025-03-26 00:00:00,2026-03-27 00:00:00
29,50,20260,1205,1,4021,131679,0,2008-04-01,2026-03-04,1,101,0,,1,,0,2025-03-26 00:00:00,2026-03-27 00:00:00
30,18,20245,1188,1,4021,131679,0,2015-06-26,2026-04-03,1,101,0,,1,,0,2025-03-26 00:00:00,2026-04-02 00:00:00
31,18,20261,1207,1,4021,1207,0,2017-01-26,2026-04-01,1,101,0,,1,,0,2025-03-26 00:00:00,2026-04-02 00:00:00
32,39,73,1210,1,4037,133386,0,2015-02-01,2026-03-04,1,101,1,,1,,0,2025-03-26 00:00:00,2026-03-27 00:00:00
33,29,20256,1088,1,4021,154093,0,2014-07-20,2026-03-04,1,101,0,,1,,0,2025-03-26 00:00:00,2026-03-27 00:00:00
34,29,215,1088,1,4007,133999,0,2019-07-22,2026-03-04,1,101,0,,1,,0,2025-03-26 00:00:00,2026-03-27 00:00:00
35,29,217,1211,1,4007,132106,0,2018-07-10,2026-03-04,1,101,0,,1,,0,2025-03-26 00:00:00,2026-03-27 00:00:00
36,38,1028,1212,1,4022,133230,0,2015-08-01,2026-03-04,1,101,1,,1,,0,2025-03-28 00:00:00,2026-03-27 00:00:00
37,131,1128,1213,1,4021,131679,0,2020-08-01,2026-03-04,1,101,0,,1,,0,2025-03-29 00:00:00,2026-03-27 00:00:00
38,131,1128,1214,1,4021,131679,0,2024-07-01,2026-03-04,1,101,1,,1,,0,2025-03-29 00:00:00,2026-03-27 00:00:00
39,134,20264,1194,1,4021,133165,0,2020-02-04,2026-03-04,1,101,0,,1,,1,2025-03-30 00:00:00,2026-03-27 00:00:00
40,1,730,1217,1,4021,131679,0,2016-04-30,2026-03-04,1,101,0,,1,,0,2025-03-30 00:00:00,2026-03-27 00:00:00
41,182,20265,1218,1,4007,57810,0,2016-08-01,2026-03-04,1,101,1,,1,,0,2025-03-31 00:00:00,2026-03-27 00:00:00
42,130,20266,1185,1,4021,133210,0,2018-08-01,2026-03-04,1,101,1,"uploads/document/1743415648_795e247f442a39774954.jpg,",1,,0,2025-03-31 00:00:00,2026-03-27 00:00:00
43,144,1177,1199,1,,,0,2020-07-10,2026-03-04,1,101,0,,1,,1,2025-04-01 00:00:00,2026-03-27 00:00:00
44,144,5796,1219,1,,,0,2018-04-01,2026-03-04,1,101,0,,1,,1,2025-04-01 00:00:00,2026-03-27 00:00:00
45,144,5796,1220,1,,,0,2016-04-01,2026-03-04,1,,0,,1,,1,2025-04-01 00:00:00,2026-03-27 00:00:00
46,6,121,1205,1,,,0,2009-06-01,2026-03-04,1,,0,,1,,0,2025-04-01 00:00:00,2026-03-27 00:00:00
47,211,20267,33,1,4008,,0,2022-06-16,2026-03-04,1,101,0,,1,,0,2025-04-01 00:00:00,2026-03-27 00:00:00
48,262,73,1221,1,4037,133386,0,2018-04-23,2026-03-04,1,101,1,,1,,0,2025-04-01 00:00:00,2026-03-27 00:00:00
49,252,590,1202,1,,,0,2015-08-02,2026-03-04,1,,1,,1,,0,2025-04-02 00:00:00,2026-03-27 00:00:00
50,313,20245,1188,1,4021,131679,0,2016-05-01,2026-03-04,1,101,0,"uploads/document/1745661630_7dbee35aa6cb9244e929.pdf,",1,,0,2025-04-03 00:00:00,2026-03-27 00:00:00
51,376,20268,1215,1,4022,132958,0,2014-05-01,2026-03-04,1,101,0,,1,,0,2025-04-05 00:00:00,2026-03-27 00:00:00
52,394,20256,1187,1,4021,154084,0,2008-07-01,2026-03-04,1,101,0,,1,,0,2025-04-05 00:00:00,2026-03-27 00:00:00
53,400,20256,1223,1,,,0,2022-12-25,2026-03-04,1,101,1,,1,,0,2025-04-05 00:00:00,2026-03-27 00:00:00
54,297,2704,1224,1,2503,,0,2013-09-06,2026-03-04,1,232,0,,1,,0,2025-04-06 00:00:00,2026-03-27 00:00:00
55,297,20270,99,1,1705,140142,0,2017-09-06,2026-03-04,1,107,1,,1,,0,2025-04-06 00:00:00,2026-03-27 00:00:00
56,431,20271,1187,1,4025,131715,0,2020-03-10,2026-03-04,1,101,1,,1,,0,2025-04-10 00:00:00,2026-03-27 00:00:00
57,455,20272,1219,1,4021,133210,0,2020-05-01,2026-03-04,1,101,0,,1,,0,2025-04-10 00:00:00,2026-03-27 00:00:00
58,455,20245,1225,1,4021,133210,0,2023-06-01,2026-03-04,1,101,0,,1,,0,2025-04-10 00:00:00,2026-03-27 00:00:00
59,134,20273,309,1,4021,,0,2021-02-02,2026-03-04,1,101,0,,1,,1,2025-04-11 00:00:00,2026-03-27 00:00:00
60,481,20274,1202,1,4022,57867,0,2010-07-12,2026-03-04,1,101,0,"uploads/document/1744450798_ff98fcad73934ba92597.jpeg,",1,,0,2025-04-12 00:00:00,2026-03-27 00:00:00
61,481,20275,1226,1,4022,,0,2022-11-26,2026-03-04,1,101,0,"uploads/document/1744450913_ec6247dec956ea01535a.pdf,",1,,1,2025-04-12 00:00:00,2026-03-27 00:00:00
62,481,20276,1226,1,4022,,0,2023-12-22,2026-03-04,1,101,0,,1,,1,2025-04-12 00:00:00,2026-03-27 00:00:00
63,514,328,1202,1,4026,132127,0,2021-12-27,2026-03-04,1,101,1,,1,,0,2025-04-14 00:00:00,2026-03-27 00:00:00
64,524,120,1185,1,4021,154094,0,2021-05-22,2026-03-04,1,101,1,,1,,0,2025-04-14 00:00:00,2026-03-27 00:00:00
66,637,20279,1229,1,4030,,0,2020-04-03,2026-03-04,1,101,0,,1,,0,2025-04-20 00:00:00,2026-03-27 00:00:00
67,637,1539,1203,2,,,0,2022-03-01,2026-03-04,1,,0,,1,,0,2025-04-20 00:00:00,2026-03-27 00:00:00
68,637,184,1230,2,,,0,2024-09-02,2026-03-04,1,,1,,1,,0,2025-04-20 00:00:00,2026-03-27 00:00:00
69,641,730,1225,2,,,0,2025-01-01,2026-03-04,1,,0,,1,,0,2025-04-21 00:00:00,2026-03-27 00:00:00
70,642,556,1202,1,4022,,0,2019-04-20,2026-03-04,1,101,1,,1,,0,2025-04-21 00:00:00,2026-03-27 00:00:00
71,656,482,1185,1,4008,133024,0,2023-07-25,2026-03-04,1,101,0,,1,,0,2025-04-21 00:00:00,2026-03-27 00:00:00
72,657,473,1206,1,4008,,0,2022-08-15,2026-03-04,1,101,0,,1,,0,2025-04-21 00:00:00,2026-03-27 00:00:00
73,499,20256,1228,2,,,0,2017-06-21,2026-03-04,1,,1,,1,,0,2025-04-21 00:00:00,2026-03-27 00:00:00
