id,experience,company,rating,review,doc,link,added_by,status,approved,expiry,show_review,is_deleted,show_home,create_date,modify_date
1,1,2,5,Exemplary leader whose visionary approach has significantly contributed to our organisation's comprehensive growth.,,,0,1,1,2025-05-23 17:49:44,,0,0,2025-05-20 17:49:44,2025-05-20 17:49:44
3,34,3,4,"\""Engaging and rejuvenating, Dance with Me deftly blends fitness and fun, providing an invigorating experience.\""",,,0,1,1,2025-03-28 18:20:24,,0,0,2025-03-25 18:20:24,
7,1,2,5,"He is a visionary leader with a dynamic and strategic approach to business. His working style is marked by professionalism, innovation, and a strong commitment to excellence. He leads with integrity, making well-informed decisions that drive the company's growth. His ability to inspire and motivate the team fosters a positive and productive work environment. Always approachable and supportive, he values teamwork and encourages creativity, ensuring the organization stays ahead in the industry.",[],,1,1,1,2025-03-28 17:57:18,,0,0,2025-03-25 17:57:18,
9,46,46,5,"Exceptional at documentation, onboarding, and miscellaneous tasks. Demonstrates strong work ethic and effective management skills.",,,0,1,1,2025-03-28 18:34:23,,0,0,2025-03-25 18:34:23,
10,34,3,5,"The company honored me as the Best Employee of the Month. I am very happy with my company.\r\nI am working in Med Freshe Pvt Ltd from last 5+ year as a Senior Graphic designer this company is very supportive and growing day by day, wonderful place to work & good environment.\r\nThe Company management and office environment is very corporative & supportive. The company gives incentives and bonuses every year each employee and also rewarded me for employee of the month.","[\""uploads\/document\/1742965845_4141e210f9be3bc850e1.jpg\""]",,0,1,1,2025-03-29 10:47:28,,0,0,2025-03-26 10:47:28,
11,34,3,5,I am very happy that my company has been awarded the Karma Yogi Award by UNG.\r\n\r\nAny amount of praise for my company would be less.,"[\""uploads\/document\/1742966142_23772071136acec0a3ce.jpg\""]",,0,1,1,2025-03-29 10:50:18,,0,0,2025-03-26 10:50:18,
12,67,108,3,"\""Rudraksh is an exceptional, goal-driven employee, consistently meeting targets, proving to be a valuable asset to our organization.\""",,,0,1,0,,,0,0,2025-03-26 13:34:23,
13,69,108,4,"\""Exceptional employee, Rudaksh consistently meets targets, proving himself a valuable asset to the company.\""",,,0,1,1,2025-03-29 13:39:16,,0,0,2025-03-26 13:39:16,
15,73,92,5,requiredrequiredrequiredrequiredrequiredrequired,[],,1,1,1,2025-04-01 00:00:00,,0,0,2025-03-27 17:03:02,
21,,213,5,He is great and innovative worker in my company.,[],,1,1,1,2025-04-03 16:03:54,,0,0,2025-03-31 16:03:54,
22,,213,5,He is great and innovative worker in my company.,[],,1,1,1,2025-04-03 16:03:57,,0,0,2025-03-31 16:03:57,
23,,213,5,He is great and innovative worker in my company.,[],,1,1,1,2025-04-03 16:04:37,,0,0,2025-03-31 16:04:37,
25,115,213,5,Your problem-solving skills have proven invaluable in situations that require innovative solutions.,,,0,1,1,2025-04-06 12:23:17,,0,0,2025-04-03 12:23:17,
27,123,2,5,"Plan budgets and digital marketing strategies, execute them effectively, and achieve expected results. A result-oriented and trend-setting online marketer.","[\""uploads\/document\/1747052241_7b2d99d7807f4f40ae21.jpg\""]",https://www.collarcheck.com/,0,1,1,2025-05-30 13:51:24,,0,0,2025-05-27 13:51:24,2025-05-27 13:51:24
28,162,5,4,Rudraksh is a great assest to the organisation,,,0,1,1,2025-04-27 12:48:54,,0,0,2025-04-24 12:48:54,
29,162,5,5,best employee,,,0,1,0,,,0,0,2025-04-24 16:28:19,
31,165,653,4,He was good employee.,[],,1,1,1,2025-04-27 17:45:21,,0,0,2025-04-24 17:45:21,2025-04-24 17:45:21
32,39,5,5,"I am from here since 2015, and punctual dedicated to my work.",,,0,1,1,,,0,0,2025-04-25 12:37:43,2025-04-25 12:37:43
33,39,5,5,"This company has demonstrated exceptional performance and contributed significantly to its industry, earning well-deserved recognition. A reputation for excellence is evident in their recent award, a testament to their hard work and dedication.","[\""uploads\/document\/1745566298_50c3b83615105945d25b.jpg\""]",,0,1,0,,,0,0,2025-04-25 13:01:38,2025-04-25 13:01:38
34,115,213,5,"Your work at ABC Fabrics has played a vital role in creating seamless, intuitive designs. Your problem-solving and creativity shine through in every project. Keep refining time management and increasing involvement in user testing to keep pushing your designs to the next level.",,,0,1,1,2025-04-29 15:37:36,,0,0,2025-04-26 15:37:36,2025-04-26 15:37:36
35,171,5,4,"Your work as a UI/UX Developer at Narula Exports has been impressive. You've effectively combined creativity with functionality, delivering user-friendly designs. Your collaboration with the team and ability to adapt to changes has been key. Focus on improving time management and user testing for continued growth.",,,0,1,1,,,0,0,2025-04-26 15:39:33,2025-04-26 15:39:33
36,172,3,5,"At Medfreshe, your contributions as a UI/UX Developer have enhanced the overall user experience significantly. Your designs are both innovative and user-centered. Great teamwork and adaptability have been standout qualities. Keep honing your skills in time management and user testing for further impact.",,,0,1,1,,,0,0,2025-04-26 15:40:05,2025-04-26 15:40:05
37,115,213,4,"Awesome work on UI/UX designs! Your creativity and understanding of user needs have truly elevated the product. Your team collaboration is excellent. Moving forward, improving time management and increasing user testing involvement will take your skills even further. Keep it going!",,,0,1,1,,,0,0,2025-04-26 15:42:59,2025-04-26 15:42:59
38,171,5,5,"Great work on your UI/UX designs! Your creativity and user-centric approach have improved the overall product experience. Your collaboration with teams is spot on. For growth, focus on time management and enhancing user testing involvement. Keep it up!",,,0,1,1,,,0,0,2025-04-26 15:45:53,2025-04-26 15:45:53
39,175,653,5,He was good employee.,[],,1,1,1,2025-05-03 11:46:15,,0,0,2025-04-30 11:46:15,2025-04-30 12:52:08
40,175,653,3,Hii,"[\""uploads\/document\/1746256460_2c30eed4a207e288eff6.png\""]",Collar Check,1,1,1,2025-05-06 12:44:20,,0,0,2025-05-03 12:44:20,2025-05-03 12:49:08
41,175,653,4,Hi Avi,"[\""uploads\/document\/1746256838_fce092bf18364f7721ef.jpg\""]",https://www.facebook.com/,1,1,1,2025-05-06 12:50:38,,0,0,2025-05-03 12:50:38,2025-05-03 12:50:38
42,187,2,5,"Your work has consistently delivered exceptional results in improving CollarCheck’s online presence. The efforts on on-page and technical SEO have significantly improved the website’s search visibility and performance.\n\nYou have efficiently managed the social media content calendar, ensured daily posts, conducted trend analysis, and optimized social media, resulting in significantly improved engagement and visibility.\n\nAdditionally, managing Meta ad campaigns for brand awareness, engagement, and lead generation has led to noticeable improvements in campaign performance, reduced costs, and increased ROI.\n\nA quick learner with strong dedication to your work, your proactive approach and problem-solving skills are truly commendable. I have observed a strong eagerness to learn, and your commitment to continuous growth is highly appreciated. Keep up the great work!",,,0,1,2,,,0,0,2025-05-12 23:22:23,2025-05-12 23:22:23
43,175,653,4,Hii,[],,1,1,1,2025-05-20 11:11:08,,0,0,2025-05-17 11:11:08,2025-05-17 11:11:08
44,175,653,5,Hii,[],,1,1,1,2025-05-20 11:12:10,,0,0,2025-05-17 11:12:10,2025-05-17 11:12:10
45,175,653,5,hii,[],,1,1,1,2025-05-20 11:12:51,,0,0,2025-05-17 11:12:51,2025-05-17 11:12:51
46,187,2,5,"As a Social Media Executive, Ravi consistently demonstrated efficiency and a proactive approach to tasks. His positive work attitude and professional behaviour contributed to a collaborative team environment. He effectively managed social media platforms, enhancing our online presence. Overall, his performance was commendable, showing reliability and dedication to his role within the company.\r\nWe wish him best of luck for his future.",[],,1,1,1,2025-05-23 12:53:20,,0,0,2025-05-20 12:53:20,2025-05-20 12:53:20
47,162,5,5,.,[],,1,1,1,2025-05-25 02:40:20,,0,0,2025-05-22 02:40:20,2025-05-22 02:40:20
48,148,2,5,"As a Quality Assurance Engineer, I am committed to delivering high-quality, reliable software across web and mobile platforms. I bring a detail-oriented mindset to both manual and automated testing, with hands-on experience using tools like Selenium, Appium, JIRA, and Postman. I have worked extensively on mobile application testing (Android & iOS), focusing on functionality, usability, and compatibility across devices. I create clear, efficient test cases, actively collaborate with developers to resolve issues, and contribute to sprint planning to align QA efforts with product goals. With strong analytical skills and a user-focused approach, I ensure every release meets the highest standards of performance and stability.",,,0,1,0,,,0,0,2025-05-29 11:19:28,2025-05-29 11:19:28
49,25,2,4,"Mohit Played a key role in transforming Collarcheck from an idea into reality with my frontend development skills. He contributed and led a team in refining the platform, fixing bugs, optimizing workflows, and introducing new features. Working closely with developers, designers, and management, helped enhance its quality and user experience.",,https://www.collarcheck.com/,0,1,0,,,0,0,2025-05-29 12:50:05,2025-05-29 12:50:05
50,63,2,4,"Kartik Mehra  has been a good addition to the team at Collar Check! His skills in UI development, attention to detail, and creativity have really helped shape the platform's look and feel. Whether it's designing intuitive interfaces with Figma or fine-tuning front-end elements with HTML, CSS, and Next.js, their work always brings a polished and engaging experience for users.\r\n\r\nTheir collaboration with developers,and management has been seamless, making the entire development process more efficient and enjoyable.\r\n\r\nOverall, a great team player and a true asset to Collar Check!",,,0,1,1,2025-07-14 17:57:24,,0,0,2025-07-11 17:57:24,2025-07-11 17:57:24
51,98,2,5,"As a Talent Recruiter, demonstrates strong efficiency in sourcing and hiring for both IT and non-IT positions, effectively meeting the company’s staffing needs. Maintains a positive attitude and exhibits excellent verbal communication skills, facilitating smooth interactions with candidates and hiring managers. Consistently contributes to the recruitment process with professionalism and dedication, ensuring timely and quality talent acquisition.",,,0,1,2,,,0,0,2025-05-29 12:52:31,2025-05-29 12:52:31
52,197,2,5,"A highly creative and reliable team member.\""\r\n\r\nWe're pleased to share our feedback for Prashant, who worked with us as a Social Media & Video Editor.\r\n\r\nFrom day one, they brought strong creativity, attention to detail, and a deep understanding of social media trends. Their ability to translate ideas into visually engaging content helped increase our engagement across platforms.\r\n\r\n🎯 Key strengths:\r\n\r\nDelivers high-quality videos under tight deadlines\r\n\r\nBrings fresh ideas to every campaign\r\n\r\nWorks well with cross-functional teams\r\n\r\nAlways open to feedback and quick to adapt\r\n\r\nIt’s been a pleasure having them on our team. We highly recommend them for any content-driven, creative role.",,,0,1,0,,,0,0,2025-05-29 16:50:20,2025-05-29 16:50:20
53,25,2,5,"Mohit played a pivotal role in evolving Collar check from concept to completion through his strong frontend development expertise. He effectively led a team to refine the platform by addressing bugs, optimizing workflows, and adding valuable features. His collaborative approach with developers, designers, and management significantly improved the platform’s quality and user experience. Mohit’s dedication and leadership were instrumental in the project’s success. We wish him continued success in all his future endeavors.",[],,1,1,1,2025-06-13 13:41:05,,0,0,2025-06-10 13:41:05,2025-06-10 13:41:05
54,2,2,5,"Rakesh Maurya has been a key contributor to the successful development of the Collar Check platform, from concept to completion through his strong backend development expertise. As a Senior Backend Developer, he was instrumental in designing robust architecture, optimizing database performance, and ensuring API reliability. He effectively led initiatives to resolve critical issues, streamline backend processes, and integrate essential features. Rakesh’s collaborative mindset and seamless coordination with frontend developers, designers, and management greatly enhanced the platform’s stability and performance. His dedication and technical leadership were key to the project’s success. We sincerely thank him and wish him continued success in all his future endeavors.",,https://www.collarcheck.com/,0,1,1,,,0,0,2025-06-12 18:07:27,2025-06-12 18:07:27
55,175,653,4,He was good employee with dedicated achievement.,[],,1,1,1,2025-06-19 15:09:47,,0,0,2025-06-16 15:09:47,2025-06-16 15:09:47
56,637,2,4,"Collar Check is a reputable company for IT engineers, known for its supportive work environment and professional growth opportunities. The company fosters innovation and values employee contributions, making it an excellent choice for IT professionals seeking career development. Overall, Collar Check demonstrates strong commitment to both employee satisfaction and industry standards.",,,0,0,0,,,0,0,2025-06-27 10:43:11,2025-06-27 10:43:11
57,634,653,5,Hi,,,0,1,1,2025-07-21 12:49:27,,0,0,2025-07-18 12:49:27,2025-07-18 12:49:27
58,164,653,4,Hii,,,0,1,2,,,0,0,2025-07-01 10:58:43,2025-07-01 10:58:43
59,98,2,5,"Efficiently managing the company’s recruitment process, ensuring alignment with organizational needs. Demonstrates expertise in identifying and sourcing qualified talent to meet role requirements. Maintains clear communication with candidates and hiring managers, facilitating smooth hiring procedures. Contributes to building a strong workforce by delivering timely and suitable recruitment solutions. Highly dependable in supporting the company’s talent acquisition goals with professionalism and accuracy.",,,0,1,1,2025-07-06 13:31:35,,0,0,2025-07-03 13:31:35,2025-07-03 13:31:35
60,724,2,4,I have join collarcheck as a flutter developer.,,,0,1,0,,,0,0,2025-07-04 16:01:13,2025-07-04 16:01:13
