id,rating_id,rating,review,doc,link,is_deleted,status,create_date,modify_date
1,7,5,"He is a visionary leader with a dynamic and strategic approach to business. His working style is marked by professionalism, innovation, and a strong commitment to excellence. He leads with integrity, making well-informed decisions that drive the company's growth. His ability to inspire and motivate the team fosters a positive and productive work environment. Always approachable and supportive, he values teamwork and encourages creativity, ensuring the organization stays ahead in the industry.",[],,0,1,2025-03-25 17:57:18,
2,3,4,"He is an exceptionally hardworking individual who is always ready to take on any task with dedication and a positive attitude. He never hesitates to accept responsibilities, no matter how challenging they may be, and consistently delivers quality results. His willingness to go the extra mile and his commitment to his work make him a valuable asset to any team. His reliability, adaptability, and strong work ethic set him apart, making him a highly dependable professional. I highly recommend [Candidate’s Name] for any opportunity that values dedication and perseverance.",,,0,1,2025-03-25 18:20:24,
3,9,4,"Exceptional at documentation, onboarding, and miscellaneous tasks. Demonstrates strong work ethic and effective management skills.",,,0,1,2025-03-25 18:34:23,
4,3,4,"He is an exceptionally hardworking individual who is always ready to take on any task with dedication and a positive attitude. He never hesitates to accept responsibilities, no matter how challenging they may be, and consistently delivers quality results. His willingness to go the extra mile and his commitment to his work make him a valuable asset to any team. His reliability, adaptability, and strong work ethic set him apart, making him a highly dependable professional. I highly recommend Mr. Dharmendra Kumar for any opportunity that values dedication and perseverance.",,,0,1,2025-03-26 10:32:57,
5,10,5,"The company honored me as the Best Employee of the Month. I am very happy with my company.\r\nI am working in Med Freshe Pvt Ltd from last 5+ year as a Senior Graphic designer this company is very supportive and growing day by day, wonderful place to work & good environment.\r\nThe Company management and office environment is very corporative & supportive. The company gives incentives and bonuses every year each employee and also rewarded me for employee of the month.",,,0,1,2025-03-26 10:47:28,
6,11,5,I am honored to receive the prestigious Karma Yogi Award from my company.\r\nI am truly grateful for this recognition.,,,0,1,2025-03-26 10:50:18,
7,13,5,"\""Exceptional employee, Rudaksh consistently meets targets, proving himself a valuable asset to the company.\""",,,0,1,2025-03-26 13:39:16,
8,15,5,requiredrequiredrequiredrequiredrequiredrequired,[],,0,1,2025-03-27 17:03:02,
9,20,2,asdad,,a,0,1,2025-03-29 19:03:28,
10,20,3,asdaddf,,a,0,1,2025-03-31 10:02:46,
11,20,4,asdaddfdfgd,,a,0,1,2025-03-31 10:02:52,
12,21,5,He is great and innovative worker in my company.,[],,0,1,2025-03-31 16:03:54,
13,22,5,He is great and innovative worker in my company.,[],,0,1,2025-03-31 16:03:57,
14,23,5,He is great and innovative worker in my company.,[],,0,1,2025-03-31 16:04:37,
15,8,4,Worked on Few Project & Improved my skills,,,0,1,2025-04-03 11:47:57,
16,8,4,Worked on Few Project & Improved my skills,,,0,1,2025-04-03 11:48:15,
17,8,4,Worked on Few Project & Improved my skills,,,0,1,2025-04-03 11:48:20,
18,25,5,Your problem-solving skills have proven invaluable in situations that require innovative solutions.,,,0,1,2025-04-03 12:23:17,
19,28,4,Rudraksh is a great assest to the organisation,,,0,1,2025-04-24 12:48:54,
20,30,4,"I had the most incredible dining experience at this restaurant! The food was absolutely delicious - every dish was perfectly prepared and beautifully presented. Our server was attentive, knowledgeable, and made excellent recommendations. The atmosphere was elegant yet comfortable. I can't wait to come back and try more items from their menu. Definitely a new favorite spot!",[],,0,1,2025-04-24 17:37:44,2025-04-24 17:37:44
21,31,4,He was good employee.,[],,0,1,2025-04-24 17:45:21,2025-04-24 17:45:21
22,34,5,"Your work at ABC Fabrics has played a vital role in creating seamless, intuitive designs. Your problem-solving and creativity shine through in every project. Keep refining time management and increasing involvement in user testing to keep pushing your designs to the next level.",,,0,1,2025-04-26 15:37:36,
23,39,5,He was good employee.,[],,0,1,2025-04-30 11:46:15,2025-04-30 11:46:15
24,39,5,He was good employee. And talented as well.,,,0,1,2025-04-30 12:52:08,
25,40,3,Hii,"[\""uploads\/document\/1746256460_2c30eed4a207e288eff6.png\""]",Collar Check,0,1,2025-05-03 12:44:20,2025-05-03 12:44:20
26,40,3,Hii,"[\""uploads\/document\/1746256685_59ba81bb734178f242e6.jpg\""]",Collar Check,0,1,2025-05-03 12:48:05,
27,40,3,Hi Avi,"[\""uploads\/document\/1746256748_21f229abe7b9dc330c98.jpg\""]",https://www.collarcheck.com/,0,1,2025-05-03 12:49:08,
28,41,4,Hi Avi,"[\""uploads\/document\/1746256838_fce092bf18364f7721ef.jpg\""]",https://www.facebook.com/,0,1,2025-05-03 12:50:38,2025-05-03 12:50:38
29,43,4,Hii,[],,0,1,2025-05-17 11:11:08,2025-05-17 11:11:08
30,44,5,Hii,[],,0,1,2025-05-17 11:12:10,2025-05-17 11:12:10
31,45,5,hii,[],,0,1,2025-05-17 11:12:51,2025-05-17 11:12:51
32,46,5,"As a Social Media Executive, Ravi consistently demonstrated efficiency and a proactive approach to tasks. His positive work attitude and professional behaviour contributed to a collaborative team environment. He effectively managed social media platforms, enhancing our online presence. Overall, his performance was commendable, showing reliability and dedication to his role within the company.\r\nWe wish him best of luck for his future.",[],,0,1,2025-05-20 12:53:20,2025-05-20 12:53:20
33,1,5,Exemplary leader whose visionary approach has significantly contributed to our organisation's comprehensive growth.,,,0,1,2025-05-20 17:49:44,
34,47,5,.,[],,0,1,2025-05-22 02:40:20,2025-05-22 02:40:20
35,27,5," Demonstrates strong skills in planning budgets and developing effective digital marketing strategies. His ability to execute plans proficiently ensures that targeted results are consistently achieved. With a result-oriented approach and a keen eye on emerging trends, he stay ahead in a competitive landscape. Overall, he bring valuable expertise and a proactive mind-set, making him a reliable asset for any marketing team seeking impactful digital campaigns.",,https://www.collarcheck.com/,0,1,2025-05-27 13:51:24,
36,53,5,"Mohit played a pivotal role in evolving Collar check from concept to completion through his strong frontend development expertise. He effectively led a team to refine the platform by addressing bugs, optimizing workflows, and adding valuable features. His collaborative approach with developers, designers, and management significantly improved the platform’s quality and user experience. Mohit’s dedication and leadership were instrumental in the project’s success. We wish him continued success in all his future endeavors.",[],,0,1,2025-06-10 13:41:05,2025-06-10 13:41:05
37,55,4,He was good employee with dedicated achievement.,[],,0,1,2025-06-16 15:09:47,2025-06-16 15:09:47
38,59,5,"Efficiently managing the company’s recruitment process, ensuring alignment with organizational needs. Demonstrates expertise in identifying and sourcing qualified talent to meet role requirements. Maintains clear communication with candidates and hiring managers, facilitating smooth hiring procedures. Contributes to building a strong workforce by delivering timely and suitable recruitment solutions. Highly dependable in supporting the company’s talent acquisition goals with professionalism and accuracy.",,,0,1,2025-07-03 13:31:35,
39,50,4,"Kartik Mehra  has been a good addition to the team at Collar Check! His skills in UI development, attention to detail, and creativity have really helped shape the platform's look and feel. Whether it's designing intuitive interfaces with Figma or fine-tuning front-end elements with HTML, CSS, and Next.js, their work always brings a polished and engaging experience for users.\r\n\r\nTheir collaboration with developers,and management has been seamless, making the entire development process more efficient and enjoyable.\r\n\r\nOverall, a great team player and a true asset to Collar Check!",,,0,1,2025-07-11 17:57:24,
40,62,5,"Mukesh Choudhary is a dynamic leader whose vision has propelled Choudhary Food House Pvt. Ltd. into a trusted name in Udaipur’s food industry. His passion and hands-on approach drive innovation in cloud kitchen automation and elevate customer service standards. Committed to quality, team development, and local employment, he balances business growth with community impact. Mukesh exemplifies leadership with both heart and foresight, making him a commendable CEO. Highly recommended.",[],,0,1,2025-07-12 17:05:46,2025-07-12 17:05:46
41,62,5,"Mukesh Choudhary is a dynamic leader whose vision has propelled Choudhary Food House. into a trusted name in Udaipur’s food industry. His passion and hands-on approach drive innovation in cloud kitchen automation and elevate customer service standards. Committed to quality, team development, and local employment, he balances business growth with community impact. Mukesh exemplifies leadership with both heart and foresight, making him a commendable CEO. Highly recommended.",,,0,1,2025-07-12 17:08:04,
42,61,5,"We started with one small kitchen and a big dream — to serve fresh, flavorful food to every home in Udaipur. Today, with 10+ digital food brands under one roof, we’re changing how Udaipur eats. Quality, speed, and customer love — that’s our recipe for success.\""\r\n#ChoudharyFoodHouse #CEOMessage #UdaipurFood #MukeshChoudhary",,https://linktr.ee/choudharyfoodhouse.official,0,1,2025-07-12 17:13:29,
43,57,5,Hi,,,0,1,2025-07-18 12:49:27,
44,63,3,test,[],,0,1,2025-07-24 12:19:50,2025-07-24 12:19:50
45,65,5,"He's so confident employee where completed all task within timeline and deciated as well, I really proub to get this kind of candidate for our organisation. ",[],,0,1,2025-08-06 17:57:25,2025-08-06 17:57:25
46,67,5,He can multitask like an entire team. A real one man army.,[],,0,1,2025-08-30 15:01:37,2025-08-30 15:01:37
47,66,4,"As a Software developer for CollarCheck, I am responsible for developing robust APIs, solving complex problems, and collaborating closely with the frontend team to develop new modules. Additionally, I am working admin panel to facilitate data analysis and generate insightful dashboards. My role requires strong coding skills, effective communication, and a focus on delivering scalable, efficient solutions to support the overall project goals.",,https://www.collarcheck.com,0,1,2025-09-04 15:44:59,
48,70,5,Nice & Talented Guy,[],,0,1,2025-09-24 12:38:55,2025-09-24 12:38:55
49,71,5,Nice work space of individual \r\nEnvironment is friendly,,,0,1,2025-09-24 12:40:14,
50,73,4,"You are one who handle all team, we are proud of you.",,,0,1,2025-11-01 10:56:40,
51,74,3,Rudraksh Achived the sales tareget. we are happy for him,,,0,1,2025-11-01 14:04:09,
52,79,4,She is a good employee,"[\""uploads\/document\/1763536802_1a92a2e31575452054af.jpeg\""]",,0,1,2025-11-19 12:50:02,2025-11-19 12:50:02
53,80,4,i am working on the Info india pvt ltd,,,0,1,2025-11-19 12:51:55,
54,81,4,Test,,,0,1,2025-11-21 12:31:31,
55,81,5,Test to be done,,,0,1,2025-11-21 12:34:32,
56,82,4,test to innotecth,,,0,1,2025-11-24 15:08:56,
57,87,4,ggfgfgfgf,"[\""uploads\/document\/1766659116_cb0d92f6760655b4385b.png\""]",https://www.collarcheck.com,0,1,2025-12-25 16:08:36,2025-12-25 16:08:36
58,88,4,gfgfgffg,"[\""uploads\/document\/1766660968_e1f3ca61612d6ff3b6fb.png\""]",,0,1,2025-12-25 16:39:28,2025-12-25 16:39:28
59,89,4,gfgfgf,"[\""uploads\/document\/1766661625_cf962e232ab84e247707.png\""]",,0,1,2025-12-25 16:50:25,2025-12-25 16:50:25
60,89,4,gfgfgf GGG,,,0,1,2025-12-25 18:04:57,
61,89,4,gfgfgf GGGtyyytty,,,0,1,2025-12-25 18:06:26,
62,87,4,ggfgfgfgf fgghghh,,https://www.collarcheck.com,0,1,2025-12-25 18:07:25,
63,90,4,test review,"[\""uploads\/document\/1766736092_d06f77705a0404fb9997.png\""]",,0,1,2025-12-26 13:31:32,2025-12-26 13:31:32
64,91,4,e w4e erg erg er ear,[],,0,1,2025-12-26 13:32:17,2025-12-26 13:32:17
65,97,4,desf,"[\""https:\/\/collar-check.s3.ap-south-1.amazonaws.com\/uploads\/document\/8d28cc9425a030067d86b282cc86301fca4a30aab6ece9b3e638f53cdda88b59.pdf\"",\""https:\/\/collar-check.s3.ap-south-1.amazonaws.com\/uploads\/document\/807f2ff3b94024cc7fcabeab0e6ec93de616a498066d83ec498a808548975df6.jpg\""]",,0,1,2025-12-31 12:05:42,2025-12-31 12:05:42
66,98,4,desf,"[\""https:\/\/collar-check.s3.ap-south-1.amazonaws.com\/uploads\/document\/8d28cc9425a030067d86b282cc86301fca4a30aab6ece9b3e638f53cdda88b59.pdf\"",\""https:\/\/collar-check.s3.ap-south-1.amazonaws.com\/uploads\/document\/807f2ff3b94024cc7fcabeab0e6ec93de616a498066d83ec498a808548975df6.jpg\""]",,0,1,2025-12-31 12:07:32,2025-12-31 12:07:32
67,93,5,dummy,,https://collarcheckbeta.com/employee/rohan-prajapati-cce160562,0,1,2026-01-16 12:27:36,
