id,group_id,menu_permission,event_permission,status,added_by,owner_id,is_deleted,create_date,modify_date
13,1,"[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,39071,39071,0,2026-01-22 11:27:42,2026-01-22 11:27:42
14,2,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,39071,39071,0,2026-01-22 11:27:42,2026-01-22 11:27:42
15,3,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""9\"",\""12\"",\""13\"",\""14\""]",1,39071,39071,0,2026-01-22 11:27:42,2026-01-22 11:27:42
16,4,"[\""1\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""10\"",\""12\""]",1,39071,39071,0,2026-01-22 11:27:42,2026-01-22 11:27:42
17,1,"[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,38860,38860,0,2026-01-22 11:28:23,2026-01-22 11:28:23
18,2,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,38860,38860,0,2026-01-22 11:28:23,2026-01-22 11:28:23
19,3,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""9\"",\""12\"",\""13\"",\""14\""]",1,38860,38860,0,2026-01-22 11:28:23,2026-01-22 11:28:23
20,4,"[\""1\"",\""7\"",\""8\"",\""14\""]","[\""1\"",\""10\"",\""12\""]",1,38860,38860,0,2026-01-22 11:28:23,2026-01-22 11:28:23
21,1,"[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,39074,39074,0,2026-01-22 11:49:53,2026-01-22 11:49:53
22,2,"[\""1\"",\""2\"",\""5\"",\""6\"",\""7\"",\""8\"",\""13\"",\""14\""]","[\""1\"",\""2\"",\""3\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\""]",1,39074,39074,0,2026-01-22 11:49:53,2026-01-22 11:49:53
