id,user,language,verbal,written,status,is_deleted,create_date,modify_date
1,15,545,3,1,1,0,,2025-03-24 13:15:11
2,4,166,5,5,1,0,,2025-03-24 15:33:07
3,4,279,5,3,1,0,,2025-03-24 15:33:16
4,1,166,5,5,1,0,,2025-03-24 16:10:34
5,1,279,5,5,1,0,,2025-03-24 16:10:42
6,1,280,5,5,1,0,,2025-03-24 16:11:03
7,41,166,3,3,1,0,,2025-03-24 16:52:02
8,41,279,5,5,1,0,,2025-03-24 16:52:10
9,48,166,3,4,1,0,,2025-03-24 17:20:26
10,48,279,5,5,1,0,,2025-03-24 17:20:37
11,26,166,5,5,1,0,,2025-03-24 17:40:10
12,26,279,5,5,1,0,,2025-03-24 17:40:19
13,26,71,5,1,1,0,,2025-03-24 17:40:36
14,57,181,4,5,1,0,,2025-03-24 17:42:24
15,57,279,5,5,1,0,,2025-03-24 17:42:40
16,57,49,3,3,1,0,,2025-03-24 17:42:53
17,65,279,4,4,1,0,,2025-03-24 17:46:13
19,32,166,3,4,1,0,,2025-03-24 17:47:03
20,65,166,3,3,1,0,,2025-03-24 17:47:14
21,32,279,4,4,1,0,,2025-03-24 17:47:15
22,60,166,3,5,1,0,,2025-03-24 18:40:54
23,60,279,5,5,1,0,,2025-03-24 18:41:09
24,60,545,5,5,1,0,,2025-03-24 18:41:20
25,59,279,5,5,1,0,,2025-03-24 21:20:19
27,22,279,5,5,1,0,,2025-03-24 22:44:15
28,75,166,5,5,1,0,,2025-03-24 23:49:04
29,75,343,5,5,1,0,,2025-03-24 23:49:20
30,75,279,3,3,1,0,,2025-03-24 23:50:00
31,88,166,5,5,1,0,,2025-03-25 11:39:24
32,88,279,5,5,1,0,,2025-03-25 11:39:37
33,88,591,4,3,1,0,,2025-03-25 11:40:00
34,22,166,3,4,1,0,,2025-03-25 14:29:34
35,45,279,5,5,1,0,,2025-03-25 18:00:36
37,50,166,3,4,1,0,,2025-03-25 18:52:31
38,50,279,5,5,1,0,,2025-03-25 18:52:45
39,49,166,3,3,1,0,,2025-03-26 11:14:20
40,49,279,5,5,1,0,,2025-03-26 11:14:34
41,18,279,5,3,1,0,,2025-03-26 11:37:17
42,18,166,3,3,1,0,,2025-03-26 11:37:24
43,39,279,5,5,1,0,,2025-03-26 11:52:02
46,25,166,4,4,1,0,,2025-03-26 18:59:55
47,25,279,5,4,1,0,,2025-03-26 19:00:10
49,25,545,5,3,1,0,,2025-03-26 19:00:58
50,131,166,5,5,1,0,,2025-03-29 09:39:14
51,131,279,5,5,1,0,,2025-03-29 09:39:22
52,134,166,5,5,1,0,,2025-03-30 23:49:31
53,130,170,4,4,1,0,,2025-03-31 15:34:41
54,182,166,5,4,1,0,,2025-03-31 15:44:42
55,182,279,5,3,1,0,,2025-03-31 15:44:52
58,252,166,5,5,1,0,,2025-04-02 10:59:32
59,252,279,5,5,1,0,,2025-04-02 10:59:39
60,313,166,4,4,1,0,,2025-04-03 12:19:02
61,313,279,4,4,1,0,,2025-04-03 12:19:07
62,14,279,5,5,1,0,,2025-04-05 12:56:02
63,14,166,3,4,1,0,,2025-04-05 12:56:22
64,416,181,4,4,1,0,,2025-04-06 20:39:24
65,297,166,5,5,1,0,,2025-04-06 23:11:25
66,297,279,5,5,1,0,,2025-04-06 23:11:30
68,431,279,5,5,1,0,,2025-04-10 14:06:24
69,431,166,5,5,1,0,,2025-04-10 14:06:43
70,481,166,5,5,1,0,,2025-04-12 15:13:09
71,481,279,5,5,1,0,,2025-04-12 15:13:17
72,528,166,5,5,1,0,,2025-04-14 23:29:04
73,528,279,5,5,1,0,,2025-04-14 23:29:10
74,39,166,3,3,1,0,,2025-04-16 11:17:24
75,579,166,4,5,1,0,,2025-04-17 02:43:25
79,656,279,5,3,1,0,,2025-04-21 15:00:45
80,656,166,3,5,1,0,,2025-04-21 15:00:58
81,499,279,5,5,1,0,,2025-04-21 21:06:21
82,499,545,5,4,1,0,,2025-04-21 21:06:32
83,499,166,3,4,1,0,,2025-04-21 21:06:49
84,690,166,5,5,1,0,,2025-04-23 13:23:53
85,725,764,3,3,1,0,,2025-04-24 11:25:49
86,19,279,3,1,1,0,2026-06-12 13:03:27,2025-04-24 17:25:54
87,19,170,4,4,1,0,2026-06-12 13:03:26,2025-04-24 17:26:14
88,763,181,5,5,1,0,,2025-04-24 19:00:16
89,763,170,5,5,1,0,,2025-04-24 19:00:25
90,763,279,5,5,1,0,,2025-04-24 19:00:32
92,837,279,5,5,1,0,,2025-04-26 15:46:23
93,837,166,2,3,1,0,,2025-04-26 15:46:39
94,366,170,4,5,1,0,,2025-04-27 01:00:03
95,887,545,5,5,1,0,,2025-04-27 21:32:25
96,887,279,5,5,1,0,,2025-04-27 21:32:36
97,887,166,5,5,1,0,,2025-04-27 21:32:48
98,901,279,5,5,1,0,,2025-04-28 00:43:45
99,901,166,4,5,1,0,,2025-04-28 00:43:56
102,995,166,4,5,1,0,,2025-04-29 09:35:41
103,995,681,5,5,1,0,,2025-04-29 09:35:53
104,995,279,3,4,1,0,,2025-04-29 09:36:04
107,1009,170,3,4,1,0,,2025-04-29 12:06:46
108,1009,280,5,5,1,0,,2025-04-29 12:07:14
109,1017,166,5,5,1,0,,2025-04-29 13:19:04
110,1017,279,5,5,1,0,,2025-04-29 13:19:11
111,1135,279,5,5,1,0,,2025-05-01 12:46:25
112,1135,166,5,5,1,0,,2025-05-01 12:46:34
113,1135,258,4,4,1,0,,2025-05-01 12:46:46
114,1135,431,4,4,1,0,,2025-05-01 12:46:55
115,1175,166,4,4,1,0,,2025-05-02 11:00:38
116,1175,279,5,5,1,0,,2025-05-02 11:00:52
117,1175,444,5,5,1,0,,2025-05-02 11:01:03
118,1173,166,5,4,1,0,,2025-05-02 11:13:18
119,1173,279,5,4,1,0,,2025-05-02 11:13:30
120,1173,280,5,5,1,0,,2025-05-02 11:13:41
121,1173,444,5,5,1,0,,2025-05-02 11:13:49
122,1248,166,4,4,1,0,,2025-05-03 16:15:35
123,1248,279,4,4,1,0,,2025-05-03 16:15:45
124,1248,280,5,5,1,0,,2025-05-03 16:15:55
125,1309,166,5,5,1,0,,2025-05-04 21:41:55
126,1309,279,5,4,1,0,,2025-05-04 21:42:03
127,1379,431,5,5,1,0,,2025-05-05 14:11:46
128,1379,166,5,5,1,0,,2025-05-05 14:11:56
129,1379,170,5,5,1,0,,2025-05-05 14:12:05
130,1379,279,3,3,1,0,,2025-05-05 14:12:15
131,1379,674,3,1,1,0,,2025-05-05 14:12:23
132,1379,630,1,1,1,0,,2025-05-05 14:12:37
133,1379,330,2,1,1,0,,2025-05-05 14:12:46
134,724,170,4,4,1,0,,2025-05-05 14:47:51
135,724,279,4,4,1,0,,2025-05-05 14:48:04
136,1415,545,5,5,1,0,,2025-05-05 21:11:03
137,1415,279,5,5,1,0,,2025-05-05 21:11:16
138,1415,166,2,4,1,0,,2025-05-05 21:11:35
139,1415,71,2,2,1,0,,2025-05-05 21:11:59
140,1437,279,5,5,1,0,,2025-05-06 09:42:08
141,1437,280,5,5,1,0,,2025-05-06 09:42:15
142,1437,764,5,5,1,0,,2025-05-06 09:42:22
143,1437,166,4,5,1,0,,2025-05-06 09:42:30
144,1460,166,5,5,1,0,,2025-05-06 15:58:21
146,1482,444,5,5,1,0,,2025-05-07 13:04:41
147,1482,170,4,4,1,0,,2025-05-07 13:05:04
148,1482,279,4,4,1,0,,2025-05-07 13:05:15
149,854,166,5,5,1,0,,2025-05-07 21:16:42
150,854,681,5,3,1,0,,2025-05-07 21:17:03
151,854,279,4,2,1,0,,2025-05-07 21:17:16
152,1548,279,5,5,1,0,,2025-05-08 05:03:20
153,1548,166,5,5,1,0,,2025-05-08 05:03:34
154,1548,235,3,1,1,0,,2025-05-08 05:03:48
155,1568,280,5,5,1,0,,2025-05-08 12:47:41
156,1568,764,5,5,1,0,,2025-05-08 12:48:01
157,1567,279,5,5,1,0,,2025-05-08 15:21:29
158,1567,170,4,5,1,0,,2025-05-08 15:21:45
159,1589,166,4,5,1,0,,2025-05-08 22:01:36
160,1589,279,5,5,1,0,,2025-05-08 22:01:49
161,1619,166,4,5,1,0,,2025-05-09 18:01:42
162,1619,279,5,5,1,0,,2025-05-09 18:01:59
163,1624,166,5,5,1,0,,2025-05-09 21:13:37
164,1624,279,5,5,1,0,,2025-05-09 21:13:51
165,1624,280,5,5,1,0,,2025-05-09 21:14:03
166,1700,170,5,5,1,0,,2025-05-11 20:11:51
167,1700,279,5,5,1,0,,2025-05-11 20:12:02
168,1700,235,2,4,1,0,,2025-05-11 20:12:27
169,1727,166,4,4,1,0,,2025-05-12 09:56:43
170,1727,279,4,4,1,0,,2025-05-12 09:56:52
171,1749,444,5,5,1,0,,2025-05-12 18:56:51
172,1749,279,5,5,1,0,,2025-05-12 18:57:12
173,1749,280,5,5,1,0,,2025-05-12 18:57:28
174,1749,170,5,5,1,0,,2025-05-12 18:57:44
175,1749,259,4,3,1,0,,2025-05-12 18:58:19
176,1772,279,5,5,1,0,,2025-05-13 11:44:16
177,1772,166,3,5,1,0,,2025-05-13 11:44:28
179,1779,166,5,5,1,0,,2025-05-13 15:26:34
180,1827,166,4,4,1,0,,2025-05-14 11:40:31
181,1827,279,5,4,1,0,,2025-05-14 11:40:43
182,1827,721,5,4,1,0,,2025-05-14 11:40:56
183,1828,166,4,4,1,0,,2025-05-14 11:54:35
184,1828,279,4,4,1,0,,2025-05-14 11:54:45
185,1839,166,4,5,1,0,,2025-05-14 15:27:11
186,1839,279,5,4,1,0,,2025-05-14 15:27:26
187,1853,764,4,4,1,0,,2025-05-14 19:09:28
188,1926,279,5,5,1,0,,2025-05-15 22:41:53
189,1926,166,4,5,1,0,,2025-05-15 22:42:06
190,1938,170,5,5,1,0,,2025-05-16 09:57:44
