id,user,level,created_at,updated_at
1,4,4,2026-06-11 17:00:19,2026-06-11 17:00:19
2,6,4,2026-06-11 17:00:19,2026-06-11 17:00:19
3,14,4,2026-06-11 17:00:19,2026-06-11 17:00:19
4,17,4,2026-06-11 17:00:19,2026-06-11 17:00:19
5,18,4,2026-06-11 17:00:19,2026-06-11 17:00:19
6,19,4,2026-06-11 17:00:19,2026-06-11 17:00:19
7,20,4,2026-06-11 17:00:19,2026-06-11 17:00:19
8,22,4,2026-06-11 17:00:19,2026-06-11 17:00:19
9,25,4,2026-06-11 17:00:19,2026-06-11 17:00:19
10,26,4,2026-06-11 17:00:19,2026-06-11 17:00:19
11,27,4,2026-06-11 17:00:19,2026-06-11 17:00:19
12,30,4,2026-06-11 17:00:19,2026-06-11 17:00:19
13,32,4,2026-06-11 17:00:19,2026-06-11 17:00:19
14,39,4,2026-06-11 17:00:19,2026-06-11 17:00:19
15,40,4,2026-06-11 17:00:19,2026-06-11 17:00:19
16,41,4,2026-06-11 17:00:19,2026-06-11 17:00:19
17,42,4,2026-06-11 17:00:19,2026-06-11 17:00:19
18,43,4,2026-06-11 17:00:19,2026-06-11 17:00:19
19,45,4,2026-06-11 17:00:19,2026-06-11 17:00:19
20,48,4,2026-06-11 17:00:19,2026-06-11 17:00:19
21,49,4,2026-06-11 17:00:19,2026-06-11 17:00:19
22,50,4,2026-06-11 17:00:19,2026-06-11 17:00:19
23,51,4,2026-06-11 17:00:19,2026-06-11 17:00:19
24,52,4,2026-06-11 17:00:19,2026-06-11 17:00:19
25,57,4,2026-06-11 17:00:19,2026-06-11 17:00:19
26,59,4,2026-06-11 17:00:19,2026-06-11 17:00:19
27,60,4,2026-06-11 17:00:19,2026-06-11 17:00:19
28,65,4,2026-06-11 17:00:19,2026-06-11 17:00:19
29,75,4,2026-06-11 17:00:19,2026-06-11 17:00:19
30,76,4,2026-06-11 17:00:19,2026-06-11 17:00:19
31,77,3,2026-06-11 17:00:19,2026-06-11 17:00:19
32,88,4,2026-06-11 17:00:19,2026-06-11 17:00:19
33,98,4,2026-06-11 17:00:19,2026-06-11 17:00:19
34,112,4,2026-06-11 17:00:19,2026-06-11 17:00:19
35,134,4,2026-06-11 17:00:19,2026-06-11 17:00:19
36,182,4,2026-06-11 17:00:19,2026-06-11 17:00:19
37,201,4,2026-06-11 17:00:19,2026-06-11 17:00:19
38,296,4,2026-06-11 17:00:19,2026-06-11 17:00:19
39,313,4,2026-06-11 17:00:19,2026-06-11 17:00:19
40,639,4,2026-06-11 17:00:19,2026-06-11 17:00:19
41,724,4,2026-06-11 17:00:19,2026-06-11 17:00:19
42,1017,4,2026-06-11 17:00:19,2026-06-11 17:00:19
43,1033,3,2026-06-11 17:00:19,2026-06-11 17:00:19
44,1387,4,2026-06-11 17:00:19,2026-06-11 17:00:19
45,2670,4,2026-06-11 17:00:19,2026-06-11 17:00:19
46,3123,3,2026-06-11 17:00:19,2026-06-11 17:00:19
47,3218,4,2026-06-11 17:00:19,2026-06-11 17:00:19
48,3225,4,2026-06-11 17:00:19,2026-06-11 17:00:19
49,3463,4,2026-06-11 17:00:19,2026-06-11 17:00:19
50,3499,4,2026-06-11 17:00:19,2026-06-11 17:00:19
51,3500,4,2026-06-11 17:00:19,2026-06-11 17:00:19
52,5014,4,2026-06-11 17:00:19,2026-06-11 17:00:19
53,6018,4,2026-06-11 17:00:19,2026-06-11 17:00:19
54,6616,4,2026-06-11 17:00:19,2026-06-11 17:00:19
55,7598,4,2026-06-11 17:00:19,2026-06-11 17:00:19
56,7718,4,2026-06-11 17:00:19,2026-06-11 17:00:19
57,7918,4,2026-06-11 17:00:19,2026-06-11 17:00:19
58,8545,4,2026-06-11 17:00:19,2026-06-11 17:00:19
59,9479,4,2026-06-11 17:00:19,2026-06-11 17:00:19
60,9874,4,2026-06-11 17:00:19,2026-06-11 17:00:19
61,12988,4,2026-06-11 17:00:19,2026-06-11 17:00:19
62,14655,4,2026-06-11 17:00:19,2026-06-11 17:00:19
63,14995,4,2026-06-11 17:00:19,2026-06-11 17:00:19
64,19032,3,2026-06-11 17:00:19,2026-06-11 17:00:19
65,19169,4,2026-06-11 17:00:19,2026-06-11 17:00:19
66,19896,4,2026-06-11 17:00:19,2026-06-11 17:00:19
67,21249,4,2026-06-11 17:00:19,2026-06-11 17:00:19
68,26858,3,2026-06-11 17:00:19,2026-06-11 17:00:19
69,27244,4,2026-06-11 17:00:19,2026-06-11 17:00:19
70,38829,4,2026-06-11 17:00:19,2026-06-11 17:00:19
71,38860,3,2026-06-11 17:00:19,2026-06-26 02:00:14
72,38872,4,2026-06-11 17:00:19,2026-06-11 17:00:19
73,38985,4,2026-06-11 17:00:19,2026-06-11 17:00:19
74,39001,4,2026-06-11 17:00:19,2026-06-26 02:00:14
75,39239,4,2026-06-11 17:00:19,2026-06-11 17:00:19
76,39275,4,2026-06-11 17:00:19,2026-06-11 17:00:19
77,39283,4,2026-06-11 17:00:19,2026-06-11 17:00:19
78,39285,4,2026-06-11 17:00:19,2026-06-11 17:00:19
79,39304,4,2026-06-11 17:00:19,2026-06-11 17:00:19
80,39314,4,2026-06-11 17:00:19,2026-06-11 17:00:19
81,39335,4,2026-06-11 17:00:19,2026-06-11 17:00:19
82,39346,1,2026-06-11 17:00:19,2026-06-11 17:00:19
83,39411,4,2026-06-11 17:00:19,2026-06-11 17:00:19
84,39412,4,2026-06-11 17:00:19,2026-06-11 17:00:19
85,39413,4,2026-06-11 17:00:19,2026-06-11 17:00:19
86,39414,4,2026-06-11 17:00:19,2026-06-11 17:00:19
87,39418,3,2026-06-11 17:00:19,2026-06-11 17:00:19
88,39419,3,2026-06-11 17:00:19,2026-06-11 17:00:19
89,39427,3,2026-06-11 17:00:19,2026-06-11 17:00:19
90,39428,3,2026-06-11 17:00:19,2026-06-11 17:00:19
91,39429,3,2026-06-11 17:00:19,2026-06-11 17:00:19
92,39430,3,2026-06-11 17:00:19,2026-06-11 17:00:19
