id,name,description,status,is_deleted,company_id,create_date,modify_date
1,Super Admin,"Has complete control over the system, including employees, roles, reviews and company settings.",1,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
2,Admin,"Oversees daily operations, manages employee access, reviews and company information.",1,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
3,HR,"Handles hiring, exits, verification and overall employee lifecycle management.",1,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
4,Manager,"Monitors team performance, writes reviews, verifies employment and manages reporting staff.",1,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
5,QA Test,,1,0,,2026-01-21 17:20:30,2026-01-21 17:20:30
6,Reporting RMSI,,1,0,,2026-01-21 17:57:03,2026-01-21 17:57:03
7,Data Entry,,1,0,,2026-01-21 18:15:03,2026-01-21 18:15:03
8,Data anlyst,,1,0,,2026-01-21 18:59:37,2026-01-21 18:59:37
9,QA Tester,,1,0,,2026-01-22 12:13:20,2026-01-22 12:13:20
10,PHP Dev,,1,0,,2026-01-22 12:16:23,2026-01-22 12:16:23
11,Digital marketing,,1,0,,2026-01-22 18:10:43,2026-01-22 18:10:43
12,Super Admin1,,1,0,,2026-03-03 14:41:07,2026-03-03 14:41:07
13,Test,,1,0,,2026-03-05 02:41:00,2026-03-05 02:41:00
14,RRR,,1,0,,2026-03-09 18:00:34,2026-03-09 18:00:34
15,Frontend Dev,,1,0,,2026-03-13 12:09:51,2026-03-13 12:09:51
16,Backened,,1,0,,2026-03-13 12:17:08,2026-03-13 12:17:08
17,Yash Manager,,1,0,,2026-03-18 13:09:10,2026-03-18 13:09:10
18,Junior manager,,1,0,,2026-03-18 16:43:50,2026-03-18 16:43:50
19,Jobs admin,,1,0,,2026-03-18 16:44:42,2026-03-18 16:44:42
20,Frontend de,,1,0,,2026-03-18 18:26:35,2026-03-18 18:26:35
21,HR manager+,,1,0,,2026-03-20 17:28:50,2026-03-20 17:28:50
22,HR manager,,1,0,,2026-03-20 17:28:56,2026-03-20 17:28:56
23,sfsfsf,,1,0,,2026-03-20 17:43:00,2026-03-20 17:43:00
