id,userid,companyid,otp,status,review,salary,access,expiry,is_deleted,create_date,modify_date
76,19,2670,,1,,,"[\""1\"",\""2\""]",2026-02-06 19:04:09,1,2026-01-30 15:25:49,2026-01-30 15:25:49
77,19,27244,,1,,,"[\""1\"",\""2\""]",2026-02-07 11:50:31,1,2026-01-30 17:20:44,2026-01-30 17:20:44
78,39001,38985,,0,,,,,1,2026-01-30 17:24:35,2026-01-30 17:24:35
79,27244,19,,0,,,"[\""1\"",\""2\""]",2026-02-04 18:36:40,1,2026-01-30 17:41:51,2026-01-30 17:41:51
81,19,39080,,0,,,,,1,2026-01-30 18:36:28,2026-01-30 18:36:28
82,19,5014,,1,,,"[\""1\"",\""2\""]",2026-02-06 18:37:22,1,2026-01-30 18:36:37,2026-01-30 18:36:37
83,5014,19,,0,,,"[\""1\"",\""2\""]",2026-06-19 13:23:40,0,2026-01-30 18:36:53,2026-01-30 18:36:53
84,39001,27244,,1,,,"[\""1\"",\""2\""]",2026-02-01 12:49:30,1,2026-01-30 18:42:52,2026-01-30 18:42:52
85,19,39080,,0,,,,,0,2026-01-30 19:00:32,2026-01-30 19:00:32
87,38985,39001,,1,,,"[\""1\"",\""2\""]",2026-02-01 10:52:10,0,2026-01-31 10:51:07,2026-01-31 10:51:07
90,38829,27244,,1,,,"[\""1\"",\""2\""]",2026-02-07 16:40:56,0,2026-02-06 16:39:47,2026-02-06 16:39:47
91,19,27244,,0,,,"[\""1\"",\""2\""]",2026-02-12 16:25:29,0,2026-02-09 16:21:44,2026-02-09 16:21:44
92,19,38860,,0,,,,,1,2026-02-19 13:30:23,2026-02-19 13:30:23
93,19,38860,,0,,,"[\""1\"",\""2\""]",2026-02-21 17:21:19,0,2026-02-19 13:35:02,2026-02-19 13:35:02
94,134,639,,0,,,,,0,2026-02-25 17:17:53,2026-02-25 17:17:53
95,18,639,,1,,,"[\""1\"",\""2\""]",2026-03-26 16:41:41,0,2026-02-25 17:43:36,2026-02-25 17:43:36
96,19,639,,0,,,,,0,2026-02-25 17:46:58,2026-02-25 17:46:58
97,22,639,,0,,,,,0,2026-02-25 17:48:16,2026-02-25 17:48:16
98,18652,639,,0,,,,,0,2026-02-25 17:49:23,2026-02-25 17:49:23
99,481,639,,0,,,,,0,2026-02-25 17:50:28,2026-02-25 17:50:28
100,26374,639,,0,,,,,0,2026-02-25 17:51:52,2026-02-25 17:51:52
101,9311,639,,0,,,,,0,2026-02-25 17:52:40,2026-02-25 17:52:40
102,10331,639,,0,,,,,0,2026-02-25 17:57:46,2026-02-25 17:57:46
103,14655,19,,0,,,,,0,2026-03-09 16:33:15,2026-03-09 16:33:15
104,38860,38872,,0,,,"[\""1\"",\""2\""]",2026-04-17 15:22:42,0,2026-03-21 12:14:26,2026-03-21 12:14:26
105,27244,39335,,1,,,"[\""1\"",\""2\""]",2026-03-28 16:26:27,1,2026-03-27 15:51:41,2026-03-27 15:51:41
106,39001,39314,,0,,,,,1,2026-03-31 13:42:28,2026-03-31 13:42:28
107,39314,39001,,1,,,"[\""1\"",\""2\""]",2026-04-14 12:39:33,1,2026-03-31 19:00:29,2026-03-31 19:00:29
109,471,38860,,0,,,,,0,2026-04-02 17:36:56,2026-04-02 17:36:56
110,39169,38860,,0,,,,,0,2026-05-05 16:21:05,2026-05-05 16:21:05
111,39001,27244,,0,,,,,1,2026-05-06 11:39:04,2026-05-06 11:39:04
114,39001,19,,1,,,"[\""1\"",\""2\""]",2026-06-01 12:49:30,0,2026-05-06 14:57:46,2026-05-06 14:57:46
115,19,39001,,1,,,"[\""1\"",\""2\""]",2026-06-01 12:49:30,0,2026-05-06 14:57:46,2026-05-06 14:57:46
117,39314,39239,,0,,,,,1,2026-05-07 11:23:11,2026-05-07 11:23:11
118,39314,39239,,0,,,,,1,2026-05-07 11:25:13,2026-05-07 11:25:13
119,39001,39314,,0,,,,,1,2026-05-07 11:26:38,2026-05-07 11:26:38
120,39314,39001,,0,,,,,1,2026-05-07 11:26:47,2026-05-07 11:26:47
121,39001,39314,,0,,,,,1,2026-05-07 11:28:01,2026-05-07 11:28:01
122,39001,39314,,0,,,,,1,2026-05-07 11:28:41,2026-05-07 11:28:41
123,39001,39314,,0,,,,,1,2026-05-07 11:29:11,2026-05-07 11:29:11
124,39314,39239,,0,,,,,1,2026-05-07 11:31:59,2026-05-07 11:31:59
125,39314,39239,,0,,,,,1,2026-05-07 11:32:41,2026-05-07 11:32:41
126,20603,39001,,0,,,,,0,2026-05-07 11:33:59,2026-05-07 11:33:59
127,39314,39239,,0,,,,,1,2026-05-07 11:34:08,2026-05-07 11:34:08
128,39001,27244,,0,,,,,0,2026-05-07 15:46:40,2026-05-07 15:46:40
129,39001,40085,,1,,,"[\""1\"",\""2\""]",2026-05-12 16:25:46,0,2026-05-11 15:58:47,2026-05-11 15:58:47
130,5014,639,,1,,,"[\""1\"",\""2\""]",2026-06-04 12:28:47,1,2026-05-19 18:49:28,2026-05-19 18:49:28
131,639,5014,,0,,,,,1,2026-05-20 12:38:22,2026-05-20 12:38:22
