id,update_id,parent,experience_id,user,salary,salary_inhand,salary_mode,designation,worked_till_date,status,type,is_deleted,create_date,modify_date
2,2,0,12,48,800000,CTC,Per Annum,12793,,1,2,0,2025-03-24 18:13:41,2025-03-24 18:13:41
3,3,0,10,42,40000,CTC,Per Month,12808,,1,2,0,2025-03-25 18:51:19,2025-03-25 18:51:19
4,4,0,42,14,9856,CTC,Per Annum,407,,1,2,0,2025-03-26 12:06:10,2025-03-26 12:06:10
5,5,0,22,57,4000,CTC,Per Month,3399,,1,2,0,2025-03-26 13:13:26,2025-03-26 13:14:50
6,6,0,72,4,,,,,2025-03-28,1,1,0,2025-03-27 01:00:41,2025-03-27 01:00:41
7,7,0,72,4,324326,CTC,Per Annum,6,,1,2,0,2025-03-27 17:43:46,2025-03-27 17:47:08
8,,4,42,14,9856,CTC,Per Annum,407,,1,2,0,2025-03-29 11:20:33,2025-03-29 11:20:33
9,8,0,77,19,600000,CTC,Per Annum,3969,,1,2,0,2025-03-29 11:23:56,2025-03-29 11:23:56
10,,9,77,19,600000,CTC,Per Annum,3969,,1,2,0,2025-03-29 11:26:19,2025-03-29 11:26:19
11,9,0,77,19,600000,CTC,Per Annum,25,,1,2,0,2025-03-29 11:29:07,2025-03-29 11:41:13
12,,11,77,19,650000,CTC,Per Annum,25,,1,2,0,2025-03-29 11:41:34,2025-03-29 11:41:34
13,10,0,78,18,10000000,CTC,Per Annum,1,,1,2,0,2025-03-29 11:51:36,2025-03-29 11:51:36
14,,13,78,18,10000000,CTC,Per Annum,1,,1,2,0,2025-03-29 11:52:00,2025-03-29 11:52:00
16,12,0,81,4,5,CTC,Per Annum,3,,1,2,0,2025-03-29 16:52:51,2025-03-29 16:52:51
17,13,0,175,134,700000,CTC,Per Annum,1,2025-03-31,1,2,0,2025-03-29 16:55:23,2025-05-16 11:50:37
18,,17,83,4,,,,,2025-03-31,1,1,0,2025-03-29 16:55:58,2025-03-29 16:55:58
19,14,0,44,4,1,CTC,Per Annum,4665,,1,2,0,2025-04-01 15:47:16,2025-04-01 15:47:16
21,16,0,73,6,43,CTC,Per Annum,3363,,1,2,0,2025-04-01 18:17:00,2025-04-01 18:17:00
22,,21,73,6,43,CTC,Per Annum,3363,,1,2,0,2025-04-14 17:38:41,2025-04-14 17:38:41
23,,19,44,4,1,CTC,Per Annum,4665,,1,2,0,2025-04-23 17:08:33,2025-04-23 17:08:33
24,,20,77,19,650000,CTC,Per Annum,6154,,1,2,0,2025-04-24 17:28:18,2025-04-24 17:28:18
25,16,0,165,134,,,,,2025-04-23,1,1,0,2025-04-24 17:41:44,2025-04-24 17:41:44
26,,21,73,6,,,,,,1,2,0,2025-04-24 17:41:44,2025-04-24 17:41:44
27,17,0,115,313,1200000,CTC,Per Annum,5820,,1,2,0,2025-04-25 15:03:08,2025-04-26 14:59:54
28,18,0,850,7598,1000000,CTC,Per Annum,1580,2025-04-25,1,2,0,2025-04-25 15:04:43,2025-07-12 17:03:31
29,,28,115,39,,,,,,1,1,0,2025-04-25 15:04:44,2025-04-25 15:04:44
30,,27,115,313,1200000,CTC,Per Annum,5820,,1,2,0,2025-04-26 15:06:19,2025-04-26 15:06:19
31,,3,10,42,40000,CTC,Per Month,12808,,1,2,0,2025-04-26 16:35:26,2025-04-26 16:35:26
32,13,0,175,134,700000,CTC,Per Annum,1,,1,2,0,2025-05-12 12:18:16,2025-05-16 11:50:37
33,14,0,148,134,600000,CTC,Per Annum,9883,,1,2,0,2025-05-17 12:16:30,2025-05-17 12:16:30
35,,20,77,19,,,,,,1,2,0,2025-05-22 02:46:24,2025-05-22 02:46:24
37,16,0,422,2670,766000,CTC,Per Annum,4239,,1,2,0,2025-06-18 13:05:28,2025-06-18 13:05:28
38,17,0,724,6018,35000,In Hand,Per Month,12847,,1,2,0,2025-07-07 12:02:40,2025-07-07 12:02:40
39,18,0,850,7598,1000000,CTC,Per Annum,1580,,1,2,0,2025-07-12 16:57:59,2025-07-12 17:03:31
